Date,Value
1975-01-31,34.385997198
1975-02-28,34.910700847
1975-03-31,35.446986909
1975-04-30,36.002154087
1975-05-31,36.599657763
1975-06-30,37.22847723
1975-07-31,37.850603533
1975-08-31,38.416847416
1975-09-30,38.912038531
1975-10-31,39.36528159
1975-11-30,39.772511644
1975-12-31,40.113479092
1976-01-31,40.389793221
1976-02-29,40.622892258
1976-03-31,40.839217868
1976-04-30,41.050960622
1976-05-31,41.259608727
1976-06-30,41.461078325
1976-07-31,41.633065658
1976-08-31,41.768157647
1976-09-30,41.934490048
1976-10-31,42.194946838
1976-11-30,42.544022164
1976-12-31,42.955853141
1977-01-31,43.387346407
1977-02-28,43.785317002
1977-03-31,44.105789362
1977-04-30,44.351466438
1977-05-31,44.566461673
1977-06-30,44.780217505
1977-07-31,45.008418902
1977-08-31,45.243527625
1977-09-30,45.471751992
1977-10-31,45.7082989
1977-11-30,45.983054007
1977-12-31,46.313039301
1978-01-31,46.690302667
1978-02-28,47.137880346
1978-03-31,47.69440481
1978-04-30,48.327145829
1978-05-31,48.970404518
1978-06-30,49.540421012
1978-07-31,49.948364683
1978-08-31,50.18960707
1978-09-30,50.368252867
1978-10-31,50.613125984
1978-11-30,50.997328518
1978-12-31,51.538771405
1979-01-31,52.21127819
1979-02-28,53.01420298
1979-03-31,53.980400205
1979-04-30,55.036583883
1979-05-31,55.943182057
1979-06-30,56.454343748
1979-07-31,56.53861022
1979-08-31,56.343146202
1979-09-30,56.045132071
1979-10-31,55.789363063
1979-11-30,55.646488828
1979-12-31,55.610426286
1980-01-31,55.615835285
1980-02-29,55.581719176
1980-03-31,55.457286324
1980-04-30,55.261126814
1980-05-31,55.061021062
1980-06-30,54.929194126
1980-07-31,54.92170855
1980-08-31,55.081086945
1980-09-30,55.436089964
1980-10-31,55.980491768
1980-11-30,56.688413441
1980-12-31,57.535725686
1981-01-31,58.497034563
1981-02-28,59.540864923
1981-03-31,60.640747885
1981-04-30,61.783082899
1981-05-31,62.953802343
1981-06-30,64.146684336
1981-07-31,65.372964473
1981-08-31,66.629991717
1981-09-30,67.89483714
1981-10-31,69.140479394
1981-11-30,70.333555885
1981-12-31,71.441344851
1982-01-31,72.439185646
1982-02-28,73.318880049
1982-03-31,74.101015368
1982-04-30,74.819042006
1982-05-31,75.478627617
1982-06-30,76.041025706
1982-07-31,76.461746037
1982-08-31,76.742912419
1982-09-30,76.951167466
1982-10-31,77.193430905
1982-11-30,77.555352287
1982-12-31,78.06733997
1983-01-31,78.72183053
1983-02-28,79.500055276
1983-03-31,80.376211907
1983-04-30,81.322336953
1983-05-31,82.311427807
1983-06-30,83.260363552
1983-07-31,84.053026159
1983-08-31,84.650325069
1983-09-30,85.073182792
1983-10-31,85.338348091
1983-11-30,85.441405214
1983-12-31,85.398175861
1984-01-31,85.23775262
1984-02-29,85.001319197
1984-03-31,84.820351376
1984-04-30,84.89731072
1984-05-31,85.270126613
1984-06-30,85.721727876
1984-07-31,86.071115332
1984-08-31,86.318559226
1984-09-30,86.425443401
1984-10-31,86.207768751
1984-11-30,85.584797323
1984-12-31,84.697991346
1985-01-31,83.829357044
1985-02-28,83.241580529
1985-03-31,83.033506554
1985-04-30,83.171770612
1985-05-31,83.462185993
1985-06-30,83.524224534
1985-07-31,83.057930152
1985-08-31,82.183431572
1985-09-30,81.279219958
1985-10-31,80.630858063
1985-11-30,80.304508783
1985-12-31,80.164509448
1986-01-31,80.124967264
1986-02-28,80.177933912
1986-03-31,80.291775174
1986-04-30,80.461688037
1986-05-31,80.601704384
1986-06-30,80.439903843
1986-07-31,79.790963719
1986-08-31,78.877068355
1986-09-30,77.975719175
1986-10-31,77.211819171
1986-11-30,76.600907139
1986-12-31,75.931247344
1987-01-31,75.02443838
1987-02-28,73.853030875
1987-03-31,72.418949204
1987-04-30,70.783936903
1987-05-31,69.066523841
1987-06-30,67.42330056
1987-07-31,65.961327147
1987-08-31,64.648740478
1987-09-30,63.423567334
1987-10-31,62.368478868
1987-11-30,61.724695365
1987-12-31,61.775749966
1988-01-31,62.622332262
1988-02-29,64.036805019
1988-03-31,65.394692782
1988-04-30,66.153553719
1988-05-31,66.643471149
1988-06-30,67.436043165
1988-07-31,68.57979252
1988-08-31,69.945146873
1988-09-30,71.546455772
1988-10-31,73.209557824
1988-11-30,74.308448233
1988-12-31,74.203210632
1989-01-31,72.548839101
1989-02-28,69.447710797
1989-03-31,65.618185042
1989-04-30,62.223371875
1989-05-31,60.065239141
1989-06-30,58.984406044
1989-07-31,58.367407494
1989-08-31,57.865062162
1989-09-30,57.37712511
1989-10-31,56.860582306
1989-11-30,56.351902273
1989-12-31,56.007034412
1990-01-31,56.036340001
1990-02-28,56.659737762
1990-03-31,58.077494332
1990-04-30,60.390328648
1990-05-31,63.398930694
1990-06-30,66.420504022
1990-07-31,68.640792706
1990-08-31,69.67834676
1990-09-30,69.783864606
1990-10-31,69.448430486
1990-11-30,69.014770316
1990-12-31,68.751314863
1991-01-31,68.842837034
1991-02-28,69.203988305
1991-03-31,69.719423216
1991-04-30,70.42801845
1991-05-31,71.304626777
1991-06-30,72.223176514
1991-07-31,72.987396603
1991-08-31,73.386999417
1991-09-30,73.370731671
1991-10-31,73.124222422
1991-11-30,72.91409199
1991-12-31,72.930143111
1992-01-31,73.239940215
1992-02-29,73.77056164
1992-03-31,74.390849658
1992-04-30,74.921229315
1992-05-31,75.231738597
1992-06-30,75.41069974
1992-07-31,75.563474984
1992-08-31,75.609397822
1992-09-30,75.498396767
1992-10-31,75.341570606
1992-11-30,75.227903172
1992-12-31,75.185643409
1993-01-31,75.237283181
1993-02-28,75.343235105
1993-03-31,75.506784078
1993-04-30,75.815593661
1993-05-31,76.318159687
1993-06-30,76.999260358
1993-07-31,77.736540667
1993-08-31,78.335916082
1993-09-30,78.670368947
1993-10-31,78.768099656
1993-11-30,78.749681525
1993-12-31,78.762595354
1994-01-31,78.97328253
1994-02-28,79.520482971
1994-03-31,80.297094649
1994-04-30,81.03448708
1994-05-31,81.60949126
1994-06-30,82.109081036
1994-07-31,82.473680248
1994-08-31,82.438977245
1994-09-30,82.116070703
1994-10-31,81.840627858
1994-11-30,81.829609379
1994-12-31,82.124365515
1995-01-31,82.597673214
1995-02-28,83.098123925
1995-03-31,83.572562902
1995-04-30,84.057394815
1995-05-31,84.495071436
1995-06-30,84.838059556
1995-07-31,85.076838862
1995-08-31,85.141394755
1995-09-30,85.037906016
1995-10-31,84.877868609
1995-11-30,84.810694868
1995-12-31,84.913763684
1996-01-31,85.16747598
1996-02-29,85.569346362
1996-03-31,86.128332029
1996-04-30,86.773590727
1996-05-31,87.40612783
1996-06-30,87.935391877
1996-07-31,88.244680551
1996-08-31,88.295647898
1996-09-30,88.185733154
1996-10-31,88.10828358
1996-11-30,88.139140803
1996-12-31,88.247854546
1997-01-31,88.486514171
1997-02-28,88.88787626
1997-03-31,89.396534633
1997-04-30,89.896977245
1997-05-31,90.295173843
1997-06-30,90.503339049
1997-07-31,90.584182876
1997-08-31,90.738656269
1997-09-30,91.028768072
1997-10-31,91.325609731
1997-11-30,91.461606558
1997-12-31,91.42778508
1998-01-31,91.385923797
1998-02-28,91.559933985
1998-03-31,92.036393268
1998-04-30,92.760958413
1998-05-31,93.539376913
1998-06-30,94.089024395
1998-07-31,94.277591213
1998-08-31,94.175539911
1998-09-30,93.959335883
1998-10-31,93.777358176
1998-11-30,93.645546471
1998-12-31,93.502158597
1999-01-31,93.456420717
1999-02-28,93.69113348
1999-03-31,94.311973683
1999-04-30,95.206540785
1999-05-31,95.961931377
1999-06-30,96.419193297
1999-07-31,96.764197756
1999-08-31,97.019442686
1999-09-30,97.029028272
1999-10-31,96.79337302
1999-11-30,96.520549584
1999-12-31,96.388118765
2000-01-31,96.36842609
2000-02-29,96.471588974
2000-03-31,96.82500877
2000-04-30,97.384247087
2000-05-31,98.016607896
2000-06-30,98.57811576
2000-07-31,98.943978083
2000-08-31,99.166948849
2000-09-30,99.349481281
2000-10-31,99.529434482
2000-11-30,99.728072015
2000-12-31,100.0
2001-01-31,100.3791608
2001-02-28,100.84244698
2001-03-31,101.44303955
2001-04-30,102.19776251
2001-05-31,103.05018606
2001-06-30,103.96160627
2001-07-31,104.88168459
2001-08-31,105.67332417
2001-09-30,106.15383438
2001-10-31,106.19860149
2001-11-30,106.06775948
2001-12-31,106.15994795
2002-01-31,106.52902601
2002-02-28,107.13932534
2002-03-31,108.03335042
2002-04-30,109.1578347
2002-05-31,110.23528881
2002-06-30,111.04046481
2002-07-31,111.60905666
2002-08-31,111.91870344
2002-09-30,111.98641337
2002-10-31,112.02338054
2002-11-30,112.24937068
2002-12-31,112.75049075
2003-01-31,113.42394801
2003-02-28,114.2679135
2003-03-31,115.21594738
2003-04-30,116.1843772
2003-05-31,117.30343675
2003-06-30,118.5011877
2003-07-31,119.65544923
2003-08-31,120.6292612
2003-09-30,121.1119685
2003-10-31,121.17968148
2003-11-30,121.31316487
2003-12-31,121.75071794
2004-01-31,122.42994493
2004-02-29,123.27267535
2004-03-31,124.33713105
2004-04-30,125.78917574
2004-05-31,127.55123925
2004-06-30,129.30154225
2004-07-31,130.77915637
2004-08-31,131.78607417
2004-09-30,132.2663539
2004-10-31,132.57540854
2004-11-30,133.10165977
2004-12-31,133.85194369
2005-01-31,134.78779408
2005-02-28,135.98976176
2005-03-31,137.54407373
2005-04-30,139.29513978
2005-05-31,141.04113882
2005-06-30,142.93225915
2005-07-31,144.9648363
2005-08-31,146.70617741
2005-09-30,147.85280266
2005-10-31,148.45486854
2005-11-30,148.63238233
2005-12-31,148.77417935
2006-01-31,149.3686416
2006-02-28,150.46229132
2006-03-31,151.95932884
2006-04-30,153.70244558
2006-05-31,155.32868017
2006-06-30,156.70007722
2006-07-31,157.64234072
2006-08-31,157.77614431
2006-09-30,157.19372346
2006-10-31,156.41248732
2006-11-30,155.85347222
2006-12-31,155.54187003
2007-01-31,155.61273367
2007-02-28,156.28785393
2007-03-31,157.35894351
2007-04-30,158.63660946
2007-05-31,159.96312582
2007-06-30,160.99110889
2007-07-31,161.43004
2007-08-31,161.2149058
2007-09-30,160.39453667
2007-10-31,159.0027234
2007-11-30,157.19903252
2007-12-31,155.3987687
2008-01-31,154.22320953
2008-02-29,153.98025371
2008-03-31,154.52075431
2008-04-30,155.67155799
2008-05-31,157.11119011
2008-06-30,158.31041338
2008-07-31,158.86315992
2008-08-31,158.59130216
2008-09-30,157.67056131
2008-10-31,156.44181035
2008-11-30,155.08813898
2008-12-31,153.89346336
2009-01-31,153.26561449
2009-02-28,153.28924442
2009-03-31,153.72963855
2009-04-30,154.49457073
2009-05-31,155.39215908
2009-06-30,156.07996926
2009-07-31,156.26494185
2009-08-31,155.95061937
2009-09-30,155.36609281
2009-10-31,154.60834527
2009-11-30,153.82644927
2009-12-31,153.11382496
2010-01-31,152.76547873
2010-02-28,153.06812722
2010-03-31,153.90385466
2010-04-30,155.0344789
2010-05-31,156.05338018
2010-06-30,156.59691316
2010-07-31,156.57931084
2010-08-31,156.10177086
2010-09-30,155.51535536
2010-10-31,155.20758063
