Date,Value
1975-01-31,36.845815741
1975-02-28,37.185864178
1975-03-31,37.482491208
1975-04-30,37.722278002
1975-05-31,37.947633939
1975-06-30,38.181552582
1975-07-31,38.387207224
1975-08-31,38.516980486
1975-09-30,38.534431582
1975-10-31,38.496008509
1975-11-30,38.52569116
1975-12-31,38.657337678
1976-01-31,38.859577273
1976-02-29,39.150074988
1976-03-31,39.542395331
1976-04-30,39.985721074
1976-05-31,40.379473826
1976-06-30,40.691074134
1976-07-31,40.978526017
1976-08-31,41.287393662
1976-09-30,41.554545497
1976-10-31,41.719865095
1976-11-30,41.844728067
1976-12-31,42.016912212
1977-01-31,42.299033939
1977-02-28,42.69004844
1977-03-31,43.105085638
1977-04-30,43.442488392
1977-05-31,43.684870597
1977-06-30,43.916941514
1977-07-31,44.228305408
1977-08-31,44.588280363
1977-09-30,44.926810118
1977-10-31,45.221998139
1977-11-30,45.456424399
1977-12-31,45.666947775
1978-01-31,45.944447743
1978-02-28,46.275624102
1978-03-31,46.563434631
1978-04-30,46.886487758
1978-05-31,47.367666519
1978-06-30,47.970862724
1978-07-31,48.619859865
1978-08-31,49.188683821
1978-09-30,49.620445006
1978-10-31,49.972182196
1978-11-30,50.295257899
1978-12-31,50.650639473
1979-01-31,51.058809822
1979-02-28,51.494877375
1979-03-31,51.92103189
1979-04-30,52.410329933
1979-05-31,53.029022617
1979-06-30,53.718327101
1979-07-31,54.475919751
1979-08-31,55.26697075
1979-09-30,55.976931595
1979-10-31,56.421726022
1979-11-30,56.501711578
1979-12-31,56.324614629
1980-01-31,56.081060397
1980-02-29,55.926763224
1980-03-31,55.956702213
1980-04-30,56.179815586
1980-05-31,56.521631973
1980-06-30,56.953106197
1980-07-31,57.413590724
1980-08-31,57.815093319
1980-09-30,58.119443507
1980-10-31,58.384470743
1980-11-30,58.714606416
1980-12-31,59.093774726
1981-01-31,59.439860415
1981-02-28,59.735227086
1981-03-31,59.992053572
1981-04-30,60.183217624
1981-05-31,60.278364702
1981-06-30,60.233065098
1981-07-31,60.003058568
1981-08-31,59.591071392
1981-09-30,59.012285297
1981-10-31,58.291455043
1981-11-30,57.528153497
1981-12-31,56.897655405
1982-01-31,56.515224267
1982-02-28,56.392525725
1982-03-31,56.528088607
1982-04-30,56.90680331
1982-05-31,57.451933073
1982-06-30,58.072861501
1982-07-31,58.712657965
1982-08-31,59.307327847
1982-09-30,59.791589843
1982-10-31,60.169837202
1982-11-30,60.513132931
1982-12-31,60.908412083
1983-01-31,61.409415928
1983-02-28,61.99888646
1983-03-31,62.65209411
1983-04-30,63.359633022
1983-05-31,64.084348517
1983-06-30,64.727183153
1983-07-31,65.146030364
1983-08-31,65.256960332
1983-09-30,65.10164349
1983-10-31,64.823223864
1983-11-30,64.581510577
1983-12-31,64.423078555
1984-01-31,64.287288083
1984-02-29,64.191604715
