Date,Value
1975-01-31,28.940587315
1975-02-28,29.476038222
1975-03-31,29.980513568
1975-04-30,30.372961861
1975-05-31,30.577859501
1975-06-30,30.527372541
1975-07-31,30.201374094
1975-08-31,29.687452753
1975-09-30,29.152542573
1975-10-31,28.850928022
1975-11-30,28.957719832
1975-12-31,29.328102761
1976-01-31,29.711190153
1976-02-29,30.003192067
1976-03-31,30.175684029
1976-04-30,30.238645971
1976-05-31,30.230365291
1976-06-30,30.195238634
1976-07-31,30.185144871
1976-08-31,30.22119708
1976-09-30,30.285878326
1976-10-31,30.43892122
1976-11-30,30.673729883
1976-12-31,30.862349794
1977-01-31,30.975695307
1977-02-28,31.098254584
1977-03-31,31.328893585
1977-04-30,31.615715837
1977-05-31,31.86149629
1977-06-30,32.176042103
1977-07-31,32.624731121
1977-08-31,33.122491475
1977-09-30,33.534233184
1977-10-31,33.839535397
1977-11-30,34.151369184
1977-12-31,34.476776985
1978-01-31,34.824003603
1978-02-28,35.184279905
1978-03-31,35.518795728
1978-04-30,35.908876054
1978-05-31,36.439249615
1978-06-30,37.087841405
1978-07-31,37.801256535
1978-08-31,38.464353745
1978-09-30,39.10374646
1978-10-31,39.871795606
1978-11-30,40.709121046
1978-12-31,41.447484742
1979-01-31,42.03584234
1979-02-28,42.574882647
1979-03-31,43.24926544
1979-04-30,44.18046757
1979-05-31,45.223194932
1979-06-30,46.077369455
1979-07-31,46.672387773
1979-08-31,47.230107719
1979-09-30,47.914284866
1979-10-31,48.62185475
1979-11-30,49.199523126
1979-12-31,49.54770555
1980-01-31,49.70908763
1980-02-29,49.878683302
1980-03-31,50.109533697
1980-04-30,50.426450138
1980-05-31,50.985327521
1980-06-30,51.755398824
1980-07-31,52.63884301
1980-08-31,53.554089254
1980-09-30,54.225225495
1980-10-31,54.45547236
1980-11-30,54.409690336
1980-12-31,54.327156114
1981-01-31,54.333699285
1981-02-28,54.495671603
1981-03-31,54.767404167
1981-04-30,55.095418336
1981-05-31,55.39030526
1981-06-30,55.548767219
1981-07-31,55.663087589
1981-08-31,55.86910947
1981-09-30,56.056812006
1981-10-31,56.063904306
1981-11-30,55.956593891
1981-12-31,55.884123073
1982-01-31,55.866753472
1982-02-28,55.914377862
1982-03-31,56.083443137
1982-04-30,56.322664236
1982-05-31,56.42869441
1982-06-30,56.297065152
1982-07-31,56.158070984
1982-08-31,56.217083956
1982-09-30,56.481037937
1982-10-31,56.94120245
1982-11-30,57.555422529
1982-12-31,58.282618839
1983-01-31,59.017194641
1983-02-28,59.616895333
1983-03-31,59.974859516
1983-04-30,60.036734577
1983-05-31,59.785658957
1983-06-30,59.28535368
1983-07-31,58.741087082
1983-08-31,58.329162607
1983-09-30,58.123763043
1983-10-31,58.0811131
1983-11-30,58.145012383
1983-12-31,58.352124982
1984-01-31,58.721778364
1984-02-29,59.232456259
1984-03-31,59.847317294
1984-04-30,60.477425235
1984-05-31,60.978146182
1984-06-30,61.292696641
1984-07-31,61.519742904
1984-08-31,61.666588224
1984-09-30,61.660439527
1984-10-31,61.621165941
1984-11-30,61.656421122
1984-12-31,61.672947332
1985-01-31,61.543029047
1985-02-28,61.294967189
1985-03-31,61.135325758
1985-04-30,61.164197797
1985-05-31,61.354284405
1985-06-30,61.647986529
1985-07-31,61.980048264
1985-08-31,62.329592047
1985-09-30,62.634607113
1985-10-31,62.792943005
1985-11-30,62.820528786
1985-12-31,62.886323231
1986-01-31,63.063700416
1986-02-28,63.385308437
1986-03-31,63.944302564
1986-04-30,64.703806439
1986-05-31,65.359822498
1986-06-30,65.655586505
1986-07-31,65.607154175
1986-08-31,65.159863238
1986-09-30,64.36365406
1986-10-31,63.7222854
1986-11-30,63.871661505
1986-12-31,64.549945413
1987-01-31,65.094368357
1987-02-28,65.435258219
1987-03-31,65.54414005
1987-04-30,65.43823266
1987-05-31,65.41033107
1987-06-30,65.566763111
1987-07-31,65.632973001
1987-08-31,65.483300846
1987-09-30,65.295874726
1987-10-31,65.138700867
1987-11-30,65.08161902
1987-12-31,65.176194577
1988-01-31,65.327243947
1988-02-29,65.504873038
1988-03-31,65.702548363
1988-04-30,65.85310419
1988-05-31,65.844854851
1988-06-30,65.7099636
1988-07-31,65.58982653
1988-08-31,65.588449484
1988-09-30,65.639676644
1988-10-31,65.625551824
1988-11-30,65.520267694
1988-12-31,65.392710531
1989-01-31,65.309488905
1989-02-28,65.266989308
1989-03-31,65.275331636
1989-04-30,65.319077997
1989-05-31,65.366965922
1989-06-30,65.396196379
1989-07-31,65.474887999
1989-08-31,65.702977665
1989-09-30,65.831275983
1989-10-31,65.621685286
1989-11-30,65.318739452
1989-12-31,65.199363554
1990-01-31,65.245780813
1990-02-28,65.262494387
1990-03-31,65.186472399
1990-04-30,65.148228385
1990-05-31,65.228969837
1990-06-30,65.366147699
1990-07-31,65.431489484
1990-08-31,65.33976297
1990-09-30,65.093050173
1990-10-31,64.734915595
1990-11-30,64.414007176
1990-12-31,64.306598171
1991-01-31,64.406695995
1991-02-28,64.597960893
1991-03-31,64.752473008
1991-04-30,64.882882753
1991-05-31,65.091591435
1991-06-30,65.263580487
1991-07-31,65.23455209
1991-08-31,65.190908512
1991-09-30,65.483332338
1991-10-31,66.063361648
1991-11-30,66.476220751
1991-12-31,66.406470257
1992-01-31,66.166217649
1992-02-29,66.146064112
1992-03-31,66.349052304
1992-04-30,66.557347278
1992-05-31,66.628119745
1992-06-30,66.652908913
1992-07-31,66.792483099
1992-08-31,67.034133253
1992-09-30,67.169785095
1992-10-31,67.147227055
1992-11-30,67.128236182
1992-12-31,67.192958115
1993-01-31,67.172661695
1993-02-28,67.076285689
1993-03-31,67.08911106
1993-04-30,67.259666424
1993-05-31,67.619422583
1993-06-30,68.137152109
1993-07-31,68.555009553
1993-08-31,68.775862667
1993-09-30,69.015061939
1993-10-31,69.358527895
1993-11-30,69.71178262
1993-12-31,69.937460295
1994-01-31,70.060770634
1994-02-28,70.317254943
1994-03-31,70.842726788
1994-04-30,71.584011443
1994-05-31,72.356822506
1994-06-30,72.828671724
1994-07-31,73.080977032
1994-08-31,73.433386898
1994-09-30,73.888008557
1994-10-31,74.30760023
1994-11-30,74.597989596
1994-12-31,74.735025443
1995-01-31,74.792616491
1995-02-28,74.964345175
1995-03-31,75.328855141
1995-04-30,75.773933668
1995-05-31,76.166126912
1995-06-30,76.510426003
1995-07-31,76.838075501
1995-08-31,77.182488268
1995-09-30,77.492321406
1995-10-31,77.662682005
1995-11-30,77.760816394
1995-12-31,78.005217095
1996-01-31,78.388920723
1996-02-29,78.806381184
1996-03-31,79.199421256
1996-04-30,79.47746035
1996-05-31,79.726619248
1996-06-30,80.098438155
1996-07-31,80.578365381
1996-08-31,80.88074749
1996-09-30,81.016852264
1996-10-31,81.028605614
1996-11-30,80.867987965
1996-12-31,80.790063877
1997-01-31,80.943910206
1997-02-28,81.260543563
1997-03-31,81.751833016
1997-04-30,82.313047531
1997-05-31,82.746094979
1997-06-30,83.045355145
1997-07-31,83.240809517
1997-08-31,83.435704202
1997-09-30,83.671066539
1997-10-31,83.829915991
1997-11-30,83.982305608
1997-12-31,84.266295795
1998-01-31,84.689125494
1998-02-28,85.194614365
1998-03-31,85.685643186
1998-04-30,86.144447437
1998-05-31,86.555431845
1998-06-30,87.063976532
1998-07-31,87.675814993
1998-08-31,88.101975052
1998-09-30,88.277111365
1998-10-31,88.436587281
1998-11-30,88.706779206
1998-12-31,89.106672749
1999-01-31,89.525979653
1999-02-28,89.975717844
1999-03-31,90.568189941
1999-04-30,91.085034883
1999-05-31,91.521317884
1999-06-30,92.054977
1999-07-31,92.653413963
1999-08-31,93.149621162
1999-09-30,93.483130449
1999-10-31,93.712022067
1999-11-30,93.968369906
1999-12-31,94.509118918
2000-01-31,95.197988292
2000-02-29,95.949115772
2000-03-31,96.683425103
2000-04-30,97.332079844
2000-05-31,98.054713826
2000-06-30,98.551473496
2000-07-31,98.76150989
2000-08-31,98.897529984
2000-09-30,99.102100848
2000-10-31,99.4432094
2000-11-30,99.764884944
2000-12-31,100.0
2001-01-31,100.23878297
2001-02-28,100.66423024
2001-03-31,101.41958351
2001-04-30,102.19602351
2001-05-31,102.76214784
2001-06-30,103.39304909
2001-07-31,103.92652624
2001-08-31,104.2116671
2001-09-30,104.57732277
2001-10-31,104.91044649
2001-11-30,105.05729672
2001-12-31,105.25942853
2002-01-31,105.64394656
2002-02-28,106.2916553
2002-03-31,107.10906727
2002-04-30,107.933832
2002-05-31,108.60513331
2002-06-30,109.15988171
2002-07-31,109.80057538
2002-08-31,110.45756623
2002-09-30,111.18679491
2002-10-31,111.8728364
2002-11-30,112.31197767
2002-12-31,112.56221826
2003-01-31,112.93318418
2003-02-28,113.72319618
2003-03-31,114.75114918
2003-04-30,115.68905103
2003-05-31,116.41861936
2003-06-30,117.18039823
2003-07-31,118.12523828
2003-08-31,119.08079865
2003-09-30,120.10058098
2003-10-31,121.14263264
2003-11-30,121.90219584
2003-12-31,122.59682944
2004-01-31,123.53146032
2004-02-29,124.4844976
2004-03-31,125.65015221
2004-04-30,127.30953678
2004-05-31,129.48514503
2004-06-30,132.02619819
2004-07-31,134.40383259
2004-08-31,136.61414756
2004-09-30,138.98814552
2004-10-31,141.51264755
2004-11-30,143.90424522
2004-12-31,146.0404942
2005-01-31,148.8042788
2005-02-28,153.05588288
2005-03-31,158.58469859
2005-04-30,164.83427218
2005-05-31,171.60521224
2005-06-30,178.25806797
2005-07-31,183.96913879
2005-08-31,188.56859914
2005-09-30,191.95679717
2005-10-31,194.24791917
2005-11-30,195.6544378
2005-12-31,196.9768921
2006-01-31,198.85083369
2006-02-28,200.83045077
2006-03-31,202.55116615
2006-04-30,204.18686408
2006-05-31,205.2448737
2006-06-30,205.25040063
2006-07-31,204.73381935
2006-08-31,203.65157359
2006-09-30,202.50892015
2006-10-31,201.66880817
2006-11-30,200.59580142
2006-12-31,199.7842243
2007-01-31,199.7381391
2007-02-28,200.18248544
2007-03-31,200.47870887
2007-04-30,200.5714612
2007-05-31,200.38861877
2007-06-30,199.35682516
2007-07-31,197.45484405
2007-08-31,194.88876806
2007-09-30,191.788385
2007-10-31,188.30379369
2007-11-30,184.56082932
2007-12-31,180.86746197
2008-01-31,177.34807832
2008-02-29,174.1004655
2008-03-31,170.91599622
2008-04-30,168.03004795
2008-05-31,165.6904872
2008-06-30,162.77735484
2008-07-31,158.69826186
2008-08-31,154.48494658
2008-09-30,150.3848443
2008-10-31,145.42073655
2008-11-30,140.20098868
2008-12-31,135.84581532
2009-01-31,132.38377
2009-02-28,129.2524933
2009-03-31,126.28762561
2009-04-30,124.19696476
2009-05-31,123.15495337
2009-06-30,122.7809393
2009-07-31,122.40378995
2009-08-31,121.82249064
2009-09-30,121.36108758
2009-10-31,120.91055156
2009-11-30,120.1740018
2009-12-31,119.17050387
2010-01-31,118.13268322
2010-02-28,117.28718134
2010-03-31,116.64930937
2010-04-30,116.3009677
2010-05-31,116.3137713
2010-06-30,115.94780497
2010-07-31,114.54508684
2010-08-31,112.27022012
2010-09-30,109.88160847
2010-10-31,107.71980357
2010-11-30,106.00966752
2010-12-31,105.10223623
2011-01-31,104.82600077
2011-02-28,104.73509247
2011-03-31,104.3357694
2011-04-30,103.55692389
2011-05-31,102.86440154
2011-06-30,102.73900198
2011-07-31,102.98841613
2011-08-31,103.26487658
2011-09-30,103.48129923
2011-10-31,103.64254884
2011-11-30,104.15610831
2011-12-31,104.69214939
2012-01-31,105.17188552
2012-02-29,106.50792949
2012-03-31,108.83336098
2012-04-30,111.55554181
2012-05-31,114.51343523
2012-06-30,117.54759238
2012-07-31,120.02093705
2012-08-31,121.73049857
2012-09-30,123.09321448
2012-10-31,124.43682277
2012-11-30,125.43230198
2012-12-31,126.11461195
2013-01-31,127.08010489
2013-02-28,128.87545507
2013-03-31,131.41369947
2013-04-30,133.95724791
2013-05-31,136.32885421
2013-06-30,138.76780749
2013-07-31,140.7925623
2013-08-31,141.84601336
2013-09-30,142.4619607
2013-10-31,143.04584482
2013-11-30,143.29265469
2013-12-31,143.38461798
2014-01-31,143.90843734
2014-02-28,144.73058564
2014-03-31,145.53659296
2014-04-30,146.39505316
2014-05-31,147.16595937
2014-06-30,147.7338706
2014-07-31,147.93976438
2014-08-31,147.68888877
2014-09-30,147.55327677
2014-10-31,148.21608387
2014-11-30,149.36625761
2014-12-31,150.20968592
2015-01-31,150.80533305
2015-02-28,151.78873015
2015-03-31,153.16362298
2015-04-30,154.67120255
2015-05-31,156.0470948
2015-06-30,157.13484992
2015-07-31,158.08338971
2015-08-31,158.99428979
2015-09-30,159.89390042
2015-10-31,160.37997659
2015-11-30,160.46772273
2015-12-31,160.58323951
2016-01-31,161.1433281
2016-02-29,162.63564254
2016-03-31,164.73686466
2016-04-30,166.50399542
2016-05-31,167.44629514
2016-06-30,168.11230224
2016-07-31,169.08449651
2016-08-31,170.18306814
2016-09-30,171.36132839
2016-10-31,172.64874995
2016-11-30,173.53828692
2016-12-31,174.11909593
2017-01-31,174.91173504
2017-02-28,175.87766953
2017-03-31,177.31527046
2017-04-30,179.07340516
2017-05-31,180.29728571
2017-06-30,181.100072
