Date,Value
1975-01-31,19.647451966
1975-02-28,19.875306951
1975-03-31,20.102115952
1975-04-30,20.315570418
1975-05-31,20.494853423
1975-06-30,20.651234271
1975-07-31,20.765025216
1975-08-31,20.773227474
1975-09-30,20.706608083
1975-10-31,20.688196575
1975-11-30,20.814759082
1975-12-31,21.038689221
1976-01-31,21.255645219
1976-02-29,21.438718285
1976-03-31,21.621098888
1976-04-30,21.792311643
1976-05-31,21.909956121
1976-06-30,21.979574665
1976-07-31,22.009310361
1976-08-31,22.008362332
1976-09-30,22.032408792
1976-10-31,22.173065352
1976-11-30,22.440542047
1976-12-31,22.721353808
1977-01-31,22.933155225
1977-02-28,23.109581719
1977-03-31,23.307136676
1977-04-30,23.577776224
1977-05-31,23.916893161
1977-06-30,24.314145866
1977-07-31,24.802325584
1977-08-31,25.315915024
1977-09-30,25.77033152
1977-10-31,26.183442225
1977-11-30,26.573568897
1977-12-31,26.921739853
1978-01-31,27.209436325
1978-02-28,27.456572709
1978-03-31,27.779488289
1978-04-30,28.226371621
1978-05-31,28.699903216
1978-06-30,29.159237521
1978-07-31,29.650048766
1978-08-31,30.11354345
1978-09-30,30.480590874
1978-10-31,30.851096502
1978-11-30,31.328138602
1978-12-31,31.879403752
1979-01-31,32.415377414
1979-02-28,32.833754598
1979-03-31,33.135676408
1979-04-30,33.45483119
1979-05-31,33.842037654
1979-06-30,34.263838017
1979-07-31,34.645826361
1979-08-31,34.923667769
1979-09-30,35.160127864
1979-10-31,35.483817693
1979-11-30,35.924868793
1979-12-31,36.322225894
1980-01-31,36.583179431
1980-02-29,36.792300952
1980-03-31,37.027409983
1980-04-30,37.321965865
1980-05-31,37.669414952
1980-06-30,38.029242577
1980-07-31,38.380725544
1980-08-31,38.703590046
1980-09-30,38.97104488
1980-10-31,39.194915532
1980-11-30,39.379087479
1980-12-31,39.495987175
1981-01-31,39.474180613
1981-02-28,39.325061339
1981-03-31,39.231763664
1981-04-30,39.343255071
1981-05-31,39.608414373
1981-06-30,39.936592753
1981-07-31,40.349385966
1981-08-31,40.83311176
1981-09-30,41.243720834
1981-10-31,41.491497781
1981-11-30,41.645417007
1981-12-31,41.818573782
1982-01-31,42.026654947
1982-02-28,42.231265358
1982-03-31,42.435337436
1982-04-30,42.634015912
1982-05-31,42.825660295
1982-06-30,43.035982761
1982-07-31,43.282935976
1982-08-31,43.576314342
1982-09-30,43.900704862
1982-10-31,44.213780983
1982-11-30,44.444572909
1982-12-31,44.524311285
1983-01-31,44.479094866
1983-02-28,44.370040099
1983-03-31,44.267318858
1983-04-30,44.348164844
1983-05-31,44.675227356
1983-06-30,45.034039985
1983-07-31,45.160997917
1983-08-31,44.992360413
1983-09-30,44.668205267
1983-10-31,44.401096263
1983-11-30,44.327679529
1983-12-31,44.410497219
1984-01-31,44.588299721
1984-02-29,44.793048495
1984-03-31,44.938279439
1984-04-30,45.065171436
1984-05-31,45.226888391
1984-06-30,45.366071531
1984-07-31,45.382742237
1984-08-31,45.300088273
1984-09-30,45.226001562
1984-10-31,45.226958686
1984-11-30,45.302943307
1984-12-31,45.420703357
1985-01-31,45.45916283
1985-02-28,45.329057172
1985-03-31,45.164013622
1985-04-30,45.110412873
1985-05-31,45.18843328
1985-06-30,45.309034069
1985-07-31,45.32598933
1985-08-31,45.082053518
1985-09-30,44.635960856
1985-10-31,44.526163574
1985-11-30,44.866173315
1985-12-31,45.279153515
1986-01-31,45.60373009
1986-02-28,45.805210824
1986-03-31,45.984870122
1986-04-30,46.150451095
1986-05-31,46.223242094
1986-06-30,46.169726444
1986-07-31,46.082397571
1986-08-31,46.017235327
1986-09-30,45.940448896
1986-10-31,45.827471322
1986-11-30,45.662183786
1986-12-31,45.625842981
1987-01-31,45.880811164
1987-02-28,46.220144422
1987-03-31,46.280706898
1987-04-30,46.019014169
1987-05-31,45.660656577
1987-06-30,45.301129214
1987-07-31,45.03724928
1987-08-31,44.932356142
1987-09-30,44.868580432
1987-10-31,44.737905743
1987-11-30,44.544866577
1987-12-31,44.38913541
1988-01-31,44.365880241
1988-02-29,44.507090577
1988-03-31,44.661084899
1988-04-30,44.678893529
1988-05-31,44.537032672
1988-06-30,44.279561789
1988-07-31,44.087063736
1988-08-31,44.008232498
1988-09-30,43.977337566
