Date,Value
1975-01-31,31.036368206
1975-02-28,32.252269225
1975-03-31,34.035889717
1975-04-30,36.222624924
1975-05-31,36.457310188
1975-06-30,34.815122304
1975-07-31,33.58594504
1975-08-31,33.012825567
1975-09-30,32.878150217
1975-10-31,33.009574173
1975-11-30,33.263830935
1975-12-31,33.409853141
1976-01-31,33.373300837
1976-02-29,33.389838551
1976-03-31,33.932085233
1976-04-30,35.154825782
1976-05-31,35.487946536
1976-06-30,34.629923125
1976-07-31,34.033512838
1976-08-31,33.921707296
1976-09-30,34.027834256
1976-10-31,34.133865532
1976-11-30,34.200511735
1976-12-31,34.061909606
1977-01-31,33.577663076
1977-02-28,32.890087207
1977-03-31,33.012283124
1977-04-30,34.777339127
1977-05-31,35.992037765
1977-06-30,35.536987924
1977-07-31,35.119648912
1977-08-31,35.071842321
1977-09-30,35.30975998
1977-10-31,35.720611006
1977-11-30,36.19227078
1977-12-31,36.693780918
1978-01-31,37.037556207
1978-02-28,37.217653032
1978-03-31,37.561120076
1978-04-30,38.350852449
1978-05-31,38.77164469
1978-06-30,38.65944295
1978-07-31,38.751673369
1978-08-31,39.038070874
1978-09-30,39.533942578
1978-10-31,40.147452547
1978-11-30,40.541441134
1978-12-31,40.735292194
1979-01-31,41.114402978
1979-02-28,41.692027988
1979-03-31,42.501202819
1979-04-30,43.768918534
1979-05-31,44.198379701
1979-06-30,43.692278178
1979-07-31,43.770879582
1979-08-31,44.518878519
1979-09-30,45.502275404
1979-10-31,46.220604422
1979-11-30,46.611655247
1979-12-31,46.87159294
1980-01-31,47.094983528
1980-02-29,47.452190929
1980-03-31,48.284326918
1980-04-30,49.551774082
1980-05-31,50.088977933
1980-06-30,49.825401366
1980-07-31,49.902578124
1980-08-31,50.515363943
1980-09-30,51.367559059
1980-10-31,52.054468271
1980-11-30,52.490325564
1980-12-31,52.751181153
1981-01-31,52.828192387
1981-02-28,52.901855213
1981-03-31,53.284282457
1981-04-30,53.905098719
1981-05-31,54.024846981
1981-06-30,53.535290352
1981-07-31,52.987495885
1981-08-31,52.912139817
1981-09-30,53.655304004
1981-10-31,54.680551566
1981-11-30,55.546820037
1981-12-31,56.336978198
1982-01-31,56.97171715
1982-02-28,57.240609455
1982-03-31,57.277890613
1982-04-30,57.453478258
1982-05-31,57.783147701
1982-06-30,58.187069021
1982-07-31,58.79040128
1982-08-31,59.476225422
1982-09-30,59.877034851
1982-10-31,59.851151626
1982-11-30,59.489644811
1982-12-31,58.931472839
1983-01-31,58.386722761
1983-02-28,58.171242637
1983-03-31,58.422344513
1983-04-30,58.810002219
1983-05-31,59.129049137
1983-06-30,59.468327782
1983-07-31,59.770821091
1983-08-31,59.882389185
1983-09-30,59.746798609
1983-10-31,59.645334952
1983-11-30,59.682034485
1983-12-31,59.779784938
1984-01-31,59.917025608
1984-02-29,60.011046768
1984-03-31,60.122287568
1984-04-30,60.477033677
1984-05-31,61.093008777
1984-06-30,61.600056981
1984-07-31,61.814620655
