Date,Value
1975-01-31,25.465745539
1975-02-28,25.688442237
1975-03-31,25.967049145
1975-04-30,26.259683338
1975-05-31,26.42947977
1975-06-30,26.52087289
1975-07-31,26.650689682
1975-08-31,26.778952956
1975-09-30,26.897493343
1975-10-31,27.04861841
1975-11-30,27.270992174
1975-12-31,27.606789074
1976-01-31,27.970211509
1976-02-29,28.260752966
1976-03-31,28.508710261
1976-04-30,28.784580835
1976-05-31,29.183540569
1976-06-30,29.679271223
1976-07-31,30.019609881
1976-08-31,30.144442539
1976-09-30,30.185774684
1976-10-31,30.269648276
1976-11-30,30.488573423
1976-12-31,30.666816549
1977-01-31,30.767690665
1977-02-28,31.046156168
1977-03-31,31.656728565
1977-04-30,32.426901574
1977-05-31,32.74545383
1977-06-30,32.74292847
1977-07-31,33.023389417
1977-08-31,33.511431176
1977-09-30,33.988453132
1977-10-31,34.421543467
1977-11-30,34.717372429
1977-12-31,34.797848629
1978-01-31,34.948449145
1978-02-28,35.394497734
1978-03-31,36.197598378
1978-04-30,37.298492237
1978-05-31,38.017195462
1978-06-30,38.260466253
1978-07-31,38.511484251
1978-08-31,38.756831984
1978-09-30,38.999128571
1978-10-31,39.218994846
1978-11-30,39.166861616
1978-12-31,38.867733094
1979-01-31,38.82097341
1979-02-28,39.131889681
1979-03-31,39.732427139
1979-04-30,40.599772253
1979-05-31,40.884958285
1979-06-30,40.697728541
1979-07-31,40.877811915
1979-08-31,41.194887814
1979-09-30,41.445358912
1979-10-31,41.575651057
1979-11-30,41.408554258
1979-12-31,41.05599591
1980-01-31,40.920413856
1980-02-29,41.10062773
1980-03-31,41.450697797
1980-04-30,41.939131189
1980-05-31,41.988782183
1980-06-30,41.357650652
1980-07-31,40.698834048
1980-08-31,40.419944112
1980-09-30,40.584475183
1980-10-31,41.010813732
1980-11-30,41.464521996
1980-12-31,41.780588365
1981-01-31,41.998964384
1981-02-28,42.321318061
1981-03-31,42.878904703
1981-04-30,43.505164666
1981-05-31,43.732050121
1981-06-30,43.561335751
1981-07-31,43.357940527
1981-08-31,43.15404409
1981-09-30,42.946178131
1981-10-31,42.768771824
1981-11-30,42.549491107
1981-12-31,42.26633355
1982-01-31,41.977999356
1982-02-28,41.727824978
1982-03-31,41.551042546
1982-04-30,41.498882293
1982-05-31,41.635176622
1982-06-30,41.910635727
1982-07-31,42.065827385
1982-08-31,41.78792687
1982-09-30,41.160120203
1982-10-31,40.53846888
1982-11-30,39.927767887
1982-12-31,39.488953088
1983-01-31,39.815416536
1983-02-28,40.765456372
1983-03-31,41.756988983
1983-04-30,42.587145996
1983-05-31,43.137145911
1983-06-30,43.381607201
1983-07-31,43.479291377
1983-08-31,43.606730789
1983-09-30,43.783135137
1983-10-31,43.888158472
1983-11-30,43.853849816
1983-12-31,43.737871651
1984-01-31,43.67240424
1984-02-29,43.772077554
1984-03-31,44.030497257
1984-04-30,44.41263788
1984-05-31,44.78877522
1984-06-30,44.99078146
1984-07-31,45.00516746
1984-08-31,44.883299889
1984-09-30,44.814829568
1984-10-31,44.884698526
1984-11-30,44.918575007
1984-12-31,44.885380016
1985-01-31,45.005194934
1985-02-28,45.271797664
1985-03-31,45.44850556
1985-04-30,45.487353779
1985-05-31,45.604733692
1985-06-30,45.902982334
1985-07-31,46.19754835
1985-08-31,46.541233895
1985-09-30,46.853133104
1985-10-31,46.977517726
1985-11-30,47.046208235
1985-12-31,47.132076078
1986-01-31,47.177204616
1986-02-28,47.299849472
1986-03-31,47.619939989
1986-04-30,48.102113209
1986-05-31,48.710281566
1986-06-30,49.347592944
1986-07-31,49.912830577
1986-08-31,50.218836445
1986-09-30,50.360146982
1986-10-31,50.585162105
1986-11-30,50.829246144
1986-12-31,50.921413941
1987-01-31,50.826365856
1987-02-28,51.213638806
1987-03-31,52.134361982
1987-04-30,52.928561917
1987-05-31,53.596106398
1987-06-30,54.135626094
1987-07-31,54.516441162
1987-08-31,54.882256994
1987-09-30,55.183856377
1987-10-31,55.302843861
1987-11-30,55.304651368
1987-12-31,55.373682427
1988-01-31,55.597190213
1988-02-29,55.924768869
1988-03-31,56.493127079
1988-04-30,57.231244405
1988-05-31,57.919273874
1988-06-30,58.478150816
1988-07-31,58.971406844
1988-08-31,59.405740891
1988-09-30,59.542403453
1988-10-31,59.514330018
1988-11-30,59.702826327
1988-12-31,60.035569191
1989-01-31,60.346281769
1989-02-28,60.782254997
1989-03-31,61.315288572
1989-04-30,61.830150018
1989-05-31,62.314282316
1989-06-30,62.823990106
1989-07-31,63.245522007
1989-08-31,63.472754391
1989-09-30,63.760586445
1989-10-31,64.11512506
1989-11-30,64.299072472
1989-12-31,64.40522465
1990-01-31,64.559708984
1990-02-28,64.803459596
1990-03-31,65.237399394
1990-04-30,65.731320566
1990-05-31,66.149978745
1990-06-30,66.469979555
1990-07-31,66.710931228
1990-08-31,66.801699566
1990-09-30,66.813939049
1990-10-31,66.945521638
1990-11-30,66.984884354
1990-12-31,66.882336899
1991-01-31,66.980706971
1991-02-28,67.317134709
1991-03-31,67.702096874
1991-04-30,68.024650575
1991-05-31,68.231068886
1991-06-30,68.433112268
1991-07-31,68.661030685
1991-08-31,68.80164343
1991-09-30,68.880660295
1991-10-31,69.026647715
1991-11-30,69.165369609
1991-12-31,69.201737794
1992-01-31,69.34434921
1992-02-29,69.793821266
1992-03-31,70.276562491
1992-04-30,70.563038181
1992-05-31,70.785469753
1992-06-30,71.043270466
1992-07-31,71.369774822
1992-08-31,71.543129986
1992-09-30,71.736297389
1992-10-31,72.027023376
1992-11-30,72.15234572
1992-12-31,72.067911182
1993-01-31,72.076220678
1993-02-28,72.24386353
1993-03-31,72.535808417
1993-04-30,73.142047048
1993-05-31,73.872423091
1993-06-30,74.359133285
1993-07-31,74.549698895
1993-08-31,74.751219416
1993-09-30,74.935675323
1993-10-31,74.776040325
1993-11-30,74.604153371
1993-12-31,74.661954206
1994-01-31,74.746877102
1994-02-28,74.983566783
1994-03-31,75.450384214
1994-04-30,76.05128962
1994-05-31,76.623909065
1994-06-30,77.130058364
1994-07-31,77.591380653
1994-08-31,77.829224885
1994-09-30,77.804958438
1994-10-31,77.678638683
1994-11-30,77.616094237
1994-12-31,77.742831515
1995-01-31,77.840633288
1995-02-28,77.824112824
1995-03-31,77.989568244
1995-04-30,78.408803239
1995-05-31,78.866862214
1995-06-30,79.295163002
1995-07-31,79.638897899
1995-08-31,79.83243262
1995-09-30,79.853645476
1995-10-31,79.738159801
1995-11-30,79.784320523
1995-12-31,79.841228358
1996-01-31,79.756092955
1996-02-29,79.904421795
1996-03-31,80.438158973
1996-04-30,81.19442598
1996-05-31,81.788791075
1996-06-30,82.067006768
1996-07-31,82.197567018
1996-08-31,82.182386653
1996-09-30,82.098167879
1996-10-31,82.159175985
1996-11-30,82.08830874
1996-12-31,81.861657965
1997-01-31,81.815552825
1997-02-28,82.041818975
1997-03-31,82.561171422
1997-04-30,83.307242236
1997-05-31,83.936974884
1997-06-30,84.216423541
1997-07-31,84.283828733
1997-08-31,84.28117556
1997-09-30,84.251453572
1997-10-31,84.19192527
1997-11-30,84.124891633
1997-12-31,83.872037781
1998-01-31,83.73880865
1998-02-28,84.118352367
1998-03-31,84.863259585
1998-04-30,85.636011915
1998-05-31,86.288891702
1998-06-30,86.856737453
1998-07-31,87.295916976
1998-08-31,87.487257806
1998-09-30,87.386178412
1998-10-31,87.509088326
1998-11-30,87.788228698
1998-12-31,87.886141883
1999-01-31,88.040222814
1999-02-28,88.307744823
1999-03-31,88.891688088
1999-04-30,89.823124698
1999-05-31,90.742953509
1999-06-30,91.535101035
1999-07-31,92.120413808
1999-08-31,92.547764323
