Date,Value
1975-01-31,32.46061598
1975-02-28,32.910658936
1975-03-31,33.347452054
1975-04-30,33.698263495
1975-05-31,33.903943303
1975-06-30,33.938381614
1975-07-31,33.806502813
1975-08-31,33.554816818
1975-09-30,33.29957853
1975-10-31,33.256103553
1975-11-30,33.494612839
1975-12-31,33.857741676
1976-01-31,34.200942294
1976-02-29,34.481185191
1976-03-31,34.702986735
1976-04-30,34.926560563
1976-05-31,35.20568162
1976-06-30,35.475759951
1976-07-31,35.6384122
1976-08-31,35.669517081
1976-09-30,35.648303519
1976-10-31,35.69401208
1976-11-30,35.87918191
1976-12-31,36.195176544
1977-01-31,36.526067578
1977-02-28,36.805599268
1977-03-31,37.055205727
1977-04-30,37.267209154
1977-05-31,37.502113182
1977-06-30,37.90738193
1977-07-31,38.488509141
1977-08-31,39.077667616
1977-09-30,39.554591979
1977-10-31,39.97078808
1977-11-30,40.442180057
1977-12-31,40.982780438
1978-01-31,41.550182454
1978-02-28,42.061003217
1978-03-31,42.466215618
1978-04-30,42.865443246
1978-05-31,43.338610317
1978-06-30,43.757280157
1978-07-31,43.961178852
1978-08-31,44.026108817
1978-09-30,44.112110701
1978-10-31,44.303678014
1978-11-30,44.688375988
1978-12-31,45.228547378
1979-01-31,45.813358812
1979-02-28,46.379697193
1979-03-31,46.860414275
1979-04-30,47.311570372
1979-05-31,47.762400021
1979-06-30,48.156955392
1979-07-31,48.482559135
1979-08-31,48.675435738
1979-09-30,48.732597541
1979-10-31,48.775128567
1979-11-30,48.832286292
1979-12-31,48.800748478
1980-01-31,48.670145845
1980-02-29,48.537140487
1980-03-31,48.452659535
1980-04-30,48.46297534
1980-05-31,48.662474753
1980-06-30,49.122734942
1980-07-31,49.751457592
1980-08-31,50.273034712
1980-09-30,50.472572826
1980-10-31,50.447503377
1980-11-30,50.424513959
1980-12-31,50.483117709
1981-01-31,50.588424986
1981-02-28,50.71319114
1981-03-31,50.843741488
1981-04-30,50.964533081
1981-05-31,51.0477059
1981-06-30,51.072778861
1981-07-31,51.101988256
1981-08-31,51.17741676
1981-09-30,51.24034747
1981-10-31,51.281793375
1981-11-30,51.30427823
1981-12-31,51.212772065
1982-01-31,50.967485627
1982-02-28,50.653251905
1982-03-31,50.392741678
1982-04-30,50.234282072
1982-05-31,50.074363977
1982-06-30,49.73966328
1982-07-31,49.174636572
1982-08-31,48.499415417
1982-09-30,47.996891931
1982-10-31,48.051294182
1982-11-30,48.725367074
1982-12-31,49.566340731
1983-01-31,50.116865424
1983-02-28,50.285453943
1983-03-31,50.228144221
1983-04-30,50.116668108
1983-05-31,50.094072966
1983-06-30,50.173111936
1983-07-31,50.245001316
1983-08-31,50.286272171
1983-09-30,50.315069457
1983-10-31,50.336431022
1983-11-30,50.302229959
1983-12-31,50.217129449
1984-01-31,50.153861295
1984-02-29,50.192226345
1984-03-31,50.48750511
1984-04-30,51.035652985
1984-05-31,51.502233901
1984-06-30,51.604741628
1984-07-31,51.504509007
1984-08-31,51.456530341
1984-09-30,51.511953831
1984-10-31,51.749147462
1984-11-30,52.139233549
1984-12-31,52.463078242
1985-01-31,52.63589548
1985-02-28,52.741392022
1985-03-31,52.910676411
1985-04-30,53.187735656
1985-05-31,53.388855701
1985-06-30,53.333497685
1985-07-31,53.13936511
1985-08-31,53.022407433
1985-09-30,53.112469023
1985-10-31,53.345642593
1985-11-30,53.612378997
1985-12-31,53.868237969
1986-01-31,53.998339389
1986-02-28,54.068429352
1986-03-31,54.304911959
1986-04-30,54.945016806
1986-05-31,55.895894417
1986-06-30,56.588639569
1986-07-31,56.796033231
1986-08-31,56.751078953
1986-09-30,56.746713461
1986-10-31,56.865618643
1986-11-30,56.980672183
1986-12-31,57.193929407
1987-01-31,57.504957504
1987-02-28,57.750261389
1987-03-31,57.976031616
1987-04-30,58.189317153
1987-05-31,58.397622882
1987-06-30,58.65995951
1987-07-31,58.963456266
1987-08-31,59.152005478
1987-09-30,59.051231024
1987-10-31,58.91267926
1987-11-30,59.101340961
1987-12-31,59.505892164
1988-01-31,59.881628992
1988-02-29,60.234387793
1988-03-31,60.647653613
1988-04-30,61.018059661
1988-05-31,61.303095061
1988-06-30,61.622942378
1988-07-31,61.891505294
1988-08-31,62.076302961
1988-09-30,62.278657285
1988-10-31,62.49181724
1988-11-30,62.585885723
1988-12-31,62.582541216
1989-01-31,62.639955958
1989-02-28,62.852971537
1989-03-31,63.270256365
1989-04-30,63.864976351
1989-05-31,64.401781797
1989-06-30,64.764371732
1989-07-31,65.078211606
1989-08-31,65.306584233
1989-09-30,65.426412247
1989-10-31,65.549510983
1989-11-30,65.749885153
1989-12-31,65.894884967
1990-01-31,65.928173857
1990-02-28,66.116344939
1990-03-31,66.451458534
1990-04-30,66.695585435
1990-05-31,66.92795457
1990-06-30,67.267030679
1990-07-31,67.656901874
1990-08-31,67.850686379
1990-09-30,67.814242378
1990-10-31,67.768413533
1990-11-30,67.745616999
1990-12-31,67.820253902
1991-01-31,68.151690535
1991-02-28,68.573670987
1991-03-31,68.807360979
1991-04-30,69.007771594
1991-05-31,69.354536305
1991-06-30,69.685964447
1991-07-31,69.881214674
1991-08-31,69.954099308
1991-09-30,70.036409505
1991-10-31,70.23677046
1991-11-30,70.448681
1991-12-31,70.619824197
1992-01-31,70.878298085
1992-02-29,71.303926477
1992-03-31,71.793341947
1992-04-30,72.157927058
1992-05-31,72.367873302
1992-06-30,72.599448081
1992-07-31,72.9416222
1992-08-31,73.238128456
1992-09-30,73.470955639
1992-10-31,73.660097732
1992-11-30,73.80247834
1992-12-31,73.953355137
1993-01-31,73.982746895
1993-02-28,74.128779278
1993-03-31,74.496223103
1993-04-30,75.020338326
1993-05-31,75.818428163
1993-06-30,76.398602472
1993-07-31,76.638723459
1993-08-31,76.742007951
1993-09-30,76.770945829
1993-10-31,76.961748125
1993-11-30,77.258199221
1993-12-31,77.473765496
1994-01-31,77.663260575
1994-02-28,77.832724277
1994-03-31,78.104715188
1994-04-30,78.769631732
1994-05-31,79.592115085
1994-06-30,80.144256622
1994-07-31,80.441567448
1994-08-31,80.721856702
1994-09-30,80.91451671
1994-10-31,80.988790706
1994-11-30,81.063806784
1994-12-31,81.084316677
1995-01-31,81.149067526
1995-02-28,81.471167252
1995-03-31,81.953461857
1995-04-30,82.394755847
1995-05-31,82.760659932
1995-06-30,83.162625045
1995-07-31,83.591117871
1995-08-31,83.874619723
1995-09-30,83.981785597
1995-10-31,84.025849327
1995-11-30,84.138835341
1995-12-31,84.374820708
1996-01-31,84.623224022
1996-02-29,84.9610928
1996-03-31,85.607157438
1996-04-30,86.406339985
1996-05-31,86.983082229
1996-06-30,87.381245772
1996-07-31,87.760782639
1996-08-31,87.845218937
1996-09-30,87.789839092
1996-10-31,87.898224963
1996-11-30,87.936738193
1996-12-31,87.857728002
1997-01-31,87.776421528
1997-02-28,87.87354813
1997-03-31,88.543512157
1997-04-30,89.448141154
1997-05-31,89.891664563
1997-06-30,90.027407399
1997-07-31,90.173682021
1997-08-31,90.258283624
1997-09-30,90.30699019
1997-10-31,90.382217545
1997-11-30,90.366667566
1997-12-31,90.149946335
1998-01-31,90.024374794
1998-02-28,90.490648173
1998-03-31,91.191995839
1998-04-30,91.727671983
1998-05-31,92.221970817
1998-06-30,92.706509001
1998-07-31,93.057287434
1998-08-31,93.14361995
1998-09-30,93.215780356
1998-10-31,93.55756547
1998-11-30,93.889427411
1998-12-31,93.861027513
1999-01-31,93.688757498
1999-02-28,93.895738824
1999-03-31,94.361977593
1999-04-30,94.871226907
1999-05-31,95.518353689
1999-06-30,96.132204577
1999-07-31,96.652689779
1999-08-31,96.926269734
1999-09-30,96.959231383
1999-10-31,97.086198364
1999-11-30,97.286480188
1999-12-31,97.346393775
2000-01-31,97.340774011
2000-02-29,97.641417523
2000-03-31,98.327183536
2000-04-30,99.141199063
2000-05-31,99.956739154
2000-06-30,100.51080515
2000-07-31,100.69624092
2000-08-31,100.70642629
2000-09-30,100.62059088
2000-10-31,100.44337991
2000-11-30,100.25341636
2000-12-31,100.0
2001-01-31,99.751062278
2001-02-28,99.892471827
2001-03-31,100.38440254
2001-04-30,100.9758147
2001-05-31,101.52441042
2001-06-30,102.0398141
2001-07-31,102.3643314
2001-08-31,102.26611512
2001-09-30,102.06863453
2001-10-31,101.997911
2001-11-30,102.03307464
2001-12-31,102.15920801
2002-01-31,102.34733095
2002-02-28,102.67118575
2002-03-31,103.15074311
2002-04-30,103.75432769
2002-05-31,104.21594901
2002-06-30,104.46519037
2002-07-31,104.73549998
2002-08-31,104.8255147
2002-09-30,104.69775228
2002-10-31,104.61296195
2002-11-30,104.39454813
2002-12-31,104.02242555
2003-01-31,103.84628272
2003-02-28,103.99438198
2003-03-31,104.5952447
2003-04-30,105.37127659
2003-05-31,106.0169419
2003-06-30,106.7688159
2003-07-31,107.27951272
2003-08-31,107.25499151
2003-09-30,107.08583792
2003-10-31,106.94674813
2003-11-30,106.75698034
2003-12-31,106.49825042
2004-01-31,106.26516918
2004-02-29,106.34331713
2004-03-31,106.97233443
2004-04-30,108.01239341
2004-05-31,109.105912
2004-06-30,109.96794386
2004-07-31,110.54829912
2004-08-31,110.57440153
2004-09-30,110.14651158
2004-10-31,109.80483244
2004-11-30,109.48861666
2004-12-31,108.97659555
2005-01-31,108.60703586
2005-02-28,108.77672972
2005-03-31,109.55930407
2005-04-30,110.89492335
2005-05-31,112.13650268
2005-06-30,112.71875705
2005-07-31,113.00808133
2005-08-31,113.26461058
2005-09-30,113.3598313
2005-10-31,113.18455802
2005-11-30,112.76150757
2005-12-31,112.13502379
2006-01-31,111.58977826
2006-02-28,111.67764276
2006-03-31,112.46128512
2006-04-30,113.62274525
2006-05-31,114.55733399
2006-06-30,115.09199171
2006-07-31,115.44568719
2006-08-31,115.5556986
2006-09-30,115.22689683
2006-10-31,114.56843632
2006-11-30,113.85772055
2006-12-31,113.00243074
2007-01-31,112.43168356
2007-02-28,112.37667091
2007-03-31,112.95271754
