Date,Value
1975-01-31,32.974184948
1975-02-28,33.596053781
1975-03-31,34.22260523
1975-04-30,34.700021356
1975-05-31,34.934128461
1975-06-30,35.034305815
1975-07-31,35.179151016
1975-08-31,35.405410216
1975-09-30,35.634954623
1975-10-31,35.837966523
1975-11-30,36.05519006
1975-12-31,36.335690269
1976-01-31,36.641880309
1976-02-29,36.939193157
1976-03-31,37.252735846
1976-04-30,37.605204132
1976-05-31,37.934229894
1976-06-30,38.142097068
1976-07-31,38.279864268
1976-08-31,38.467306747
1976-09-30,38.712674644
1976-10-31,39.015369469
1976-11-30,39.358709839
1976-12-31,39.686659254
1977-01-31,40.023365632
1977-02-28,40.425218507
1977-03-31,40.909882752
1977-04-30,41.458566511
1977-05-31,42.037993055
1977-06-30,42.602165774
1977-07-31,43.097556701
1977-08-31,43.502895118
1977-09-30,43.852319673
1977-10-31,44.220877624
1977-11-30,44.759383799
1977-12-31,45.532167234
1978-01-31,46.421394036
1978-02-28,47.279468061
1978-03-31,48.064264988
1978-04-30,48.81169568
1978-05-31,49.526764905
1978-06-30,50.185792546
1978-07-31,50.739402978
1978-08-31,51.251596227
1978-09-30,51.826119933
1978-10-31,52.521598589
1978-11-30,53.34470665
1978-12-31,54.162738208
1979-01-31,54.868041822
1979-02-28,55.504182874
1979-03-31,56.147140027
1979-04-30,56.907496208
1979-05-31,57.795040351
1979-06-30,58.588325164
1979-07-31,59.139912169
1979-08-31,59.510004478
1979-09-30,59.812988526
1979-10-31,60.075269159
1979-11-30,60.334107738
1979-12-31,60.704057495
1980-01-31,61.195116395
1980-02-29,61.710638429
1980-03-31,62.136428464
1980-04-30,62.390773453
1980-05-31,62.484489636
1980-06-30,62.481780905
1980-07-31,62.501490761
1980-08-31,62.714388105
1980-09-30,63.142225313
1980-10-31,63.614181842
1980-11-30,63.95620188
1980-12-31,64.168311138
1981-01-31,64.45944026
1981-02-28,64.964589492
1981-03-31,65.643716174
1981-04-30,66.423748833
1981-05-31,67.225156939
1981-06-30,67.944524166
1981-07-31,68.438883033
1981-08-31,68.678712015
1981-09-30,68.848089552
1981-10-31,69.080279903
1981-11-30,69.338548733
1981-12-31,69.584332893
1982-01-31,69.859238193
1982-02-28,70.179404578
1982-03-31,70.513023746
1982-04-30,70.821235034
1982-05-31,71.014371104
1982-06-30,71.04701211
1982-07-31,70.93968965
1982-08-31,70.667872783
1982-09-30,70.270935084
1982-10-31,69.943540044
1982-11-30,69.908591293
1982-12-31,70.207166253
1983-01-31,70.612311694
1983-02-28,70.877045989
1983-03-31,70.950804048
1983-04-30,70.990498563
1983-05-31,71.186050665
1983-06-30,71.538172989
1983-07-31,71.962603727
1983-08-31,72.337635924
1983-09-30,72.515690604
1983-10-31,72.514875955
1983-11-30,72.469104847
1983-12-31,72.4798535
1984-01-31,72.466406714
1984-02-29,72.310775665
1984-03-31,72.195311421
1984-04-30,72.344883409
1984-05-31,72.672542285
1984-06-30,72.900988628
1984-07-31,72.863758231
1984-08-31,72.624788633
1984-09-30,72.322883236
1984-10-31,71.914590827
1984-11-30,71.326085026
1984-12-31,70.751695251
1985-01-31,70.453454155
1985-02-28,70.554723852
1985-03-31,71.026623075
1985-04-30,71.576215804
1985-05-31,71.803822969
1985-06-30,71.592923465
1985-07-31,71.164271857
1985-08-31,70.712867211
1985-09-30,70.265751784
1985-10-31,69.796463149
1985-11-30,69.243660267
1985-12-31,68.900254841
1986-01-31,69.025566616
1986-02-28,69.429025975
1986-03-31,69.899207837
1986-04-30,70.305753033
1986-05-31,70.411487796
1986-06-30,70.052130014
1986-07-31,69.210356794
1986-08-31,68.272246444
1986-09-30,67.85346469
1986-10-31,67.668654146
1986-11-30,67.335049017
1986-12-31,67.132012371
1987-01-31,67.177139035
1987-02-28,67.352434552
1987-03-31,67.582997396
1987-04-30,67.803984247
1987-05-31,67.698637705
1987-06-30,67.054603478
1987-07-31,66.11889395
1987-08-31,65.242405623
1987-09-30,64.694139167
1987-10-31,64.469721457
1987-11-30,64.333611194
1987-12-31,64.065201036
1988-01-31,63.674111779
1988-02-29,63.331182788
1988-03-31,63.069914069
1988-04-30,62.872138807
1988-05-31,62.846196102
1988-06-30,62.94422122
1988-07-31,62.906193765
1988-08-31,62.603640519
1988-09-30,62.15221811
1988-10-31,61.780998194
1988-11-30,61.581036089
1988-12-31,61.447567762
1989-01-31,61.360821755
1989-02-28,61.358799677
1989-03-31,61.427077443
1989-04-30,61.60791991
1989-05-31,61.931289073
1989-06-30,62.388065521
1989-07-31,62.856944243
1989-08-31,63.143367549
1989-09-30,63.311150248
1989-10-31,63.418292478
1989-11-30,63.363469801
1989-12-31,63.175452644
1990-01-31,62.977009476
1990-02-28,62.96033396
1990-03-31,63.165798135
1990-04-30,63.426532335
1990-05-31,63.627699301
1990-06-30,63.779482042
1990-07-31,63.91949205
1990-08-31,63.993713273
1990-09-30,63.970563355
1990-10-31,64.009570823
1990-11-30,64.043984724
1990-12-31,63.674410589
1991-01-31,62.916159014
1991-02-28,62.572689207
1991-03-31,63.132986402
1991-04-30,64.111384808
1991-05-31,65.017006724
1991-06-30,65.611663332
1991-07-31,65.822810859
1991-08-31,65.909276804
1991-09-30,66.119295966
1991-10-31,66.466959246
1991-11-30,66.903505233
1991-12-31,67.3204225
1992-01-31,67.599458717
1992-02-29,67.740505875
1992-03-31,67.87190362
1992-04-30,68.135980026
1992-05-31,68.507507037
1992-06-30,68.898880436
1992-07-31,69.164888251
1992-08-31,69.376716765
1992-09-30,69.751604998
1992-10-31,70.155683689
1992-11-30,70.345707699
1992-12-31,70.290391112
1993-01-31,70.221339929
1993-02-28,70.340581491
1993-03-31,70.570134781
1993-04-30,70.938038846
1993-05-31,71.535427327
1993-06-30,72.219160046
1993-07-31,72.873159869
1993-08-31,73.323533461
1993-09-30,73.61817148
1993-10-31,73.880552264
1993-11-30,74.273663136
