Date,Value
1975-01-31,26.926646108
1975-02-28,26.841183889
1975-03-31,26.798775129
1975-04-30,26.840811833
1975-05-31,26.959801641
1975-06-30,27.116945733
1975-07-31,27.309348323
1975-08-31,27.51621802
1975-09-30,27.668737726
1975-10-31,27.811877253
1975-11-30,28.064118964
1975-12-31,28.372839923
1976-01-31,28.623544251
1976-02-29,28.796465487
1976-03-31,28.941140578
1976-04-30,29.097381283
1976-05-31,29.276398582
1976-06-30,29.500399948
1976-07-31,29.768657118
1976-08-31,30.014964625
1976-09-30,30.138005794
1976-10-31,30.149495065
1976-11-30,30.193781513
1976-12-31,30.411857202
1977-01-31,30.774243162
1977-02-28,31.109416883
1977-03-31,31.323337304
1977-04-30,31.458807185
1977-05-31,31.659752702
1977-06-30,31.997507241
1977-07-31,32.352645151
1977-08-31,32.602925218
1977-09-30,32.758218688
1977-10-31,32.93294949
1977-11-30,33.175434852
1977-12-31,33.485186229
1978-01-31,33.791961794
1978-02-28,33.994424899
1978-03-31,34.13512959
1978-04-30,34.326069474
1978-05-31,34.693134835
1978-06-30,35.171326393
1978-07-31,35.585400768
1978-08-31,35.92673335
1978-09-30,36.244634188
1978-10-31,36.565287852
1978-11-30,36.856277232
1978-12-31,36.974512405
1979-01-31,37.028699438
1979-02-28,37.224792022
1979-03-31,37.543566918
1979-04-30,37.980222495
1979-05-31,38.619178241
1979-06-30,39.373873675
1979-07-31,39.938587807
1979-08-31,40.160432155
1979-09-30,40.182834921
1979-10-31,40.269098538
1979-11-30,40.553288987
1979-12-31,40.898321844
1980-01-31,41.141063993
1980-02-29,41.325792725
1980-03-31,41.558241949
1980-04-30,41.850918018
1980-05-31,42.191475866
1980-06-30,42.567385497
1980-07-31,42.919135155
1980-08-31,43.266073357
1980-09-30,43.685511016
1980-10-31,44.205591413
1980-11-30,44.727997998
1980-12-31,45.088243922
1981-01-31,45.282022914
1981-02-28,45.378607387
1981-03-31,45.420293301
1981-04-30,45.464686053
1981-05-31,45.595332391
1981-06-30,45.852337844
1981-07-31,46.145887684
1981-08-31,46.436433427
1981-09-30,46.797255875
1981-10-31,47.212623293
1981-11-30,47.548822154
1981-12-31,47.723594519
1982-01-31,47.72978241
1982-02-28,47.571161577
1982-03-31,47.298037999
1982-04-30,46.983908752
1982-05-31,46.733020295
1982-06-30,46.651221189
1982-07-31,46.690560128
1982-08-31,46.710048993
1982-09-30,46.667508406
1982-10-31,46.634331481
1982-11-30,46.668006103
1982-12-31,46.740432578
1983-01-31,46.81757692
1983-02-28,46.931525311
1983-03-31,47.121664847
1983-04-30,47.441084712
1983-05-31,47.923737156
1983-06-30,48.44519183
1983-07-31,48.777851129
1983-08-31,48.855823653
1983-09-30,48.877702773
1983-10-31,48.978522482
1983-11-30,49.139650548
1983-12-31,49.28361853
1984-01-31,49.352685483
1984-02-29,49.483546871
1984-03-31,49.848903996
1984-04-30,50.396891641
1984-05-31,50.920793026
1984-06-30,51.283384552
1984-07-31,51.411596066
1984-08-31,51.35943639
1984-09-30,51.316306016
1984-10-31,51.410247007
1984-11-30,51.650789896
1984-12-31,51.972620533
1985-01-31,52.254001185
1985-02-28,52.426108435
1985-03-31,52.594948661
1985-04-30,52.894447056
1985-05-31,53.296238887
1985-06-30,53.689304653
1985-07-31,53.98690726
1985-08-31,54.142482841
1985-09-30,54.133525404
1985-10-31,54.19204373
1985-11-30,54.532299003
1985-12-31,54.94543122
1986-01-31,55.244954441
1986-02-28,55.469481997
1986-03-31,55.738092462
1986-04-30,56.212136763
1986-05-31,56.891027581
1986-06-30,57.590900463
1986-07-31,58.170000882
1986-08-31,58.66792915
1986-09-30,59.207892639
1986-10-31,59.742895913
1986-11-30,60.222200969
1986-12-31,60.656303032
1987-01-31,61.004050736
1987-02-28,61.353742825
1987-03-31,61.927717979
1987-04-30,62.764302651
1987-05-31,63.808883882
1987-06-30,64.896626932
1987-07-31,65.667158542
1987-08-31,66.04198844
1987-09-30,66.364064386
1987-10-31,66.829238263
1987-11-30,67.425571843
1987-12-31,68.121165869
1988-01-31,68.701405917
1988-02-29,69.130453143
1988-03-31,69.713777507
1988-04-30,70.554350992
1988-05-31,71.464762116
1988-06-30,72.320758624
1988-07-31,73.100873729
1988-08-31,73.749258276
1988-09-30,74.307659644
1988-10-31,74.889538854
1988-11-30,75.494846704
1988-12-31,76.11926775
1989-01-31,76.718291231
1989-02-28,77.319631269
1989-03-31,78.033557841
1989-04-30,78.813354635
1989-05-31,79.483562988
1989-06-30,79.938994828
1989-07-31,80.272074955
1989-08-31,80.526963437
1989-09-30,80.800550732
1989-10-31,81.204252628
1989-11-30,81.594270791
1989-12-31,82.003659944
1990-01-31,82.344331261
1990-02-28,82.5082659
1990-03-31,82.748051764
1990-04-30,83.095733517
1990-05-31,83.369556521
1990-06-30,83.593606822
1990-07-31,83.759616448
1990-08-31,83.743846594
1990-09-30,83.605487577
1990-10-31,83.462170531
1990-11-30,83.219709479
1990-12-31,82.800693359
1991-01-31,82.424080702
1991-02-28,82.359044468
1991-03-31,82.71479824
1991-04-30,83.154952871
1991-05-31,83.313371336
1991-06-30,83.336833991
1991-07-31,83.383183189
1991-08-31,83.315362743
1991-09-30,83.176900076
1991-10-31,83.288254584
1991-11-30,83.545534313
1991-12-31,83.71505294
1992-01-31,84.010777671
1992-02-29,84.323235808
1992-03-31,84.415021787
1992-04-30,84.267165068
1992-05-31,83.742174138
1992-06-30,83.282717086
1992-07-31,83.493995467
1992-08-31,84.170946554
1992-09-30,84.74101475
1992-10-31,84.847725529
1992-11-30,84.506080572
1992-12-31,83.869127149
1993-01-31,83.179722868
1993-02-28,82.91402891
1993-03-31,83.306111103
1993-04-30,83.931310269
1993-05-31,84.260950259
1993-06-30,84.187877949
1993-07-31,84.005372562
1993-08-31,83.9787597
1993-09-30,83.862615088
1993-10-31,83.694827089
1993-11-30,83.608064792
1993-12-31,83.443439411
1994-01-31,83.30704619
1994-02-28,83.367635441
1994-03-31,83.738644947
1994-04-30,84.178667392
1994-05-31,84.525750738
1994-06-30,84.832851395
1994-07-31,84.864119106
1994-08-31,84.562441633
1994-09-30,84.321426533
1994-10-31,84.381512644
1994-11-30,84.579352995
1994-12-31,84.660828132
1995-01-31,84.502297317
1995-02-28,84.204965315
1995-03-31,84.015037677
1995-04-30,84.080121758
1995-05-31,84.250452398
1995-06-30,84.296568033
1995-07-31,84.311234622
1995-08-31,84.348139217
1995-09-30,84.314226175
1995-10-31,84.363498062
1995-11-30,84.3003397
1995-12-31,84.120465673
1996-01-31,83.985138051
1996-02-29,83.796105801
1996-03-31,83.785625488
1996-04-30,84.301229494
1996-05-31,85.053704126
1996-06-30,85.365720042
1996-07-31,85.220787191
1996-08-31,84.983563617
1996-09-30,84.748903643
1996-10-31,84.597471706
1996-11-30,84.535878882
1996-12-31,84.389926406
1997-01-31,84.277700761
1997-02-28,84.421420657
1997-03-31,84.729808133
1997-04-30,85.088865242
1997-05-31,85.482203868
1997-06-30,85.637531148
1997-07-31,85.461012914
1997-08-31,85.104810962
1997-09-30,84.705381964
1997-10-31,84.521954689
1997-11-30,84.677654384
1997-12-31,84.900528205
1998-01-31,84.939339191
1998-02-28,85.008882891
1998-03-31,85.424190399
1998-04-30,86.061749769
1998-05-31,86.681806074
1998-06-30,87.146292542
1998-07-31,87.291623333
1998-08-31,87.153338732
1998-09-30,87.194665199
1998-10-31,87.561015355
1998-11-30,87.748159193
1998-12-31,87.903474708
1999-01-31,88.331547637
1999-02-28,88.658558684
1999-03-31,89.023385094
1999-04-30,89.724433867
1999-05-31,90.465281484
1999-06-30,91.117913418
1999-07-31,91.812000785
1999-08-31,92.452000716
1999-09-30,92.908626685
1999-10-31,93.074768318
1999-11-30,93.020432811
1999-12-31,93.198497394
2000-01-31,93.498023811
2000-02-29,93.850169897
2000-03-31,94.55381858
2000-04-30,95.466553926
2000-05-31,96.511017879
2000-06-30,97.59007163
2000-07-31,98.379341957
2000-08-31,98.618146384
2000-09-30,98.733229456
2000-10-31,99.067260415
2000-11-30,99.496922474
2000-12-31,100.0
2001-01-31,100.43813808
2001-02-28,101.08981446
2001-03-31,102.16582375
2001-04-30,103.4677151
2001-05-31,104.66433508
2001-06-30,105.59443477
2001-07-31,106.6252367
2001-08-31,107.60532994
2001-09-30,108.38958999
2001-10-31,109.2117972
2001-11-30,110.0152935
2001-12-31,110.50238616
2002-01-31,110.71364328
2002-02-28,111.40456684
2002-03-31,113.00082683
2002-04-30,115.23854905
2002-05-31,117.46930836
2002-06-30,119.40198212
2002-07-31,120.94326999
2002-08-31,122.08690078
2002-09-30,123.28657982
2002-10-31,124.75381381
2002-11-30,126.01606671
2002-12-31,126.62227566
2003-01-31,127.02979367
2003-02-28,128.12469657
2003-03-31,130.03313871
2003-04-30,132.42165229
2003-05-31,134.9825801
2003-06-30,137.57836836
2003-07-31,139.7635876
2003-08-31,141.16720402
2003-09-30,142.4943215
2003-10-31,144.06111698
2003-11-30,145.57620982
2003-12-31,146.6947321
2004-01-31,147.40966417
2004-02-29,148.87457861
2004-03-31,151.72667048
2004-04-30,155.48171579
2004-05-31,159.59463044
2004-06-30,163.40171524
2004-07-31,166.34922413
2004-08-31,168.15116444
2004-09-30,169.49148083
2004-10-31,171.31398231
2004-11-30,172.99746178
2004-12-31,174.28237479
2005-01-31,176.16733406
2005-02-28,179.13468364
2005-03-31,183.13411267
2005-04-30,187.66061557
2005-05-31,191.87568697
2005-06-30,195.55717051
2005-07-31,198.72476674
2005-08-31,201.14082399
2005-09-30,202.70996802
2005-10-31,203.5575437
2005-11-30,204.04560454
2005-12-31,204.38252249
2006-01-31,204.84428972
2006-02-28,206.08396325
2006-03-31,208.04542319
2006-04-30,209.89275383
