Date,Value
1975-01-31,28.032483494
1975-02-28,27.908022501
1975-03-31,27.818295529
1975-04-30,27.786059002
1975-05-31,27.829953561
1975-06-30,27.960866574
1975-07-31,28.173067551
1975-08-31,28.444444629
1975-09-30,28.72548484
1975-10-31,28.938129715
1975-11-30,29.028617965
1975-12-31,28.998478672
1976-01-31,28.893287237
1976-02-29,28.779671673
1976-03-31,28.69038517
1976-04-30,28.605280611
1976-05-31,28.474165002
1976-06-30,28.267808628
1976-07-31,28.018600531
1976-08-31,27.771755566
1976-09-30,27.584390658
1976-10-31,27.527689545
1976-11-30,27.62458446
1976-12-31,27.837421576
1977-01-31,28.101571554
1977-02-28,28.353769147
1977-03-31,28.59128156
1977-04-30,28.868710497
1977-05-31,29.236620558
1977-06-30,29.725429252
1977-07-31,30.281941041
1977-08-31,30.826288235
1977-09-30,31.310062556
1977-10-31,31.70464387
1977-11-30,32.002179581
1977-12-31,32.231107439
1978-01-31,32.442700099
1978-02-28,32.656321919
1978-03-31,32.881406992
1978-04-30,33.18399392
1978-05-31,33.641718156
1978-06-30,34.220780898
1978-07-31,34.890321657
1978-08-31,35.63973128
1978-09-30,36.39533951
1978-10-31,37.066103745
1978-11-30,37.565975283
1978-12-31,37.885806703
1979-01-31,38.03929069
1979-02-28,38.003684917
1979-03-31,37.796994418
1979-04-30,37.434377846
1979-05-31,36.949300837
1979-06-30,36.485796963
1979-07-31,36.215886163
1979-08-31,36.155621719
1979-09-30,36.198554038
1979-10-31,36.254988994
1979-11-30,36.289094066
1979-12-31,36.3273618
1980-01-31,36.400695414
1980-02-29,36.530093788
1980-03-31,36.71259491
1980-04-30,36.925124761
1980-05-31,37.174857533
1980-06-30,37.47083226
1980-07-31,37.778147792
1980-08-31,38.020868401
1980-09-30,38.126969721
1980-10-31,38.095859096
1980-11-30,37.987923559
1980-12-31,37.900437514
1981-01-31,37.924498676
1981-02-28,38.079326228
1981-03-31,38.334789974
1981-04-30,38.644614392
1981-05-31,38.977284933
1981-06-30,39.329823918
1981-07-31,39.713292021
1981-08-31,40.12539852
1981-09-30,40.522509466
1981-10-31,40.828466458
1981-11-30,40.984010733
1981-12-31,40.978846365
1982-01-31,40.834034511
1982-02-28,40.57705008
1982-03-31,40.22782102
1982-04-30,39.812820338
1982-05-31,39.378961503
1982-06-30,38.983365667
1982-07-31,38.691789739
1982-08-31,38.554626116
1982-09-30,38.558658456
1982-10-31,38.648319425
1982-11-30,38.815418798
1982-12-31,39.091424543
1983-01-31,39.479109583
1983-02-28,39.968755295
1983-03-31,40.540953733
1983-04-30,41.147125301
1983-05-31,41.731296057
1983-06-30,42.272169127
1983-07-31,42.77397634
1983-08-31,43.269274143
1983-09-30,43.795838364
1983-10-31,44.333609661
1983-11-30,44.847628182
1983-12-31,45.331136843
1984-01-31,45.81498716
1984-02-29,46.331630178
1984-03-31,46.895532622
1984-04-30,47.543175408
1984-05-31,48.26476744
1984-06-30,48.938491903
1984-07-31,49.417376077
1984-08-31,49.660281015
1984-09-30,49.750052055
1984-10-31,49.787095288
1984-11-30,49.847546058
1984-12-31,50.005595257
1985-01-31,50.321885874
1985-02-28,50.799729075
1985-03-31,51.393585676
1985-04-30,52.046519262
1985-05-31,52.71633057
1985-06-30,53.347030034
1985-07-31,53.932444259
1985-08-31,54.578258103
1985-09-30,55.39000142
1985-10-31,56.309982736
1985-11-30,57.139600833
1985-12-31,57.759475005
1986-01-31,58.194400521
1986-02-28,58.547387709
1986-03-31,58.904075535
1986-04-30,59.376292628
1986-05-31,60.016048487
1986-06-30,60.803314175
1986-07-31,61.71128079
1986-08-31,62.619927114
1986-09-30,63.509037492
1986-10-31,64.421394024
1986-11-30,65.344973313
1986-12-31,66.287324321
1987-01-31,67.221237838
1987-02-28,68.097412378
1987-03-31,68.983989203
1987-04-30,69.966458035
1987-05-31,70.995041818
1987-06-30,72.006753129
1987-07-31,72.950099604
1987-08-31,73.831213902
1987-09-30,74.711617517
1987-10-31,75.622290936
1987-11-30,76.528281443
1987-12-31,77.317135429
1988-01-31,77.918848236
1988-02-29,78.410838963
1988-03-31,79.004028173
1988-04-30,79.799925795
1988-05-31,80.641033923
1988-06-30,81.400557502
1988-07-31,82.034764299
1988-08-31,82.498886732
1988-09-30,82.832130327
1988-10-31,83.042480233
1988-11-30,83.183035304
1988-12-31,83.327243429
1989-01-31,83.518236512
1989-02-28,83.766525268
1989-03-31,84.010954955
1989-04-30,84.283119673
1989-05-31,84.584095186
1989-06-30,84.857174709
1989-07-31,85.16610921
1989-08-31,85.527492322
1989-09-30,85.785257188
1989-10-31,85.870724495
1989-11-30,85.83673197
1989-12-31,85.701935729
1990-01-31,85.483362001
1990-02-28,85.200653404
1990-03-31,84.757979342
1990-04-30,84.118822185
1990-05-31,83.43702603
1990-06-30,82.920598665
1990-07-31,82.691666391
1990-08-31,82.66103272
1990-09-30,82.597036235
1990-10-31,82.245852043
1990-11-30,81.596877395
1990-12-31,80.936085934
1991-01-31,80.38202936
1991-02-28,79.939257266
1991-03-31,79.723708492
1991-04-30,79.697913776
1991-05-31,79.693084229
1991-06-30,79.608499012
1991-07-31,79.478950805
1991-08-31,79.348881979
1991-09-30,79.158377622
1991-10-31,78.860181371
1991-11-30,78.628395796
1991-12-31,78.666685166
1992-01-31,78.870312192
1992-02-29,79.012125708
1992-03-31,78.922759647
1992-04-30,78.540325435
1992-05-31,78.099607328
1992-06-30,77.871052398
1992-07-31,77.915217065
1992-08-31,78.115769219
1992-09-30,78.270163363
1992-10-31,78.197127525
1992-11-30,77.772088895
1992-12-31,77.030111478
1993-01-31,76.151957937
1993-02-28,75.469303612
1993-03-31,75.307958843
1993-04-30,75.594423329
1993-05-31,75.981224504
1993-06-30,76.122707577
1993-07-31,75.938181357
1993-08-31,75.671278501
1993-09-30,75.518640238
1993-10-31,75.569606212
1993-11-30,75.638170909
1993-12-31,75.499156951
1994-01-31,75.267600081
1994-02-28,75.108162636
1994-03-31,75.036502854
1994-04-30,75.090629236
1994-05-31,75.321198097
1994-06-30,75.6502463
1994-07-31,76.000693914
1994-08-31,76.151467982
1994-09-30,75.895576551
1994-10-31,75.351212713
1994-11-30,74.792341135
1994-12-31,74.413869713
1995-01-31,74.231733928
1995-02-28,74.23561261
1995-03-31,74.484901655
1995-04-30,74.968682928
1995-05-31,75.559761829
1995-06-30,76.097601601
1995-07-31,76.430546086
1995-08-31,76.519631979
1995-09-30,76.354242295
1995-10-31,76.002904111
1995-11-30,75.723323734
1995-12-31,75.72246862
1996-01-31,75.953224212
1996-02-29,76.198826912
1996-03-31,76.420323548
1996-04-30,76.754127746
1996-05-31,77.205261417
1996-06-30,77.697712445
1996-07-31,78.138308525
1996-08-31,78.448979923
1996-09-30,78.631080197
1996-10-31,78.670819141
1996-11-30,78.511149878
1996-12-31,78.243327486
1997-01-31,78.030753958
1997-02-28,77.981369023
1997-03-31,78.176802296
1997-04-30,78.608456746
1997-05-31,79.257711756
1997-06-30,79.964753816
1997-07-31,80.391441666
1997-08-31,80.335568871
1997-09-30,80.018060677
1997-10-31,79.892764785
1997-11-30,80.057483984
1997-12-31,80.328648813
1998-01-31,80.66106676
1998-02-28,81.148243091
1998-03-31,81.726582124
1998-04-30,82.305402135
1998-05-31,82.918214069
1998-06-30,83.583690762
1998-07-31,84.144011993
1998-08-31,84.500134795
1998-09-30,84.762215594
1998-10-31,84.840461349
1998-11-30,84.676983637
1998-12-31,84.521812348
1999-01-31,84.653983917
1999-02-28,85.148187163
1999-03-31,85.904558942
1999-04-30,86.88395498
1999-05-31,87.949033832
1999-06-30,88.886222898
1999-07-31,89.658836737
1999-08-31,90.290880867
1999-09-30,90.813941539
1999-10-31,91.190339135
1999-11-30,91.434067304
1999-12-31,91.721542625
2000-01-31,92.109986779
2000-02-29,92.611008309
2000-03-31,93.348798627
2000-04-30,94.454601632
2000-05-31,95.785340383
2000-06-30,97.034726584
2000-07-31,98.010478069
2000-08-31,98.633820636
2000-09-30,99.007065526
2000-10-31,99.305309341
2000-11-30,99.627112129
2000-12-31,100.0
2001-01-31,100.51429144
2001-02-28,101.19997094
2001-03-31,102.04736917
2001-04-30,103.18054706
2001-05-31,104.59299647
2001-06-30,106.09352456
2001-07-31,107.48683668
2001-08-31,108.50953454
2001-09-30,108.94849016
2001-10-31,109.06290934
2001-11-30,109.23255077
2001-12-31,109.62057015
2002-01-31,110.37072038
2002-02-28,111.44066748
2002-03-31,112.69397251
2002-04-30,114.19387927
2002-05-31,116.0295442
2002-06-30,118.11158569
2002-07-31,120.08078599
2002-08-31,121.36889804
2002-09-30,122.0107127
2002-10-31,122.45774503
2002-11-30,122.89595245
2002-12-31,123.35449126
2003-01-31,123.9790736
2003-02-28,124.89587387
2003-03-31,126.17540629
2003-04-30,127.61686856
2003-05-31,129.16163003
2003-06-30,130.76616772
2003-07-31,132.07312755
2003-08-31,133.20294238
2003-09-30,134.2261466
2003-10-31,135.38994539
2003-11-30,136.67816755
2003-12-31,137.64576048
2004-01-31,138.30509992
2004-02-29,138.90092668
2004-03-31,140.0409741
2004-04-30,142.03942964
2004-05-31,144.56592776
2004-06-30,146.99156896
2004-07-31,148.78660495
2004-08-31,149.8530188
2004-09-30,150.3639529
2004-10-31,150.65265759
2004-11-30,150.83948839
2004-12-31,151.19017398
2005-01-31,151.98157078
2005-02-28,153.00450602
2005-03-31,154.12970716
2005-04-30,155.51050986
2005-05-31,157.33780761
2005-06-30,159.45162425
2005-07-31,161.15164924
2005-08-31,162.08238895
2005-09-30,162.39106495
2005-10-31,162.11573711
2005-11-30,161.72248812
2005-12-31,161.62823613
2006-01-31,161.65710134
2006-02-28,161.5678636
2006-03-31,161.7075451
2006-04-30,162.47949564
2006-05-31,163.80378332
2006-06-30,165.02916447
2006-07-31,165.24457572
2006-08-31,164.33745679
2006-09-30,162.79113761
2006-10-31,161.20023551
2006-11-30,159.99249108
2006-12-31,159.39223406
2007-01-31,159.49219467
2007-02-28,160.29901078
2007-03-31,161.58381709
2007-04-30,162.68005759
2007-05-31,163.18642233
