Date,Value
1975-01-31,24.478597757
1975-02-28,24.839643732
1975-03-31,25.133381132
1975-04-30,25.312750179
1975-05-31,25.362509073
1975-06-30,25.303474251
1975-07-31,25.254598618
1975-08-31,25.338452975
1975-09-30,25.396727261
1975-10-31,25.285783022
1975-11-30,25.164402063
1975-12-31,25.15164723
1976-01-31,25.192335848
1976-02-29,25.245523431
1976-03-31,25.382659697
1976-04-30,25.565977252
1976-05-31,25.681007297
1976-06-30,25.776139334
1976-07-31,25.884706024
1976-08-31,25.983455528
1976-09-30,26.087989906
1976-10-31,26.20272258
1976-11-30,26.33244606
1976-12-31,26.462977836
1977-01-31,26.602499931
1977-02-28,26.771101645
1977-03-31,26.921479543
1977-04-30,27.0638453
1977-05-31,27.277589952
1977-06-30,27.59598189
1977-07-31,27.930393863
1977-08-31,28.195554292
1977-09-30,28.436611221
1977-10-31,28.744741529
1977-11-30,29.105300126
1977-12-31,29.42468334
1978-01-31,29.697488624
1978-02-28,29.971418653
1978-03-31,30.305699379
1978-04-30,30.74180247
1978-05-31,31.24093323
1978-06-30,31.720932618
1978-07-31,32.206070206
1978-08-31,32.654572379
1978-09-30,33.043908133
1978-10-31,33.434102633
1978-11-30,33.782565637
1978-12-31,34.195677572
1979-01-31,34.780174505
1979-02-28,35.3568729
1979-03-31,35.745738419
1979-04-30,36.073000512
1979-05-31,36.668402286
1979-06-30,37.387771085
1979-07-31,37.745875548
1979-08-31,37.86218574
1979-09-30,37.986072563
1979-10-31,37.939910687
1979-11-30,37.755485605
1979-12-31,37.744545131
1980-01-31,37.970242345
1980-02-29,38.242412811
1980-03-31,38.426318177
1980-04-30,38.520569063
1980-05-31,38.62131461
1980-06-30,38.759094658
1980-07-31,38.827350436
1980-08-31,38.924057311
1980-09-30,39.088543335
1980-10-31,39.085284938
1980-11-30,38.922884363
1980-12-31,38.77784332
1981-01-31,38.730433459
1981-02-28,38.839537581
1981-03-31,39.054904305
1981-04-30,39.291134574
1981-05-31,39.585808225
1981-06-30,39.903394149
1981-07-31,40.094247336
1981-08-31,40.07045469
1981-09-30,39.928183425
1981-10-31,39.919073423
1981-11-30,40.101884287
1981-12-31,40.260776077
1982-01-31,40.231630904
1982-02-28,40.020533995
1982-03-31,39.70716427
1982-04-30,39.353136706
1982-05-31,38.967930882
1982-06-30,38.496108933
1982-07-31,37.804172429
1982-08-31,36.705851307
1982-09-30,35.140824156
1982-10-31,33.496348579
1982-11-30,32.91648594
1982-12-31,34.123222164
1983-01-31,35.984635365
1983-02-28,37.166206066
1983-03-31,37.647489626
1983-04-30,37.878694975
1983-05-31,38.110186586
1983-06-30,38.251841087
1983-07-31,38.275504998
1983-08-31,38.259580435
1983-09-30,38.188220136
1983-10-31,38.060349348
1983-11-30,37.976173181
1983-12-31,38.060902393
1984-01-31,38.286592407
1984-02-29,38.427075362
1984-03-31,38.434731471
1984-04-30,38.463612213
1984-05-31,38.574267698
1984-06-30,38.664309559
1984-07-31,38.608840002
1984-08-31,38.417579155
1984-09-30,38.268353018
1984-10-31,38.33206412
1984-11-30,38.550007321
1984-12-31,38.822988833
1985-01-31,39.022835729
1985-02-28,39.058782786
1985-03-31,39.102811285
1985-04-30,39.285135428
1985-05-31,39.554206376
1985-06-30,39.840771938
1985-07-31,40.112136012
1985-08-31,40.280116204
1985-09-30,40.442346174
1985-10-31,40.691664894
1985-11-30,40.836213618
1985-12-31,40.90471801
1986-01-31,40.982479474
1986-02-28,41.090355526
1986-03-31,41.396460326
1986-04-30,41.842500239
1986-05-31,42.183125406
1986-06-30,42.836859288
1986-07-31,43.714400953
1986-08-31,44.205268516
1986-09-30,44.289390122
1986-10-31,44.309716404
1986-11-30,44.604551789
1986-12-31,44.868733813
1987-01-31,45.029451908
1987-02-28,45.327532465
1987-03-31,45.809851366
1987-04-30,46.339282947
1987-05-31,46.84749549
1987-06-30,47.409310118
1987-07-31,47.846267087
1987-08-31,48.068041643
1987-09-30,48.232015401
1987-10-31,48.46634451
1987-11-30,48.630475608
1987-12-31,48.591541356
1988-01-31,48.620763765
1988-02-29,48.875264982
