Date,Value
1975-01-31,30.689531674
1975-02-28,32.053535577
1975-03-31,33.432580093
1975-04-30,34.552919266
1975-05-31,34.492572517
1975-06-30,33.408812461
1975-07-31,32.434376752
1975-08-31,31.8729357
1975-09-30,31.564665246
1975-10-31,31.338450288
1975-11-30,31.25393127
1975-12-31,31.414089319
1976-01-31,31.850365683
1976-02-29,32.654873078
1976-03-31,33.866913369
1976-04-30,35.168382533
1976-05-31,35.345721736
1976-06-30,34.494347491
1976-07-31,33.775318401
1976-08-31,33.368737618
1976-09-30,33.27644127
1976-10-31,33.372813361
1976-11-30,33.566318718
1976-12-31,33.876831136
1977-01-31,34.28469805
1977-02-28,34.874410948
1977-03-31,35.962090864
1977-04-30,37.501583876
1977-05-31,37.900075189
1977-06-30,37.111254709
1977-07-31,36.805871096
1977-08-31,37.089530454
1977-09-30,37.531091962
1977-10-31,37.869322588
1977-11-30,38.135512267
1977-12-31,38.468178486
1978-01-31,38.958814777
1978-02-28,39.666067357
1978-03-31,40.747472665
1978-04-30,42.284412385
1978-05-31,42.726683826
1978-06-30,42.090742548
1978-07-31,42.059268236
1978-08-31,42.474922286
1978-09-30,42.906911424
1978-10-31,43.184247307
1978-11-30,43.337039475
1978-12-31,43.506647297
1979-01-31,43.918130629
1979-02-28,44.810148208
1979-03-31,46.17235146
1979-04-30,47.720372364
1979-05-31,48.296719308
1979-06-30,47.935071301
1979-07-31,47.702498431
1979-08-31,47.608396896
1979-09-30,47.695719665
1979-10-31,47.967611913
1979-11-30,48.236336191
1979-12-31,48.42827472
1980-01-31,48.783923907
1980-02-29,49.636728872
1980-03-31,51.165373435
1980-04-30,52.977884462
1980-05-31,53.54452395
1980-06-30,52.568229121
1980-07-31,51.400556069
1980-08-31,50.72811963
1980-09-30,50.513530391
1980-10-31,50.470747045
1980-11-30,50.509508038
1980-12-31,50.575404396
1981-01-31,50.599462405
1981-02-28,50.582697438
1981-03-31,50.569554925
1981-04-30,50.570934185
1981-05-31,50.526892703
1981-06-30,50.372772341
1981-07-31,50.134898805
1981-08-31,49.845761198
1981-09-30,49.480418951
1981-10-31,49.12221381
1981-11-30,48.912996005
