Date,Value
1975-01-31,26.95573721
1975-02-28,27.271395898
1975-03-31,27.607099288
1975-04-30,27.952458669
1975-05-31,28.272876402
1975-06-30,28.546119759
1975-07-31,28.772468889
1975-08-31,28.953275704
1975-09-30,29.098524446
1975-10-31,29.232381005
1975-11-30,29.384678327
1975-12-31,29.595146979
1976-01-31,29.876412767
1976-02-29,30.210532009
1976-03-31,30.583710289
1976-04-30,30.95139942
1976-05-31,31.265188803
1976-06-30,31.498327244
1976-07-31,31.65408601
1976-08-31,31.764773677
1976-09-30,31.857927845
1976-10-31,31.982208786
1976-11-30,32.165150852
1976-12-31,32.410222533
1977-01-31,32.731711678
1977-02-28,33.135312633
1977-03-31,33.622545808
1977-04-30,34.193102783
1977-05-31,34.83164093
1977-06-30,35.502975643
1977-07-31,36.186247155
1977-08-31,36.881920607
1977-09-30,37.604931326
1977-10-31,38.345148339
1977-11-30,39.057922903
1977-12-31,39.679972776
1978-01-31,40.166570712
1978-02-28,40.552919587
1978-03-31,40.923946867
1978-04-30,41.355682885
1978-05-31,41.869819982
1978-06-30,42.423848367
1978-07-31,42.929421072
1978-08-31,43.338321413
1978-09-30,43.683841578
1978-10-31,43.995323861
1978-11-30,44.285402541
1978-12-31,44.543250738
1979-01-31,44.747529428
1979-02-28,44.922560146
1979-03-31,45.089432929
1979-04-30,45.269257915
1979-05-31,45.461964251
1979-06-30,45.622862578
1979-07-31,45.711489427
1979-08-31,45.724589108
1979-09-30,45.693751002
1979-10-31,45.669649815
1979-11-30,45.671708686
1979-12-31,45.715130796
1980-01-31,45.851985173
1980-02-29,46.104075033
1980-03-31,46.465219741
1980-04-30,46.925384807
1980-05-31,47.464687229
1980-06-30,48.041022456
1980-07-31,48.587850364
1980-08-31,49.037281048
1980-09-30,49.387283383
1980-10-31,49.677375579
1980-11-30,49.929874703
1980-12-31,50.175638978
1981-01-31,50.424584385
1981-02-28,50.676096422
1981-03-31,50.945808563
1981-04-30,51.210787139
1981-05-31,51.419870219
1981-06-30,51.539464649
1981-07-31,51.544942872
1981-08-31,51.430405514
1981-09-30,51.237444769
1981-10-31,51.015195127
1981-11-30,50.778178178
1981-12-31,50.52172679
1982-01-31,50.238202098
1982-02-28,49.934168589
1982-03-31,49.631641846
1982-04-30,49.3490519
1982-05-31,49.088053596
1982-06-30,48.839728169
1982-07-31,48.607218728
1982-08-31,48.399016388
1982-09-30,48.22969721
1982-10-31,48.117142736
1982-11-30,48.067724404
1982-12-31,48.101425376
1983-01-31,48.265745053
1983-02-28,48.590326193
1983-03-31,49.04304734
1983-04-30,49.569517294
1983-05-31,50.136520019
1983-06-30,50.668071352
1983-07-31,51.065687996
1983-08-31,51.317919829
1983-09-30,51.478169769
1983-10-31,51.590412125
1983-11-30,51.666508277
1983-12-31,51.707603867
1984-01-31,51.723298442
1984-02-29,51.720488662
1984-03-31,51.690762323
1984-04-30,51.629887136
1984-05-31,51.570816524
1984-06-30,51.530897673
1984-07-31,51.486405863
1984-08-31,51.429248602
1984-09-30,51.377537157
1984-10-31,51.345542931
1984-11-30,51.323036164
1984-12-31,51.29902085
1985-01-31,51.288853641
1985-02-28,51.322007078
1985-03-31,51.41257578
1985-04-30,51.515178245
1985-05-31,51.598151572
1985-06-30,51.704766813
1985-07-31,51.859962795
1985-08-31,52.070808227
1985-09-30,52.375713153
1985-10-31,52.804188807
1985-11-30,53.309132897
1985-12-31,53.806204419
1986-01-31,54.238462873
1986-02-28,54.565288606
1986-03-31,54.76154978
