Date,Value
1975-01-31,40.024136485
1975-02-28,39.919084637
1975-03-31,39.864214341
1975-04-30,39.928459233
1975-05-31,40.131333135
1975-06-30,40.462511426
1975-07-31,40.920562426
1975-08-31,41.490880695
1975-09-30,42.136516066
1975-10-31,42.784322867
1975-11-30,43.368983252
1975-12-31,43.878367948
1976-01-31,44.324813757
1976-02-29,44.697028489
1976-03-31,44.997101537
1976-04-30,45.278757557
1976-05-31,45.594214444
1976-06-30,45.947760332
1976-07-31,46.321071936
1976-08-31,46.7200091
1976-09-30,47.189186447
1976-10-31,47.757715123
1976-11-30,48.394271793
1976-12-31,49.021650492
1977-01-31,49.552117533
1977-02-28,49.941637658
1977-03-31,50.173991235
1977-04-30,50.243722319
1977-05-31,50.218570035
1977-06-30,50.18948489
1977-07-31,50.213409566
1977-08-31,50.343082447
1977-09-30,50.629480544
1977-10-31,51.070979897
1977-11-30,51.649681501
1977-12-31,52.326845631
1978-01-31,53.044876357
1978-02-28,53.771181553
1978-03-31,54.487399736
1978-04-30,55.184058968
1978-05-31,55.820971433
1978-06-30,56.386443123
1978-07-31,56.875583491
1978-08-31,57.261264494
1978-09-30,57.505711729
1978-10-31,57.626150395
1978-11-30,57.757087356
1978-12-31,57.983063164
1979-01-31,58.253359565
1979-02-28,58.489413672
1979-03-31,58.673302074
1979-04-30,58.836916979
1979-05-31,59.047609676
1979-06-30,59.278662908
1979-07-31,59.493363983
1979-08-31,59.738331761
1979-09-30,59.960552485
1979-10-31,60.117212445
1979-11-30,60.266716288
1979-12-31,60.483204358
1980-01-31,60.82450929
1980-02-29,61.292545382
1980-03-31,61.787292301
1980-04-30,62.172005996
1980-05-31,62.364654277
1980-06-30,62.34378709
1980-07-31,62.1261039
1980-08-31,61.768085908
1980-09-30,61.370670206
1980-10-31,60.995900635
1980-11-30,60.654325761
1980-12-31,60.396540776
1981-01-31,60.263169991
1981-02-28,60.263802963
1981-03-31,60.400005639
1981-04-30,60.631357527
1981-05-31,60.914505443
1981-06-30,61.238768932
1981-07-31,61.57191782
1981-08-31,61.817766385
1981-09-30,61.866099713
1981-10-31,61.650901089
1981-11-30,61.156830726
1981-12-31,60.395722119
1982-01-31,59.418136808
1982-02-28,58.316325535
1982-03-31,57.182460399
1982-04-30,56.10267191
1982-05-31,55.16814757
1982-06-30,54.465323818
1982-07-31,54.065482127
1982-08-31,54.02836458
1982-09-30,54.378388705
1982-10-31,55.06298004
1982-11-30,55.971898577
1982-12-31,56.979571165
1983-01-31,57.965284473
1983-02-28,58.855154115
1983-03-31,59.657834781
1983-04-30,60.452729523
1983-05-31,61.317788466
1983-06-30,62.288382015
1983-07-31,63.367037727
1983-08-31,64.532201899
1983-09-30,65.741762997
1983-10-31,66.911474414
1983-11-30,67.946854121
1983-12-31,68.78877107
1984-01-31,69.421553536
1984-02-29,69.857394583
1984-03-31,70.115002202
1984-04-30,70.215850245
1984-05-31,70.1853808
1984-06-30,70.075781658
1984-07-31,69.959556293
1984-08-31,69.845486224
1984-09-30,69.701209053
1984-10-31,69.54659615
1984-11-30,69.432622461
1984-12-31,69.405054334
1985-01-31,69.485532966
1985-02-28,69.627367611
1985-03-31,69.776142575
1985-04-30,69.923235325
1985-05-31,70.06135679
1985-06-30,70.166060422
1985-07-31,70.194364855
1985-08-31,70.117913348
1985-09-30,69.925831461
1985-10-31,69.659581981
1985-11-30,69.428066279
1985-12-31,69.338510494
1986-01-31,69.414219637
1986-02-28,69.604210458
1986-03-31,69.883411774
1986-04-30,70.199890655
1986-05-31,70.444848364
1986-06-30,70.455885149
1986-07-31,70.183943439
1986-08-31,69.738090581
1986-09-30,69.253896207
1986-10-31,68.852251215
1986-11-30,68.61356853
1986-12-31,68.56472121
1987-01-31,68.673203009
1987-02-28,68.878510342
1987-03-31,69.097965846
1987-04-30,69.276165959
1987-05-31,69.382175819
1987-06-30,69.392059383
1987-07-31,69.295873358
1987-08-31,69.095674728
1987-09-30,68.817715537
1987-10-31,68.497856272
1987-11-30,68.154077168
1987-12-31,67.81329682
1988-01-31,67.520938611
1988-02-29,67.300842601
1988-03-31,67.146783781
1988-04-30,67.040583428
1988-05-31,66.993949756
1988-06-30,67.04626259
1988-07-31,67.117903453
1988-08-31,67.080467229
1988-09-30,66.921525267
1988-10-31,66.699441667
1988-11-30,66.463991553
1988-12-31,66.276898221
1989-01-31,66.265348736
1989-02-28,66.476238742
1989-03-31,66.817522916
1989-04-30,67.221443433
1989-05-31,67.666464702
1989-06-30,68.095595843
1989-07-31,68.453525211
1989-08-31,68.733360948
1989-09-30,68.946262287
1989-10-31,69.128396816
1989-11-30,69.331992591
1989-12-31,69.550262908
1990-01-31,69.702515781
1990-02-28,69.727315103
1990-03-31,69.632960364
1990-04-30,69.540732372
1990-05-31,69.538017836
1990-06-30,69.549936827
1990-07-31,69.529330824
1990-08-31,69.5034121
1990-09-30,69.47939902
1990-10-31,69.457086334
1990-11-30,69.468821372
1990-12-31,69.550726119
1991-01-31,69.739312054
1991-02-28,70.032459005
1991-03-31,70.331284323
1991-04-30,70.556235203
1991-05-31,70.717681183
1991-06-30,70.851956542
1991-07-31,70.995490397
1991-08-31,71.128599718
1991-09-30,71.21962207
1991-10-31,71.340240938
1991-11-30,71.566129949
1991-12-31,71.870873924
1992-01-31,72.241822405
1992-02-29,72.607159378
1992-03-31,72.864380173
1992-04-30,73.025028384
1992-05-31,73.208808276
1992-06-30,73.532692576
1992-07-31,73.972738735
1992-08-31,74.435892817
1992-09-30,74.801625482
1992-10-31,75.029427753
1992-11-30,75.232361372
1992-12-31,75.512037323
1993-01-31,75.85837038
1993-02-28,76.293303053
1993-03-31,76.897467297
1993-04-30,77.63525355
1993-05-31,78.345836183
1993-06-30,78.896707584
1993-07-31,79.279980807
1993-08-31,79.569023868
1993-09-30,79.740539607
1993-10-31,79.721504798
1993-11-30,79.62250288
1993-12-31,79.688441405
1994-01-31,80.061854042
1994-02-28,80.684461375
1994-03-31,81.434953529
1994-04-30,82.223503595
1994-05-31,82.951574073
1994-06-30,83.572649763
1994-07-31,84.093545112
1994-08-31,84.458231005
1994-09-30,84.622631809
1994-10-31,84.657222382
1994-11-30,84.690647546
1994-12-31,84.826375448
1995-01-31,85.056594246
1995-02-28,85.329316873
1995-03-31,85.63207296
1995-04-30,86.024350828
1995-05-31,86.522286158
1995-06-30,87.017468524
1995-07-31,87.325049037
1995-08-31,87.380807435
1995-09-30,87.342601375
1995-10-31,87.363507861
1995-11-30,87.493490925
1995-12-31,87.719858325
1996-01-31,87.955621316
1996-02-29,88.126482419
1996-03-31,88.328342513
1996-04-30,88.703591078
1996-05-31,89.229548534
1996-06-30,89.729034484
1996-07-31,90.051840691
1996-08-31,90.11250842
1996-09-30,89.988272446
1996-10-31,89.822082604
1996-11-30,89.629430424
1996-12-31,89.487659119
1997-01-31,89.515832864
1997-02-28,89.764893642
1997-03-31,90.2303513
1997-04-30,90.761248667
1997-05-31,91.198032262
1997-06-30,91.526313835
1997-07-31,91.812782236
1997-08-31,92.128700735
1997-09-30,92.429056928
1997-10-31,92.616264408
1997-11-30,92.700350744
1997-12-31,92.756914328
1998-01-31,92.865365394
1998-02-28,93.069163556
1998-03-31,93.40979377
1998-04-30,93.94443908
1998-05-31,94.61866285
1998-06-30,95.252458531
1998-07-31,95.711323842
1998-08-31,95.936003517
1998-09-30,95.886608409
1998-10-31,95.576938534
1998-11-30,95.148205882
1998-12-31,94.899483793
1999-01-31,94.981523646
1999-02-28,95.36989651
