Date,Value
1975-01-31,22.927722415
1975-02-28,22.408045829
1975-03-31,22.10336101
1975-04-30,22.080278655
1975-05-31,22.251004804
1975-06-30,22.502471032
1975-07-31,22.78438462
1975-08-31,22.985743958
1975-09-30,23.037092753
1975-10-31,22.989487808
1975-11-30,22.902006807
1975-12-31,22.856331991
1976-01-31,22.90988876
1976-02-29,23.029474951
1976-03-31,23.189511646
1976-04-30,23.420060548
1976-05-31,23.721424486
1976-06-30,23.993723727
1976-07-31,24.159766804
1976-08-31,24.206981364
1976-09-30,24.116046602
1976-10-31,23.919256067
1976-11-30,23.701013122
1976-12-31,23.576357026
1977-01-31,23.641184128
1977-02-28,23.908422001
1977-03-31,24.253931719
1977-04-30,24.513035861
1977-05-31,24.674459546
1977-06-30,24.829082183
1977-07-31,24.981545107
1977-08-31,25.093468728
1977-09-30,25.2812482
1977-10-31,25.708325384
1977-11-30,26.367874675
1977-12-31,27.052565102
1978-01-31,27.380737451
1978-02-28,27.25026623
1978-03-31,26.907109584
1978-04-30,26.574376673
1978-05-31,26.531760143
1978-06-30,26.81575474
1978-07-31,27.228832582
1978-08-31,27.633522295
1978-09-30,27.972590446
1978-10-31,28.298687204
1978-11-30,28.617939706
1978-12-31,28.843375111
1979-01-31,28.936314322
1979-02-28,29.041090202
1979-03-31,29.269530004
1979-04-30,29.567416453
1979-05-31,29.921378805
1979-06-30,30.407491966
1979-07-31,30.991048615
1979-08-31,31.509452977
1979-09-30,31.86850414
1979-10-31,32.182071777
1979-11-30,32.555581343
1979-12-31,33.023278337
1980-01-31,33.569078247
1980-02-29,34.052066471
1980-03-31,34.45926903
1980-04-30,34.75778358
1980-05-31,34.886980088
1980-06-30,34.880039989
1980-07-31,34.838261132
1980-08-31,34.903836433
1980-09-30,35.090457505
1980-10-31,35.379953325
1980-11-30,35.742332801
1980-12-31,36.046817224
1981-01-31,36.253039216
1981-02-28,36.465010658
1981-03-31,36.735142465
1981-04-30,37.004415459
1981-05-31,37.221109378
1981-06-30,37.357526922
1981-07-31,37.419095474
1981-08-31,37.409603125
1981-09-30,37.341864951
1981-10-31,37.317331296
1981-11-30,37.419799008
1981-12-31,37.599926631
1982-01-31,37.750757171
1982-02-28,37.841749273
1982-03-31,37.912942544
1982-04-30,37.991227026
1982-05-31,38.073502334
1982-06-30,38.119142262
1982-07-31,38.094039209
1982-08-31,38.032839442
1982-09-30,38.002273675
1982-10-31,38.053909556
1982-11-30,38.247895865
1982-12-31,38.488414097
1983-01-31,38.56714836
1983-02-28,38.593853188
1983-03-31,38.777915581
1983-04-30,39.118023119
1983-05-31,39.579435196
1983-06-30,40.165557791
1983-07-31,40.705323855
1983-08-31,41.009779228
1983-09-30,41.169850647
1983-10-31,41.300597677
1983-11-30,41.434000523
1983-12-31,41.640426994
1984-01-31,41.89012151
1984-02-29,42.15975916
1984-03-31,42.599434327
1984-04-30,43.205773134
1984-05-31,43.922051715
1984-06-30,44.741154894
1984-07-31,45.471576243
1984-08-31,45.84623096
1984-09-30,45.923968755
1984-10-31,46.090344501
1984-11-30,46.576761588
1984-12-31,47.183353838
1985-01-31,47.615782659
1985-02-28,47.945668274
1985-03-31,48.443601449
1985-04-30,49.203422131
1985-05-31,50.087530525
1985-06-30,50.947472709
1985-07-31,51.745016414
1985-08-31,52.50881965
1985-09-30,53.221301657
1985-10-31,54.001402419
1985-11-30,54.771295078
1985-12-31,55.401428406
1986-01-31,56.076115756
1986-02-28,56.885138763
1986-03-31,57.811848943
1986-04-30,58.789074163
1986-05-31,60.027560704
1986-06-30,61.729179067
1986-07-31,63.422900283
1986-08-31,64.416195085
1986-09-30,65.148090998
1986-10-31,66.457362984
1986-11-30,68.029707475
1986-12-31,69.20929938
1987-01-31,70.054574209
1987-02-28,70.866390947
1987-03-31,71.960633723
1987-04-30,73.648509931
1987-05-31,75.583219541
1987-06-30,77.187746639
1987-07-31,78.270828106
1987-08-31,79.099766052
1987-09-30,79.84537748
1987-10-31,80.378399258
1987-11-30,80.624823629
1987-12-31,80.799943402
1988-01-31,81.096436421
1988-02-29,81.403728922
1988-03-31,81.883766012
1988-04-30,82.65865088
1988-05-31,83.484769307
1988-06-30,84.018435264
1988-07-31,84.031116863
1988-08-31,83.761364278
1988-09-30,83.541139142
1988-10-31,83.397197294
1988-11-30,83.453480267
1988-12-31,83.589936805
1989-01-31,83.500015342
1989-02-28,83.229027312
1989-03-31,83.050181967
1989-04-30,83.073890737
1989-05-31,83.124186599
1989-06-30,83.186526621
1989-07-31,83.170431703
1989-08-31,83.092937279
1989-09-30,83.178364025
1989-10-31,83.21724096
1989-11-30,82.98257181
1989-12-31,82.782724027
1990-01-31,82.649897443
1990-02-28,82.138942249
1990-03-31,81.509449845
1990-04-30,81.048040693
1990-05-31,80.695496412
1990-06-30,80.490338545
1990-07-31,80.154827093
1990-08-31,79.717499877
1990-09-30,79.310752368
1990-10-31,78.662807089
1990-11-30,77.834721973
1990-12-31,77.231873169
1991-01-31,76.95679285
1991-02-28,76.879290936
1991-03-31,76.780393515
1991-04-30,76.477249731
1991-05-31,76.29963294
1991-06-30,76.412138996
1991-07-31,76.490823628
1991-08-31,76.359127567
1991-09-30,76.141715039
1991-10-31,76.095788259
1991-11-30,76.228647279
1991-12-31,76.415635205
1992-01-31,76.701176067
1992-02-29,76.989299131
1992-03-31,76.996397186
1992-04-30,76.911015464
1992-05-31,76.85279177
1992-06-30,76.712874785
1992-07-31,76.663732862
1992-08-31,76.776961822
1992-09-30,76.856484852
1992-10-31,76.923597833
1992-11-30,76.976442381
1992-12-31,76.830967398
1993-01-31,76.460097116
1993-02-28,76.122161216
1993-03-31,75.996756501
1993-04-30,75.951274089
1993-05-31,76.229876632
1993-06-30,76.805129293
1993-07-31,77.207400349
1993-08-31,77.171165779
1993-09-30,76.89528582
1993-10-31,76.734882685
1993-11-30,76.686891548
1993-12-31,76.379479212
1994-01-31,76.000687418
1994-02-28,75.770471948
1994-03-31,75.706758903
1994-04-30,76.076557867
1994-05-31,76.707486727
1994-06-30,77.274740318
1994-07-31,77.667971999
1994-08-31,77.728266943
1994-09-30,77.387149095
1994-10-31,77.058041558
1994-11-30,76.787799508
1994-12-31,76.507094148
1995-01-31,76.443409699
1995-02-28,76.448494931
1995-03-31,76.40716487
1995-04-30,76.411811965
1995-05-31,76.553049015
1995-06-30,76.817657639
1995-07-31,77.084363413
1995-08-31,77.255244167
1995-09-30,76.987230735
1995-10-31,76.51435092
1995-11-30,76.30898734
1995-12-31,76.094385556
1996-01-31,75.801531943
1996-02-29,75.636739265
1996-03-31,75.810775446
1996-04-30,76.34901348
1996-05-31,77.172642906
1996-06-30,78.1727442
1996-07-31,78.67811653
1996-08-31,78.499349741
1996-09-30,78.109280425
1996-10-31,77.747587122
1996-11-30,77.420016018
1996-12-31,77.22811669
1997-01-31,77.153168515
1997-02-28,77.090950396
1997-03-31,77.342414179
1997-04-30,78.042303783
1997-05-31,78.752382704
1997-06-30,79.184981357
1997-07-31,79.291868602
1997-08-31,79.166334851
1997-09-30,79.04150072
1997-10-31,79.082161002
1997-11-30,79.145991642
1997-12-31,79.044148838
1998-01-31,79.104983035
1998-02-28,79.389064474
1998-03-31,79.859065314
1998-04-30,80.512607706
1998-05-31,81.06730739
1998-06-30,81.866802654
1998-07-31,82.713151365
1998-08-31,82.947970435
1998-09-30,82.911333341
1998-10-31,82.827525646
1998-11-30,82.825144608
1998-12-31,83.160016354
1999-01-31,83.574080455
1999-02-28,83.772385403
1999-03-31,84.116631374
1999-04-30,85.035848404
1999-05-31,86.258503859
1999-06-30,87.629884983
1999-07-31,88.828222844
1999-08-31,89.366381777
1999-09-30,89.616758102
1999-10-31,89.860184303
1999-11-30,90.073913183
1999-12-31,90.551969874
2000-01-31,91.162424949
2000-02-29,91.677741585
2000-03-31,92.454621194
2000-04-30,93.531022615
2000-05-31,94.748798756
2000-06-30,96.081325627
2000-07-31,97.340473644
2000-08-31,98.103341673
2000-09-30,98.330474313
2000-10-31,98.774196332
2000-11-30,99.4373846
2000-12-31,100.0
2001-01-31,100.62686266
2001-02-28,101.06472591
2001-03-31,101.80358605
2001-04-30,103.16343046
2001-05-31,104.55313402
2001-06-30,106.25680366
2001-07-31,108.04304222
2001-08-31,109.14583656
2001-09-30,109.81417407
2001-10-31,110.38060878
2001-11-30,110.83119042
2001-12-31,111.17391366
2002-01-31,111.8878407
2002-02-28,113.20162375
2002-03-31,114.88766441
2002-04-30,116.84129384
2002-05-31,118.88677866
2002-06-30,121.16320688
2002-07-31,123.41441499
2002-08-31,125.01298317
2002-09-30,126.21624698
2002-10-31,127.60734117
2002-11-30,128.70909812
2002-12-31,129.06888826
2003-01-31,129.46640966
2003-02-28,130.25671812
2003-03-31,131.45222049
2003-04-30,133.38170733
2003-05-31,135.84444388
2003-06-30,138.23754341
2003-07-31,140.00639633
2003-08-31,141.29282332
2003-09-30,142.53764854
2003-10-31,143.66958073
2003-11-30,144.47086269
2003-12-31,145.08848066
2004-01-31,145.84293967
2004-02-29,146.69887164
2004-03-31,148.33414063
2004-04-30,151.02077777
2004-05-31,154.28087624
2004-06-30,157.46014238
2004-07-31,159.64951508
2004-08-31,161.02558322
2004-09-30,162.1158218
2004-10-31,163.18725997
2004-11-30,164.13188709
2004-12-31,164.93314427
2005-01-31,166.05624949
2005-02-28,167.57596744
2005-03-31,169.50681724
2005-04-30,171.92372888
2005-05-31,174.98237644
2005-06-30,178.29078477
2005-07-31,181.11840371
2005-08-31,183.26498651
2005-09-30,184.40019337
2005-10-31,184.80212953
2005-11-30,184.82887167
2005-12-31,184.57585725
2006-01-31,184.05847106
2006-02-28,183.90863424
2006-03-31,185.21894329
2006-04-30,187.04886679
2006-05-31,188.69639027
2006-06-30,190.12802321
2006-07-31,190.44212391
2006-08-31,189.42640182
2006-09-30,187.48152292
2006-10-31,185.70750682
2006-11-30,184.44561944
2006-12-31,183.20989537
2007-01-31,182.58096536
2007-02-28,183.0487799
2007-03-31,184.20590385
2007-04-30,185.14741022
2007-05-31,185.9009872
2007-06-30,186.33632909
2007-07-31,185.85319494
2007-08-31,184.78565765
2007-09-30,183.43180471
2007-10-31,181.93280906
2007-11-30,180.1342015
2007-12-31,178.02994548
2008-01-31,176.29556952
2008-02-29,175.25801498
2008-03-31,174.47622492
2008-04-30,173.86121082
2008-05-31,173.80870694
2008-06-30,174.1752281
2008-07-31,174.29160719
2008-08-31,173.52929978
2008-09-30,171.68784796
2008-10-31,169.59979381
2008-11-30,167.16239535
2008-12-31,164.31258616
2009-01-31,162.08186179
2009-02-28,160.83464789
2009-03-31,160.06775237
2009-04-30,159.47074775
2009-05-31,159.44256533
2009-06-30,160.08802066
2009-07-31,160.70539571
2009-08-31,160.66266528
2009-09-30,160.26758741
2009-10-31,159.75182194
2009-11-30,158.82797279
2009-12-31,157.58123019
2010-01-31,156.70511836
2010-02-28,156.48074273
2010-03-31,156.7780027
2010-04-30,157.38127071
2010-05-31,158.13263353
2010-06-30,158.49132503
2010-07-31,157.92105882
2010-08-31,156.65304047
2010-09-30,155.15408247
2010-10-31,153.96241826
2010-11-30,153.01389181
2010-12-31,151.70950372
2011-01-31,150.30215462
2011-02-28,149.22975201
2011-03-31,148.71066105
2011-04-30,148.86875209
2011-05-31,149.57796229
2011-06-30,150.49214822
2011-07-31,150.39281641
2011-08-31,148.88488522
2011-09-30,146.97485847
2011-10-31,145.41365023
2011-11-30,144.31274378
2011-12-31,143.2296806
2012-01-31,141.96354854
2012-02-29,140.88464519
2012-03-31,140.78689661
2012-04-30,141.88645116
2012-05-31,143.32187482
2012-06-30,144.30218542
2012-07-31,144.66720905
2012-08-31,144.55243861
2012-09-30,144.13541551
2012-10-31,143.87481759
2012-11-30,143.65432809
2012-12-31,142.88053599
2013-01-31,141.96645651
2013-02-28,141.75515922
2013-03-31,142.65624792
2013-04-30,144.43431932
2013-05-31,146.69287255
2013-06-30,148.81981682
2013-07-31,150.01397293
2013-08-31,150.28499651
2013-09-30,150.10054945
2013-10-31,150.10652596
2013-11-30,149.86199343
2013-12-31,148.9170958
2014-01-31,148.22069345
2014-02-28,148.10691219
2014-03-31,148.66985317
2014-04-30,149.79556974
2014-05-31,151.32727818
2014-06-30,152.91516459
2014-07-31,153.40534501
2014-08-31,152.67901469
2014-09-30,151.57249371
2014-10-31,151.05724353
2014-11-30,151.16771204
2014-12-31,150.80458843
2015-01-31,149.92997733
2015-02-28,149.72854157
2015-03-31,150.56301684
2015-04-30,151.91828124
2015-05-31,153.55964429
2015-06-30,155.12824741
2015-07-31,155.96869887
2015-08-31,155.75905458
2015-09-30,154.83586926
2015-10-31,154.04522963
2015-11-30,153.66825363
2015-12-31,152.9899971
2016-01-31,152.07220106
2016-02-29,151.7936301
2016-03-31,152.81952906
2016-04-30,155.03574056
2016-05-31,156.95750104
2016-06-30,158.17329441
2016-07-31,158.86561783
2016-08-31,158.78886887
2016-09-30,158.25938135
2016-10-31,157.6286008
2016-11-30,157.04661612
