Date,Value
1975-01-31,27.691516343
1975-02-28,28.16265386
1975-03-31,28.617462202
1975-04-30,29.039105593
1975-05-31,29.413414486
1975-06-30,29.729293861
1975-07-31,29.998998281
1975-08-31,30.261562727
1975-09-30,30.53828687
1975-10-31,30.818998888
1975-11-30,31.100709586
1975-12-31,31.376793067
1976-01-31,31.631222273
1976-02-29,31.83487421
1976-03-31,31.963125831
1976-04-30,32.029992071
1976-05-31,32.059895347
1976-06-30,32.090972868
1976-07-31,32.129143638
1976-08-31,32.158934293
1976-09-30,32.17333958
1976-10-31,32.201560665
1976-11-30,32.292353727
1976-12-31,32.455642489
1977-01-31,32.71388315
1977-02-28,33.117658103
1977-03-31,33.638508215
1977-04-30,34.198055421
1977-05-31,34.753623345
1977-06-30,35.292476531
1977-07-31,35.840714706
1977-08-31,36.382249093
1977-09-30,36.885802105
1977-10-31,37.364212117
1977-11-30,37.862044545
1977-12-31,38.370323679
1978-01-31,38.87800241
1978-02-28,39.434483888
1978-03-31,40.069156648
1978-04-30,40.802024826
1978-05-31,41.644502292
1978-06-30,42.516633662
1978-07-31,43.314846855
1978-08-31,43.984632635
1978-09-30,44.543116905
1978-10-31,45.130896432
1978-11-30,45.814128436
1978-12-31,46.476968668
1979-01-31,47.034924348
1979-02-28,47.59260637
1979-03-31,48.335118288
1979-04-30,49.275640353
1979-05-31,50.205291021
1979-06-30,50.970440949
1979-07-31,51.566586984
1979-08-31,51.994607097
1979-09-30,52.242883056
1979-10-31,52.377565605
1979-11-30,52.512022961
1979-12-31,52.696125359
1980-01-31,52.89888913
1980-02-29,53.131198429
1980-03-31,53.463345306
1980-04-30,53.917502275
1980-05-31,54.502223738
1980-06-30,55.175454511
1980-07-31,55.824877385
1980-08-31,56.361175001
1980-09-30,56.780974318
1980-10-31,57.117163796
1980-11-30,57.371992408
1980-12-31,57.57014084
1981-01-31,57.790082134
1981-02-28,58.1089859
1981-03-31,58.561335647
1981-04-30,59.136045503
1981-05-31,59.75987399
1981-06-30,60.311479647
1981-07-31,60.727730613
1981-08-31,61.026964007
1981-09-30,61.231752928
1981-10-31,61.397899929
1981-11-30,61.584573945
1981-12-31,61.786942138
1982-01-31,61.951048658
1982-02-28,62.071819718
1982-03-31,62.21310027
1982-04-30,62.434767363
1982-05-31,62.762736199
1982-06-30,63.134071874
1982-07-31,63.401682866
1982-08-31,63.466366362
1982-09-30,63.381338336
1982-10-31,63.254596866
1982-11-30,63.092195526
1982-12-31,62.844103068
1983-01-31,62.549783664
1983-02-28,62.289422808
1983-03-31,62.104928364
1983-04-30,62.069295231
1983-05-31,62.213342378
1983-06-30,62.41521312
1983-07-31,62.530493536
1983-08-31,62.527726538
1983-09-30,62.461653666
1983-10-31,62.409030382
1983-11-30,62.38793447
1983-12-31,62.374954887
1984-01-31,62.389760429
1984-02-29,62.439584448
1984-03-31,62.452798266
1984-04-30,62.361535746
1984-05-31,62.165481758
1984-06-30,61.884479855
1984-07-31,61.542597393
1984-08-31,61.206750913
1984-09-30,60.961914975
1984-10-31,60.8176209
1984-11-30,60.754161358
1984-12-31,60.808444068
1985-01-31,60.998734769
1985-02-28,61.289465258
1985-03-31,61.583317381
1985-04-30,61.682953976
1985-05-31,61.507431788
1985-06-30,61.253591498
1985-07-31,61.150593639
1985-08-31,61.263322468
1985-09-30,61.5487269
1985-10-31,61.886929718
1985-11-30,62.194157846
1985-12-31,62.479997714
1986-01-31,62.752000401
1986-02-28,63.034684789
1986-03-31,63.335773241
1986-04-30,63.581602271
1986-05-31,63.701623711
1986-06-30,63.672759457
1986-07-31,63.496568039
1986-08-31,63.388310656
1986-09-30,63.508100958
1986-10-31,63.714254345
1986-11-30,63.872047197
1986-12-31,64.030434045
1987-01-31,64.302439909
1987-02-28,64.695410405
1987-03-31,65.067049136
1987-04-30,65.295890344
1987-05-31,65.392211146
1987-06-30,65.404747038
1987-07-31,65.453834534
1987-08-31,65.54117642
1987-09-30,65.525834714
1987-10-31,65.366188325
1987-11-30,65.192369284
1987-12-31,65.190032884
1988-01-31,65.395075968
1988-02-29,65.708752005
1988-03-31,66.042594534
1988-04-30,66.343328724
1988-05-31,66.603270773
1988-06-30,66.892160423
1988-07-31,67.249789483
1988-08-31,67.575095926
1988-09-30,67.806891282
1988-10-31,67.984371079
1988-11-30,68.157330487
1988-12-31,68.352442571
1989-01-31,68.458387823
1989-02-28,68.465920102
1989-03-31,68.552874648
1989-04-30,68.783647778
1989-05-31,69.055791783
1989-06-30,69.313909605
1989-07-31,69.697447822
1989-08-31,70.222940675
1989-09-30,70.786820865
1989-10-31,71.419334465
1989-11-30,72.042122868
1989-12-31,72.491534339
1990-01-31,72.790248973
1990-02-28,73.094641021
1990-03-31,73.509152395
1990-04-30,74.014284465
1990-05-31,74.586535304
1990-06-30,75.296082143
1990-07-31,76.027456852
1990-08-31,76.567376334
1990-09-30,76.941476205
1990-10-31,77.223069788
1990-11-30,77.485104757
1990-12-31,77.789749981
1991-01-31,78.130228581
1991-02-28,78.523630046
1991-03-31,78.847695702
1991-04-30,78.991679004
1991-05-31,79.028475822
1991-06-30,78.960037656
1991-07-31,78.866385588
1991-08-31,78.937722409
1991-09-30,79.178374132
1991-10-31,79.469492019
1991-11-30,79.698370731
1991-12-31,79.809301817
1992-01-31,79.848146315
1992-02-29,79.936952517
1992-03-31,80.131465218
1992-04-30,80.351968521
1992-05-31,80.478701386
1992-06-30,80.554431761
1992-07-31,80.771206012
1992-08-31,81.064853064
1992-09-30,81.244501838
1992-10-31,81.31160808
1992-11-30,81.333302359
1992-12-31,81.253467702
1993-01-31,81.044496098
1993-02-28,80.829607007
1993-03-31,80.801606175
1993-04-30,81.02283915
1993-05-31,81.371921638
1993-06-30,81.588504767
1993-07-31,81.653896045
1993-08-31,81.768404775
1993-09-30,81.878259675
1993-10-31,81.918182671
1993-11-30,81.938420217
1993-12-31,81.986380039
1994-01-31,82.17760086
1994-02-28,82.571873661
1994-03-31,83.153002581
1994-04-30,83.784263624
1994-05-31,84.266851417
1994-06-30,84.637251418
1994-07-31,84.960314667
1994-08-31,85.210857415
1994-09-30,85.433461823
1994-10-31,85.673893309
1994-11-30,85.835134265
1994-12-31,85.882271723
1995-01-31,85.893848705
1995-02-28,85.921128039
1995-03-31,86.00987167
1995-04-30,86.199937895
1995-05-31,86.480272735
1995-06-30,86.848383181
1995-07-31,87.192031394
1995-08-31,87.409835876
1995-09-30,87.377472986
1995-10-31,87.107819385
1995-11-30,86.925709504
1995-12-31,87.03577637
1996-01-31,87.40240011
1996-02-29,87.830783166
1996-03-31,88.215225628
1996-04-30,88.508474111
1996-05-31,88.721696514
1996-06-30,88.954147669
1996-07-31,89.195905727
1996-08-31,89.403652888
1996-09-30,89.476587494
1996-10-31,89.380221427
1996-11-30,89.257710702
1996-12-31,89.165534979
