Date,Value
1975-01-31,30.317179225
1975-02-28,30.370796872
1975-03-31,30.53945772
1975-04-30,30.766897049
1975-05-31,31.005467075
1975-06-30,31.254749086
1975-07-31,31.459902139
1975-08-31,31.54507656
1975-09-30,31.573261758
1975-10-31,31.67467069
1975-11-30,31.866373404
1975-12-31,31.978461492
1976-01-31,31.987689804
1976-02-29,32.07876177
1976-03-31,32.360499701
1976-04-30,32.792186996
1976-05-31,33.21827932
1976-06-30,33.50281867
1976-07-31,33.719766937
1976-08-31,33.929737142
1976-09-30,34.095899053
1976-10-31,34.164850728
1976-11-30,34.171433589
1976-12-31,34.209029327
1977-01-31,34.312038642
1977-02-28,34.566164988
1977-03-31,34.995494865
1977-04-30,35.50648234
1977-05-31,35.935218034
1977-06-30,36.280807053
1977-07-31,36.837950319
1977-08-31,37.545318163
1977-09-30,37.983877278
1977-10-31,38.117167084
1977-11-30,38.213453222
1977-12-31,38.375012063
1978-01-31,38.622363747
1978-02-28,39.069163166
1978-03-31,39.749225581
1978-04-30,40.454143398
1978-05-31,40.919968587
1978-06-30,41.228552079
1978-07-31,41.596981364
1978-08-31,42.070875081
1978-09-30,42.425913731
1978-10-31,42.562906178
1978-11-30,42.773602913
1978-12-31,43.176142604
1979-01-31,43.600072477
1979-02-28,43.9627207
1979-03-31,44.292760312
1979-04-30,44.682454711
1979-05-31,45.186183073
1979-06-30,45.488283501
1979-07-31,45.604901761
1979-08-31,45.890328676
1979-09-30,46.286195161
1979-10-31,46.528698934
1979-11-30,46.449526985
1979-12-31,46.239922827
1980-01-31,46.191690096
1980-02-29,46.356512889
1980-03-31,46.501811948
1980-04-30,46.502041272
1980-05-31,46.484625751
1980-06-30,46.576943628
1980-07-31,46.921188137
1980-08-31,47.375712612
1980-09-30,47.69236545
1980-10-31,47.902855597
1980-11-30,48.04795087
1980-12-31,48.058427883
1981-01-31,48.000064245
1981-02-28,47.94269513
1981-03-31,47.894350295
1981-04-30,47.871053759
1981-05-31,47.837348667
1981-06-30,47.872951224
1981-07-31,47.962348148
1981-08-31,47.972095991
1981-09-30,47.910957453
1981-10-31,47.814364816
1981-11-30,47.627784384
1981-12-31,47.38605377
1982-01-31,47.205071303
1982-02-28,47.017156147
1982-03-31,46.671349861
1982-04-30,46.090761294
1982-05-31,45.426402797
1982-06-30,45.229899411
1982-07-31,45.821093139
1982-08-31,46.768068386
1982-09-30,47.467484711
1982-10-31,47.82251149
1982-11-30,47.901786223
1982-12-31,47.778293695
1983-01-31,47.628939407
1983-02-28,47.645866371
1983-03-31,47.91316426
1983-04-30,48.434400537
1983-05-31,49.109002488
1983-06-30,49.600020451
1983-07-31,49.726543962
1983-08-31,49.691533917
1983-09-30,49.735741793
1983-10-31,49.811479639
1983-11-30,49.867625451
1983-12-31,49.894099318
1984-01-31,49.741067343
1984-02-29,49.485418387
1984-03-31,49.464090378
1984-04-30,49.778030791
1984-05-31,50.153847473
1984-06-30,50.258040037
1984-07-31,50.150278524
1984-08-31,49.996278216
1984-09-30,49.907089824
1984-10-31,49.866582081
1984-11-30,49.736238978
1984-12-31,49.64120255
1985-01-31,49.668630357
1985-02-28,49.794310244
1985-03-31,50.02434845
1985-04-30,50.339056946
1985-05-31,50.595775153
1985-06-30,50.607584543
1985-07-31,50.64772179
1985-08-31,50.932057114
1985-09-30,51.266586027
1985-10-31,51.381561562
1985-11-30,51.254255186
1985-12-31,51.275026528
1986-01-31,51.551041775
1986-02-28,51.931761493
1986-03-31,52.252692082
1986-04-30,52.441030231
1986-05-31,52.862078957
1986-06-30,53.550262643
1986-07-31,53.994798129
1986-08-31,54.031768547
1986-09-30,54.043070257
1986-10-31,54.2750748
1986-11-30,54.460910626
1986-12-31,54.471160871
1987-01-31,54.680297823
1987-02-28,55.143973543
1987-03-31,55.648752612
1987-04-30,56.201948801
1987-05-31,56.67165278
1987-06-30,56.945401674
1987-07-31,57.078762737
1987-08-31,57.268259724
1987-09-30,57.42702829
1987-10-31,57.614565907
1987-11-30,57.899730999
1987-12-31,58.10009738
1988-01-31,58.295251009
1988-02-29,58.589026218
1988-03-31,59.041458513
1988-04-30,59.618102947
1988-05-31,60.228708179
1988-06-30,60.613744815
1988-07-31,60.630448001
1988-08-31,60.685258747
1988-09-30,60.894965101
1988-10-31,61.054206826
1988-11-30,61.181135863
1988-12-31,61.29479965
1989-01-31,61.461080016
1989-02-28,61.710988516
1989-03-31,62.054084645
1989-04-30,62.394686298
1989-05-31,62.812649001
1989-06-30,63.354332698
1989-07-31,63.810681982
1989-08-31,64.132614443
1989-09-30,64.332572081
1989-10-31,64.394742033
1989-11-30,64.501348102
1989-12-31,64.759554697
1990-01-31,64.910783473
1990-02-28,65.006759044
1990-03-31,65.281312373
1990-04-30,65.657324946
1990-05-31,66.065432965
1990-06-30,66.535688473
1990-07-31,66.939872622
1990-08-31,67.135946881
1990-09-30,67.238357773
1990-10-31,67.259963345
1990-11-30,67.181194083
1990-12-31,67.134727081
1991-01-31,67.200999901
1991-02-28,67.516445028
1991-03-31,67.99074868
1991-04-30,68.321370102
1991-05-31,68.616190276
1991-06-30,68.905939033
1991-07-31,68.997776702
1991-08-31,68.937510024
1991-09-30,68.932566072
1991-10-31,69.163988964
1991-11-30,69.622744236
1991-12-31,70.000786679
