Date,Value
1975-01-31,37.754067157
1975-02-28,37.337158391
1975-03-31,36.912610833
1975-04-30,36.489475324
1975-05-31,36.102422154
1975-06-30,35.806519966
1975-07-31,35.610108775
1975-08-31,35.463959718
1975-09-30,35.342592937
1975-10-31,35.262107514
1975-11-30,35.246259686
1975-12-31,35.319801545
1976-01-31,35.499956591
1976-02-29,35.790651982
1976-03-31,36.161829142
1976-04-30,36.556026339
1976-05-31,36.93317345
1976-06-30,37.273964009
1976-07-31,37.592574743
1976-08-31,37.888156154
1976-09-30,38.100694682
1976-10-31,38.172080727
1976-11-30,38.119135356
1976-12-31,38.038399754
1977-01-31,38.013312695
1977-02-28,38.081055278
1977-03-31,38.276352708
1977-04-30,38.647993041
1977-05-31,39.199588384
1977-06-30,39.866277742
1977-07-31,40.550189178
1977-08-31,41.131248423
1977-09-30,41.522080931
1977-10-31,41.814924771
1977-11-30,42.165962877
1977-12-31,42.562266675
1978-01-31,42.952086736
1978-02-28,43.372608197
1978-03-31,43.858750522
1978-04-30,44.372859871
1978-05-31,44.872097974
1978-06-30,45.331840048
1978-07-31,45.716702332
1978-08-31,46.000561833
1978-09-30,46.138230641
1978-10-31,46.096171636
1978-11-30,45.900134593
1978-12-31,45.601384733
1979-01-31,45.316817421
1979-02-28,45.181758617
1979-03-31,45.25660389
1979-04-30,45.554089287
1979-05-31,46.040203251
1979-06-30,46.610248276
1979-07-31,47.087978491
1979-08-31,47.358481473
1979-09-30,47.496564206
1979-10-31,47.669416009
1979-11-30,48.007314852
1979-12-31,48.550126885
1980-01-31,49.250110168
1980-02-29,50.002926323
1980-03-31,50.676348379
1980-04-30,51.196506184
1980-05-31,51.558889476
1980-06-30,51.768201305
1980-07-31,51.842362419
1980-08-31,51.804672417
1980-09-30,51.687218911
1980-10-31,51.526663001
1980-11-30,51.317587665
1980-12-31,51.037233118
1981-01-31,50.67624904
1981-02-28,50.240469422
1981-03-31,49.763966031
1981-04-30,49.28293008
1981-05-31,48.819447521
1981-06-30,48.383549802
1981-07-31,47.977776366
1981-08-31,47.606499967
1981-09-30,47.280837068
1981-10-31,47.013742783
1981-11-30,46.819873441
1981-12-31,46.71596704
1982-01-31,46.717052628
1982-02-28,46.826591506
1982-03-31,47.041265333
1982-04-30,47.359023149
1982-05-31,47.770057647
1982-06-30,48.249558337
1982-07-31,48.762620937
1982-08-31,49.269921567
1982-09-30,49.734047435
1982-10-31,50.114590719
1982-11-30,50.368242952
1982-12-31,50.487951758
1983-01-31,50.50306195
1983-02-28,50.456777989
1983-03-31,50.410851972
1983-04-30,50.423885405
1983-05-31,50.53485741
1983-06-30,50.759655708
1983-07-31,51.088065121
1983-08-31,51.487541168
1983-09-30,51.930970491
1983-10-31,52.419402248
1983-11-30,52.970178322
1983-12-31,53.60058726
1984-01-31,54.294654247
1984-02-29,54.990351024
1984-03-31,55.611562211
1984-04-30,56.099591419
1984-05-31,56.463935492
1984-06-30,56.767482994
1984-07-31,57.044633561
1984-08-31,57.288388252
1984-09-30,57.484532036
1984-10-31,57.631112384
1984-11-30,57.736033791
1984-12-31,57.7962149
1985-01-31,57.787086219
1985-02-28,57.686988276
1985-03-31,57.49829766
1985-04-30,57.252283837
1985-05-31,57.005243348
1985-06-30,56.824497607
1985-07-31,56.757323916
1985-08-31,56.808753619
1985-09-30,56.944570988
1985-10-31,57.110646348
1985-11-30,57.248678258
1985-12-31,57.316345175
1986-01-31,57.333033903
1986-02-28,57.332681309
1986-03-31,57.323045421
1986-04-30,57.312612728
1986-05-31,57.268347783
1986-06-30,57.142598605
1986-07-31,56.990908945
1986-08-31,56.936266306
1986-09-30,57.09616675
1986-10-31,57.489217581
1986-11-30,57.944577597
1986-12-31,58.315981902
1987-01-31,58.564562392
1987-02-28,58.701929708
1987-03-31,58.769963523
1987-04-30,58.84308957
1987-05-31,58.950811954
1987-06-30,59.010132499
1987-07-31,58.990943215
1987-08-31,58.905386286
1987-09-30,58.767880516
1987-10-31,58.619862552
1987-11-30,58.501754745
1987-12-31,58.404826074
1988-01-31,58.277445528
1988-02-29,58.109158544
1988-03-31,57.950608171
1988-04-30,57.865099083
1988-05-31,57.881620757
1988-06-30,57.961988112
1988-07-31,58.023866504
1988-08-31,57.999608058
1988-09-30,57.893432774
1988-10-31,57.778724278
1988-11-30,57.710230035
1988-12-31,57.7365088
1989-01-31,57.901886026
1989-02-28,58.180136726
1989-03-31,58.501529629
1989-04-30,58.81105314
1989-05-31,59.114912831
1989-06-30,59.450547273
1989-07-31,59.790208227
1989-08-31,60.056209025
1989-09-30,60.215409752
1989-10-31,60.271851734
1989-11-30,60.25029793
1989-12-31,60.213441138
1990-01-31,60.257779502
1990-02-28,60.462989382
1990-03-31,60.833437676
1990-04-30,61.33076823
1990-05-31,61.911174512
1990-06-30,62.488125097
1990-07-31,62.926155321
1990-08-31,63.132149046
1990-09-30,63.147562158
1990-10-31,63.076100474
