Date,Value
1975-01-31,32.171503323
1975-02-28,32.222503579
1975-03-31,32.312085415
1975-04-30,32.439125531
1975-05-31,32.585102088
1975-06-30,32.744739846
1975-07-31,32.911204783
1975-08-31,33.086491342
1975-09-30,33.315025407
1975-10-31,33.656964669
1975-11-30,34.109195919
1975-12-31,34.5166415
1976-01-31,34.70716741
1976-02-29,34.681293613
1976-03-31,34.597537036
1976-04-30,34.624453997
1976-05-31,34.719060018
1976-06-30,34.745390405
1976-07-31,34.741913179
1976-08-31,34.794782333
1976-09-30,34.894346132
1976-10-31,35.002670522
1976-11-30,35.105315937
1976-12-31,35.235607861
1977-01-31,35.454168217
1977-02-28,35.792956727
1977-03-31,36.224945127
1977-04-30,36.688615437
1977-05-31,37.123651509
1977-06-30,37.551631695
1977-07-31,37.974688094
1977-08-31,38.268610191
1977-09-30,38.442731206
1977-10-31,38.687747587
1977-11-30,39.089232066
1977-12-31,39.544072073
1978-01-31,39.921066448
1978-02-28,40.129374813
1978-03-31,40.247399858
1978-04-30,40.462264186
1978-05-31,40.836767757
1978-06-30,41.314922215
1978-07-31,41.736973103
1978-08-31,41.983788818
1978-09-30,42.108888911
1978-10-31,42.232774665
1978-11-30,42.399803046
1978-12-31,42.586484408
1979-01-31,42.762494757
1979-02-28,42.903844
1979-03-31,43.064543127
1979-04-30,43.362834304
1979-05-31,43.798586994
1979-06-30,44.280629929
1979-07-31,44.750010148
1979-08-31,45.173257953
1979-09-30,45.510211705
1979-10-31,45.777512431
1979-11-30,46.025888534
1979-12-31,46.240295793
1980-01-31,46.400605329
1980-02-29,46.528790123
1980-03-31,46.667855112
1980-04-30,46.845458459
1980-05-31,47.066333477
1980-06-30,47.288449642
1980-07-31,47.433929764
1980-08-31,47.476373886
1980-09-30,47.5003696
1980-10-31,47.531780134
1980-11-30,47.499206229
1980-12-31,47.456399776
1981-01-31,47.545370613
1981-02-28,47.848199602
1981-03-31,48.390750593
1981-04-30,49.09349668
1981-05-31,49.772454333
1981-06-30,50.277074683
1981-07-31,50.569513158
1981-08-31,50.697899688
1981-09-30,50.725847601
1981-10-31,50.696198444
1981-11-30,50.633570712
1981-12-31,50.564397262
1982-01-31,50.541145874
1982-02-28,50.603903675
1982-03-31,50.721297669
1982-04-30,50.854314729
1982-05-31,51.00161131
1982-06-30,51.165925172
1982-07-31,51.357098675
1982-08-31,51.535127565
1982-09-30,51.651295015
