Date,Value
1975-01-31,26.620695324
1975-02-28,26.937919915
1975-03-31,27.244898747
1975-04-30,27.525196671
1975-05-31,27.771740436
1975-06-30,27.990372831
1975-07-31,28.170272939
1975-08-31,28.289203773
1975-09-30,28.350414773
1975-10-31,28.372390327
1975-11-30,28.367011699
1975-12-31,28.339887086
1976-01-31,28.294289933
1976-02-29,28.239802924
1976-03-31,28.206607326
1976-04-30,28.239656336
1976-05-31,28.35553555
1976-06-30,28.545312443
1976-07-31,28.791784177
1976-08-31,29.064076806
1976-09-30,29.3262312
1976-10-31,29.551155836
1976-11-30,29.735081103
1976-12-31,29.89039554
1977-01-31,30.027569118
1977-02-28,30.155119541
1977-03-31,30.296010616
1977-04-30,30.475070684
1977-05-31,30.705529357
1977-06-30,30.983866764
1977-07-31,31.281923621
1977-08-31,31.574749804
1977-09-30,31.850397979
1977-10-31,32.087072209
1977-11-30,32.279390373
1977-12-31,32.471577141
1978-01-31,32.710855548
1978-02-28,33.005665653
1978-03-31,33.348188936
1978-04-30,33.732634502
1978-05-31,34.155986708
1978-06-30,34.594578648
1978-07-31,35.005430761
1978-08-31,35.378430453
1978-09-30,35.729688004
1978-10-31,36.064645288
1978-11-30,36.378914808
1978-12-31,36.666702455
1979-01-31,36.929097264
1979-02-28,37.150709856
1979-03-31,37.290289995
1979-04-30,37.333289684
1979-05-31,37.308214304
1979-06-30,37.256820305
1979-07-31,37.220531553
1979-08-31,37.253498861
1979-09-30,37.415435771
1979-10-31,37.719316955
1979-11-30,38.106499291
1979-12-31,38.501384211
1980-01-31,38.869090856
1980-02-29,39.21202545
1980-03-31,39.552649072
1980-04-30,39.917785942
1980-05-31,40.325397592
1980-06-30,40.783948014
1980-07-31,41.281502626
1980-08-31,41.778885592
1980-09-30,42.23943344
1980-10-31,42.639050182
1980-11-30,42.94314516
1980-12-31,43.124412481
1981-01-31,43.184638821
1981-02-28,43.142521552
1981-03-31,43.023731041
1981-04-30,42.849317798
1981-05-31,42.632437035
1981-06-30,42.383951053
1981-07-31,42.133570543
1981-08-31,41.909654623
1981-09-30,41.720825479
1981-10-31,41.57081949
1981-11-30,41.452368414
1981-12-31,41.357781484
1982-01-31,41.292092915
1982-02-28,41.266610088
1982-03-31,41.292499799
1982-04-30,41.381280975
1982-05-31,41.540304713
1982-06-30,41.766667889
1982-07-31,42.050431425
1982-08-31,42.380040081
1982-09-30,42.730349613
1982-10-31,43.06145265
1982-11-30,43.344129152
1982-12-31,43.556630071
1983-01-31,43.690236885
1983-02-28,43.764552485
1983-03-31,43.827352864
1983-04-30,43.946675346
1983-05-31,44.178696162
1983-06-30,44.535437299
1983-07-31,44.945890431
1983-08-31,45.301331384
1983-09-30,45.569997645
1983-10-31,45.800340151
1983-11-30,46.048771589
1983-12-31,46.33531335
1984-01-31,46.659255842
1984-02-29,47.00815052
1984-03-31,47.362078907
1984-04-30,47.73068036
1984-05-31,48.12426272
1984-06-30,48.489795778
1984-07-31,48.769820596
1984-08-31,48.963272075
1984-09-30,49.058200847
1984-10-31,49.051776894
1984-11-30,48.998344595
1984-12-31,48.99240713
1985-01-31,49.125122596
1985-02-28,49.440693119
1985-03-31,49.937378703
1985-04-30,50.565550675
1985-05-31,51.19797122
1985-06-30,51.736390528
1985-07-31,52.208026288
1985-08-31,52.641110221
1985-09-30,52.996764438
1985-10-31,53.263634593
1985-11-30,53.474867337
1985-12-31,53.67086442
1986-01-31,53.923056615
1986-02-28,54.280767223
1986-03-31,54.74268154
1986-04-30,55.289622208
1986-05-31,55.961207531
1986-06-30,56.800569992
1986-07-31,57.742742715
1986-08-31,58.720897247
1986-09-30,59.640728615
1986-10-31,60.39391345
1986-11-30,61.034669209
1986-12-31,61.655028411
1987-01-31,62.27852384
1987-02-28,62.907686636
1987-03-31,63.639870128
1987-04-30,64.500419882
1987-05-31,65.389624384
1987-06-30,66.236217078
1987-07-31,66.965480161
1987-08-31,67.642720356
1987-09-30,68.398538055
1987-10-31,69.217167487
1987-11-30,69.967795157
1987-12-31,70.588109306
1988-01-31,71.157145974
1988-02-29,71.868469947
1988-03-31,72.840476719
1988-04-30,74.007179052
1988-05-31,75.250027463
1988-06-30,76.4875093
1988-07-31,77.5523741
1988-08-31,78.269688095
1988-09-30,78.660634599
1988-10-31,78.886040119
1988-11-30,79.135949435
1988-12-31,79.516275856
1989-01-31,79.959617782
1989-02-28,80.365151715
1989-03-31,80.794587114
1989-04-30,81.320214597
1989-05-31,81.906316813
1989-06-30,82.488241759
1989-07-31,82.998035549
1989-08-31,83.451612423
1989-09-30,83.892371273
1989-10-31,84.260113164
1989-11-30,84.487630167
1989-12-31,84.549633276
1990-01-31,84.552546429
1990-02-28,84.646101397
1990-03-31,84.822869824
1990-04-30,84.947040086
1990-05-31,84.916298049
1990-06-30,84.719912735
1990-07-31,84.383322158
1990-08-31,83.97717939
1990-09-30,83.612847261
1990-10-31,83.337969996
1990-11-30,83.173568209
1990-12-31,83.142295928
1991-01-31,83.126793539
1991-02-28,83.003391054
1991-03-31,82.787646796
1991-04-30,82.543751619
1991-05-31,82.271039623
1991-06-30,81.935838174
1991-07-31,81.57734723
1991-08-31,81.308893304
1991-09-30,81.225798866
1991-10-31,81.283701361
1991-11-30,81.398266907
1991-12-31,81.457155811
1992-01-31,81.358767872
1992-02-29,81.287979409
1992-03-31,81.481397749
1992-04-30,81.806545993
1992-05-31,82.010935965
1992-06-30,82.096826471
1992-07-31,82.105240991
1992-08-31,82.002933945
1992-09-30,81.786656806
1992-10-31,81.574514011
1992-11-30,81.513150468
1992-12-31,81.548578399
1993-01-31,81.569191315
1993-02-28,81.652679168
1993-03-31,81.873667048
1993-04-30,82.146572244
1993-05-31,82.333399542
1993-06-30,82.403870001
1993-07-31,82.361862811
1993-08-31,82.190482115
1993-09-30,81.993250833
1993-10-31,81.926547793
1993-11-30,82.003299464
1993-12-31,82.101944037
1994-01-31,82.163072898
1994-02-28,82.205087009
1994-03-31,82.244801968
1994-04-30,82.273746879
1994-05-31,82.374537384
1994-06-30,82.6144313
1994-07-31,82.851232576
1994-08-31,82.907022705
1994-09-30,82.794489818
1994-10-31,82.583331767
1994-11-30,82.321736674
1994-12-31,82.147058705
1995-01-31,82.149451207
1995-02-28,82.279886914
1995-03-31,82.529119693
1995-04-30,82.872363715
1995-05-31,83.203504835
1995-06-30,83.49419673
1995-07-31,83.661161947
1995-08-31,83.568655785
1995-09-30,83.207199783
1995-10-31,82.702091803
1995-11-30,82.356675845
1995-12-31,82.39606809
1996-01-31,82.658511503
1996-02-29,82.828272657
1996-03-31,82.877267565
1996-04-30,83.004198332
1996-05-31,83.309204636
1996-06-30,83.689544243
1996-07-31,83.979004533
1996-08-31,84.081819441
1996-09-30,83.997514228
1996-10-31,83.802786851
1996-11-30,83.65782524
1996-12-31,83.668435731
1997-01-31,83.787146635
1997-02-28,83.949113001
1997-03-31,84.120471746
1997-04-30,84.256469335
1997-05-31,84.281831278
1997-06-30,84.171777166
1997-07-31,83.942778895
1997-08-31,83.627330254
1997-09-30,83.346592568
1997-10-31,83.230444954
1997-11-30,83.251336232
1997-12-31,83.431173134
1998-01-31,83.823937564
1998-02-28,84.306591083
1998-03-31,84.794118321
1998-04-30,85.248912924
1998-05-31,85.655440382
1998-06-30,85.972862144
1998-07-31,86.193710671
1998-08-31,86.469003474
1998-09-30,86.754664288
1998-10-31,86.896071326
1998-11-30,86.869989554
1998-12-31,86.793190451
1999-01-31,86.829312459
1999-02-28,87.037673184
1999-03-31,87.505909162
1999-04-30,88.294967507
1999-05-31,89.352902848
1999-06-30,90.540620745
1999-07-31,91.610658139
1999-08-31,92.383174059
1999-09-30,92.908526775
1999-10-31,93.307962621
1999-11-30,93.673772916
1999-12-31,94.057957202
2000-01-31,94.481710622
2000-02-29,94.976167303
2000-03-31,95.654120974
2000-04-30,96.512650969
2000-05-31,97.394880798
2000-06-30,98.127171349
2000-07-31,98.689012179
2000-08-31,99.199960689
2000-09-30,99.553167227
2000-10-31,99.702616454
2000-11-30,99.770951527
2000-12-31,100.0
2001-01-31,100.54262102
2001-02-28,101.29803715
2001-03-31,102.21095489
2001-04-30,103.37995104
2001-05-31,104.80407841
2001-06-30,106.19146763
2001-07-31,107.21001433
2001-08-31,107.75644439
2001-09-30,108.00769124
2001-10-31,108.20553616
2001-11-30,108.53501425
2001-12-31,109.00704749
2002-01-31,109.5465069
2002-02-28,110.27398753
2002-03-31,111.32693633
2002-04-30,112.67485563
2002-05-31,114.03767869
2002-06-30,115.33195364
2002-07-31,116.49449878
2002-08-31,117.21198407
2002-09-30,117.5067776
2002-10-31,117.7695558
2002-11-30,118.18650238
2002-12-31,118.5628905
2003-01-31,118.91898001
2003-02-28,119.40837216
2003-03-31,120.08152286
2003-04-30,121.11940454
2003-05-31,122.63624278
2003-06-30,124.33815308
2003-07-31,125.95370887
2003-08-31,127.50690866
2003-09-30,128.95158166
2003-10-31,129.93477829
2003-11-30,130.41617863
2003-12-31,130.77295351
2004-01-31,131.17306203
2004-02-29,131.80812987
2004-03-31,132.97709815
2004-04-30,134.86461819
2004-05-31,137.39705292
2004-06-30,140.20226818
2004-07-31,142.80367735
2004-08-31,144.73951911
2004-09-30,146.05107472
2004-10-31,147.05667639
2004-11-30,147.77020838
2004-12-31,148.26756022
2005-01-31,148.84612934
2005-02-28,149.92576625
2005-03-31,151.50972552
2005-04-30,153.40899558
2005-05-31,155.52637215
2005-06-30,157.58532373
2005-07-31,159.3374763
2005-08-31,160.74132485
2005-09-30,161.79849485
2005-10-31,162.36281584
2005-11-30,162.58550154
2005-12-31,162.71819857
2006-01-31,162.87976712
2006-02-28,163.35960519
2006-03-31,164.25528223
2006-04-30,165.34200617
2006-05-31,166.37358682
2006-06-30,167.22333752
2006-07-31,167.63201224
2006-08-31,167.34115866
2006-09-30,166.72060342
2006-10-31,166.32517979
2006-11-30,166.19868364
2006-12-31,166.07214482
2007-01-31,165.91088497
2007-02-28,166.02653263
2007-03-31,166.62881299
2007-04-30,167.49285441
2007-05-31,168.31627607
2007-06-30,168.9567987
2007-07-31,169.44172794
2007-08-31,169.67312776
2007-09-30,169.1495814
2007-10-31,167.71260608
2007-11-30,165.83693427
2007-12-31,164.3097663
2008-01-31,163.56372202
2008-02-29,163.48873046
2008-03-31,164.07603432
2008-04-30,165.02515645
2008-05-31,165.76043018
2008-06-30,166.01708482
2008-07-31,165.77167532
2008-08-31,164.99262944
2008-09-30,164.02097706
2008-10-31,163.16723884
2008-11-30,162.2698347
2008-12-31,161.28547925
2009-01-31,160.41480823
2009-02-28,159.86559932
2009-03-31,159.62961702
2009-04-30,159.63589001
2009-05-31,159.98043435
2009-06-30,160.52782807
2009-07-31,160.76280612
2009-08-31,160.3981667
2009-09-30,159.46201795
2009-10-31,158.39903458
2009-11-30,157.76895663
