Date,Value
1975-01-31,28.115545486
1975-02-28,28.490111918
1975-03-31,28.861734791
1975-04-30,29.197657618
1975-05-31,29.476274251
1975-06-30,29.691981302
1975-07-31,29.860879534
1975-08-31,30.009379374
1975-09-30,30.20119144
1975-10-31,30.423249603
1975-11-30,30.572815389
1975-12-31,30.626502377
1976-01-31,30.633438911
1976-02-29,30.625383016
1976-03-31,30.648633309
1976-04-30,30.769415687
1976-05-31,30.982752365
1976-06-30,31.18237339
1976-07-31,31.339649092
1976-08-31,31.521193157
1976-09-30,31.735859861
1976-10-31,31.944387283
1976-11-30,32.191966977
1976-12-31,32.515778002
1977-01-31,32.878675106
1977-02-28,33.304424559
1977-03-31,33.800142212
1977-04-30,34.284363557
1977-05-31,34.757528663
1977-06-30,35.339740996
1977-07-31,35.988126862
1977-08-31,36.525479325
1977-09-30,36.899052257
1977-10-31,37.172332731
1977-11-30,37.429713684
1977-12-31,37.746053052
1978-01-31,38.134824859
1978-02-28,38.55430174
1978-03-31,39.003211198
1978-04-30,39.515143908
1978-05-31,40.06642951
1978-06-30,40.579911768
1978-07-31,40.993042667
1978-08-31,41.211583403
1978-09-30,41.264235994
1978-10-31,41.285104053
1978-11-30,41.332763359
1978-12-31,41.499310504
1979-01-31,41.749190452
1979-02-28,42.009266031
1979-03-31,42.342380023
1979-04-30,42.781200181
1979-05-31,43.214060552
1979-06-30,43.477885346
1979-07-31,43.603745272
1979-08-31,43.724859904
1979-09-30,43.887573063
1979-10-31,44.030398212
1979-11-30,44.059886449
1979-12-31,43.963748565
1980-01-31,43.813510077
1980-02-29,43.665932026
1980-03-31,43.562392929
1980-04-30,43.580601127
1980-05-31,43.781292442
1980-06-30,44.173770159
1980-07-31,44.694646515
1980-08-31,45.158791759
1980-09-30,45.363506669
1980-10-31,45.319667469
1980-11-30,45.179673463
1980-12-31,45.095019604
1981-01-31,45.145917912
1981-02-28,45.314904066
1981-03-31,45.547705568
1981-04-30,45.790406983
1981-05-31,45.962942466
1981-06-30,45.881621439
1981-07-31,45.309058493
1981-08-31,44.135294201
1981-09-30,42.493525948
1981-10-31,40.747628471
1981-11-30,39.437323724
1981-12-31,39.043544673
1982-01-31,39.631246348
1982-02-28,40.802802895
1982-03-31,42.004118307
1982-04-30,42.813324635
1982-05-31,43.114635597
1982-06-30,43.026689273
1982-07-31,42.705048721
1982-08-31,42.536820178
1982-09-30,42.93874089
1982-10-31,43.82932187
1982-11-30,44.779784584
1982-12-31,45.399192578
1983-01-31,45.566241849
1983-02-28,45.471353245
1983-03-31,45.509402865
1983-04-30,45.82447242
1983-05-31,46.185991856
1983-06-30,46.435622248
1983-07-31,46.539248985
1983-08-31,46.490059921
1983-09-30,46.304520945
1983-10-31,46.070776864
1983-11-30,45.988595162
1983-12-31,46.098085404
1984-01-31,46.231344663
1984-02-29,46.308041458
1984-03-31,46.469812324
1984-04-30,46.824381905
1984-05-31,47.248375549
1984-06-30,47.56743114
1984-07-31,47.660940263
1984-08-31,47.521689871
1984-09-30,47.227830077
1984-10-31,46.835789828
1984-11-30,46.511594589
1984-12-31,46.434931296
1985-01-31,46.520406131
1985-02-28,46.704470093
1985-03-31,47.01397614
1985-04-30,47.355425883
1985-05-31,47.635628763
1985-06-30,47.815286065
1985-07-31,47.902943413
1985-08-31,47.845570613
1985-09-30,47.721705426
1985-10-31,47.668471241
1985-11-30,47.705326461
1985-12-31,47.856462919
1986-01-31,48.087487808
1986-02-28,48.326450831
1986-03-31,48.532498056
1986-04-30,48.74442482
1986-05-31,49.047853372
1986-06-30,49.344771543
1986-07-31,49.497848701
1986-08-31,49.495406406
1986-09-30,49.339447921
1986-10-31,49.227620948
1986-11-30,49.257401557
1986-12-31,49.359733391
1987-01-31,49.536078198
1987-02-28,49.749436395
1987-03-31,50.00854947
1987-04-30,50.31962108
1987-05-31,50.617578828
1987-06-30,50.875772412
1987-07-31,51.098198792
1987-08-31,51.277665413
1987-09-30,51.434268054
1987-10-31,51.5008689
1987-11-30,51.386770036
1987-12-31,51.299732635
1988-01-31,51.349909739
1988-02-29,51.52117008
1988-03-31,51.814677364
1988-04-30,52.126255113
1988-05-31,52.429928036
1988-06-30,52.816348406
1988-07-31,53.302561084
1988-08-31,53.698072778
1988-09-30,53.865723155
1988-10-31,53.894962102
1988-11-30,53.858286204
1988-12-31,53.826592611
1989-01-31,53.990941906
1989-02-28,54.351949409
1989-03-31,54.743737604
1989-04-30,55.123650454
1989-05-31,55.510650095
1989-06-30,55.805083739
1989-07-31,56.016271136
1989-08-31,56.270701195
1989-09-30,56.540028347
1989-10-31,56.650663782
1989-11-30,56.676173883
1989-12-31,56.825820938
1990-01-31,57.095459994
1990-02-28,57.462872822
1990-03-31,57.917587724
1990-04-30,58.37168217
1990-05-31,58.707953781
1990-06-30,59.014036671
1990-07-31,59.310587484
1990-08-31,59.438213679
1990-09-30,59.422494609
1990-10-31,59.423642168
1990-11-30,59.559342352
1990-12-31,59.693726437
1991-01-31,59.651678561
1991-02-28,59.687871327
1991-03-31,59.977441232
1991-04-30,60.406403351
1991-05-31,60.902227069
1991-06-30,61.459600385
1991-07-31,61.906524805
1991-08-31,62.021595517
1991-09-30,61.967852146
1991-10-31,62.10651237
1991-11-30,62.393380608
1991-12-31,62.512260801
1992-01-31,62.57242267
1992-02-29,62.934551453
1992-03-31,63.539040295
1992-04-30,64.100130529
1992-05-31,64.769153022
1992-06-30,65.493996848
1992-07-31,66.029603828
1992-08-31,66.321844819
1992-09-30,66.401789644
1992-10-31,66.589627834
1992-11-30,66.808279781
1992-12-31,66.887795259
1993-01-31,67.093152782
1993-02-28,67.46548283
1993-03-31,68.082123289
1993-04-30,69.040310987
1993-05-31,70.06968013
1993-06-30,70.849594469
1993-07-31,71.356340992
1993-08-31,71.645772285
1993-09-30,71.864053257
1993-10-31,72.130365175
1993-11-30,72.296288974
1993-12-31,72.444278323
1994-01-31,72.754292451
1994-02-28,73.278686406
1994-03-31,73.999051761
1994-04-30,74.701883707
1994-05-31,75.303016216
1994-06-30,75.890324365
1994-07-31,76.404421243
1994-08-31,76.716830707
1994-09-30,76.873316207
1994-10-31,76.840446763
1994-11-30,76.503623068
1994-12-31,76.237160716
1995-01-31,76.428861657
1995-02-28,77.029124124
1995-03-31,77.808621984
1995-04-30,78.449762539
1995-05-31,78.949320723
1995-06-30,79.426887529
