Date,Value
1975-01-31,31.66300225
1975-02-28,32.157887336
1975-03-31,32.678699649
1975-04-30,33.211168882
1975-05-31,33.718381519
1975-06-30,34.186629554
1975-07-31,34.620015842
1975-08-31,35.007426457
1975-09-30,35.333703372
1975-10-31,35.57304336
1975-11-30,35.729397092
1975-12-31,35.833803508
1976-01-31,35.922170709
1976-02-29,36.042614787
1976-03-31,36.223634641
1976-04-30,36.469061205
1976-05-31,36.79933832
1976-06-30,37.255128125
1976-07-31,37.824381645
1976-08-31,38.429589695
1976-09-30,39.036745485
1976-10-31,39.655905861
1976-11-30,40.240983446
1976-12-31,40.715411909
1977-01-31,41.084114225
1977-02-28,41.411240797
1977-03-31,41.73509348
1977-04-30,42.069710428
1977-05-31,42.442850903
1977-06-30,42.921567674
1977-07-31,43.555449404
1977-08-31,44.277613215
1977-09-30,44.95617277
1977-10-31,45.546139169
1977-11-30,46.113879937
1977-12-31,46.717334903
1978-01-31,47.393756643
1978-02-28,48.133096122
1978-03-31,48.87514955
1978-04-30,49.555877298
1978-05-31,50.160767902
1978-06-30,50.757802462
1978-07-31,51.312066107
1978-08-31,51.735376854
1978-09-30,52.092480057
1978-10-31,52.508482767
1978-11-30,53.049442128
1978-12-31,53.717179611
1979-01-31,54.467510247
1979-02-28,55.334240218
1979-03-31,56.401985427
1979-04-30,57.682565834
1979-05-31,59.038213481
1979-06-30,60.308108832
1979-07-31,61.382461258
1979-08-31,62.11814286
1979-09-30,62.466110606
1979-10-31,62.554055533
1979-11-30,62.567008346
1979-12-31,62.617350341
1980-01-31,62.65855552
1980-02-29,62.628795636
1980-03-31,62.581873723
1980-04-30,62.535356697
1980-05-31,62.505572053
1980-06-30,62.541744375
1980-07-31,62.658624844
1980-08-31,62.792488866
1980-09-30,62.872398612
1980-10-31,62.925532505
1980-11-30,63.011603515
1980-12-31,63.16049148
1981-01-31,63.380069657
1981-02-28,63.674917933
1981-03-31,64.069857773
1981-04-30,64.612793453
1981-05-31,65.343652387
1981-06-30,66.166876161
1981-07-31,66.833794873
1981-08-31,67.217299797
1981-09-30,67.380296708
1981-10-31,67.442057165
1981-11-30,67.515669608
