Date,Open,High,Low,Close*,Adj Close**,Volume
"November 3, 2017","1,042.75","1,050.66","1,037.65","1,049.99","1,049.99","1,372,500"
"November 2, 2017","1,039.99","1,045.52","1,028.66","1,042.97","1,042.97","1,334,700"
"November 1, 2017","1,036.32","1,047.86","1,034.00","1,042.60","1,042.60","2,163,100"
"October 31, 2017","1,033.00","1,041.00","1,026.30","1,033.04","1,033.04","1,516,300"
"October 30, 2017","1,029.16","1,039.83","1,022.33","1,033.13","1,033.13","2,340,200"
"October 27, 2017","1,030.99","1,063.62","1,026.85","1,033.67","1,033.67","5,184,100"
"October 26, 2017",998.47,"1,006.51",990.47,991.42,991.42,"2,369,800"
"October 25, 2017",986.27,994.43,977.72,991.46,991.46,"1,528,700"
"October 24, 2017",986.5,989.26,977.08,988.49,988.49,"1,445,100"
"October 23, 2017","1,005.18","1,005.79",983.1,985.54,985.54,"1,639,300"
"October 20, 2017","1,007.05","1,008.65","1,002.27","1,005.07","1,005.07","1,606,000"
"October 19, 2017","1,004.75","1,007.32",997.3,"1,001.84","1,001.84","1,714,200"
"October 18, 2017","1,011.05","1,016.31","1,005.32","1,012.74","1,012.74","1,279,800"
"October 17, 2017","1,007.44","1,014.56","1,006.05","1,011.00","1,011.00","1,013,000"
"October 16, 2017","1,009.63","1,012.00","1,001.52","1,009.35","1,009.35","1,071,000"
"October 13, 2017","1,009.11","1,014.76","1,007.06","1,007.87","1,007.87","1,327,600"
"October 12, 2017","1,003.84","1,011.54","1,001.10","1,005.65","1,005.65","1,530,700"
"October 11, 2017",989.04,"1,007.57",987.94,"1,005.65","1,005.65","1,815,000"
"October 10, 2017",995.3,997.47,981.11,987.8,987.8,"1,163,400"
"October 9, 2017",995,"1,000.46",991.5,992.31,992.31,"1,295,500"
"October 6, 2017",980,994.26,978.51,993.64,993.64,"1,553,000"
"October 5, 2017",972.79,986.51,970.27,985.19,985.19,"1,780,900"
"October 4, 2017",971.76,974.4,965.61,966.78,966.78,"1,057,800"
"October 3, 2017",967.56,972.44,962.71,972.08,972.08,"1,083,300"
"October 2, 2017",975.65,977.74,961.95,967.47,967.47,"1,539,100"
"September 29, 2017",966,975.81,966,973.72,973.72,"2,031,100"
"September 28, 2017",956.25,966.18,955.55,964.81,964.81,"1,400,900"
"September 27, 2017",942.74,965.43,941.95,959.9,959.9,"2,334,600"
"September 26, 2017",936.69,944.08,935.12,937.43,937.43,"1,672,700"
"September 25, 2017",939.45,939.75,924.51,934.28,934.28,"1,873,400"
"September 22, 2017",942.77,950,940.84,943.26,943.26,"1,074,800"
"September 21, 2017",948.13,952.8,939.38,947.55,947.55,"1,370,700"
"September 20, 2017",937.73,950,937.5,947.54,947.54,"2,004,000"
"September 19, 2017",933.41,937.94,926.66,936.86,936.86,"1,242,700"
"September 18, 2017",935.01,936.86,925.4,929.75,929.75,"1,473,700"
"September 15, 2017",940.09,941.75,931.25,935.29,935.29,"1,994,300"
"September 14, 2017",946,948.03,938.36,940.13,940.13,"1,427,400"
"September 13, 2017",945.5,952.85,944.74,950.44,950.44,"1,095,400"
"September 12, 2017",946.92,948.09,937.5,946.65,946.65,"1,284,800"
"September 11, 2017",947.2,952.68,941,943.29,943.29,"1,337,400"
"September 8, 2017",949.7,950.7,940.01,941.41,941.41,"999,900"
"September 7, 2017",944.25,950.5,937.53,949.89,949.89,"1,116,600"
"September 6, 2017",943.87,944.5,932.68,942.02,942.02,"1,391,500"
"September 5, 2017",946.86,951.39,935.6,941.48,941.48,"1,457,400"
"September 1, 2017",957.47,958.33,950.28,951.99,951.99,"1,042,900"
"August 31, 2017",946.3,957.2,946.25,955.24,955.24,"1,693,300"
"August 30, 2017",935.67,945.86,934.05,943.63,943.63,"1,120,300"
"August 29, 2017",919.95,938.19,919.31,935.75,935.75,"1,158,600"
"August 28, 2017",931.88,934.85,926.11,928.13,928.13,"1,049,400"
"August 25, 2017",939.21,940.73,930.1,930.5,930.5,"1,187,300"
"August 24, 2017",943.71,946.31,930.74,936.89,936.89,"1,294,600"
"August 23, 2017",937,945.43,935.24,942.58,942.58,"1,134,500"
"August 22, 2017",926.96,941.96,926.17,940.4,940.4,"1,775,100"
"August 21, 2017",925.77,928.25,918.6,920.87,920.87,"1,301,200"
"August 18, 2017",926.98,931.02,923.45,926.18,926.18,"1,337,400"
"August 17, 2017",942.95,943.81,927.64,927.66,927.66,"1,695,700"
"August 16, 2017",941.25,949.9,940.04,944.27,944.27,"1,345,300"
"August 15, 2017",941.03,943.07,936.64,938.08,938.08,"1,106,500"
"August 14, 2017",939.07,941.04,934.49,938.93,938.93,"1,148,500"
"August 11, 2017",923.71,933.36,921.22,930.09,930.09,"1,616,700"
"August 10, 2017",935,936.3,921.78,923.59,923.59,"2,707,400"
"August 9, 2017",938.45,943.76,933.92,940.08,940.08,"1,400,900"
"August 8, 2017",944.29,952.49,942.48,944.19,944.19,"1,505,100"
"August 7, 2017",947.52,948.96,943.5,945.75,945.75,"1,445,800"
"August 4, 2017",943.95,947.54,939.8,945.79,945.79,"1,254,600"
"August 3, 2017",949.1,950,939.44,940.3,940.3,"1,123,900"
"August 2, 2017",948.37,949.1,932.52,947.64,947.64,"2,039,400"
"August 1, 2017",947.81,954.49,944.96,946.56,946.56,"1,402,600"
"July 31, 2017",960,961.19,941.73,945.5,945.5,"2,283,500"
"July 28, 2017",947.99,961.79,945.31,958.33,958.33,"1,813,800"
"July 27, 2017",969.18,969.52,937.06,952.51,952.51,"3,717,900"
"July 26, 2017",972.78,973.95,960.23,965.31,965.31,"2,221,600"
"July 25, 2017",970.7,976.73,963.8,969.03,969.03,"5,933,600"
"July 24, 2017",994.1,"1,006.19",990.27,998.31,998.31,"3,984,500"
"July 21, 2017",989,995.11,984.17,993.84,993.84,"1,463,300"
"July 20, 2017",997,998.68,984.62,992.19,992.19,"1,418,400"
"July 19, 2017",990.01,995.6,987.01,992.77,992.77,"1,412,100"
"July 18, 2017",973.36,990.85,972.04,986.95,986.95,"1,413,300"
"July 17, 2017",976.32,983.35,970.8,975.96,975.96,"1,660,500"
"July 14, 2017",974,977.54,970.15,976.91,976.91,"1,079,600"
"July 13, 2017",970.8,978.7,964.8,968.85,968.85,"1,524,600"
"July 12, 2017",960.86,969.63,957.04,967.66,967.66,"1,602,100"
"July 11, 2017",950.52,954.89,945.12,953.53,953.53,"1,461,200"
"July 10, 2017",941.95,953.13,941.95,951,951,"1,451,500"
"July 7, 2017",930.99,944.66,929.79,940.81,940.81,"1,663,300"
"July 6, 2017",925,936.14,919.85,927.69,927.69,"2,014,900"
"July 5, 2017",924.2,936.29,918.63,932.26,932.26,"2,094,100"
"July 3, 2017",933.22,934.24,915.31,919.46,919.46,"1,694,800"
"June 30, 2017",943.99,945,929.61,929.68,929.68,"2,287,700"
"June 29, 2017",951.35,951.66,929.6,937.82,937.82,"3,206,700"
"June 28, 2017",950.66,963.24,936.16,961.01,961.01,"2,745,600"
"June 27, 2017",961.6,967.22,947.09,948.09,948.09,"2,443,600"
"June 26, 2017",990,993.99,970.33,972.09,972.09,"1,517,900"
"June 23, 2017",975.5,986.62,974.46,986.09,986.09,"1,564,000"
"June 22, 2017",976.87,980.5,973.31,976.62,976.62,"1,009,500"
"June 21, 2017",970.79,979.55,969.45,978.59,978.59,"1,161,600"
"June 20, 2017",975.31,980.79,968.2,968.99,968.99,"1,297,300"
"June 19, 2017",969.65,979.3,968.2,975.22,975.22,"1,468,800"
"June 16, 2017",957.91,959.95,948.7,958.62,958.62,"2,559,200"
"June 15, 2017",948.02,960.68,940.37,960.18,960.18,"2,427,600"
"June 14, 2017",975.5,979.7,959.51,967.93,967.93,"1,505,500"
"June 13, 2017",972.04,977.91,962.01,970.5,970.5,"2,005,400"
"June 12, 2017",958.72,968,936.8,961.81,961.81,"4,202,100"
"June 9, 2017","1,005.49","1,005.50",953.37,970.12,970.12,"3,647,900"
"June 8, 2017","1,004.23","1,005.60",996.62,"1,004.28","1,004.28","1,679,900"
"June 7, 2017",999.09,"1,003.91",995.87,"1,001.50","1,001.50","1,374,100"
"June 6, 2017","1,003.31","1,008.61",994.8,996.68,996.68,"1,552,100"
"June 5, 2017",997.89,"1,007.40",995.45,"1,003.88","1,003.88","1,378,900"
"June 2, 2017",988.59,996.48,987.07,996.12,996.12,"1,735,500"
"June 1, 2017",990.96,993.14,981.29,988.29,988.29,"1,306,400"
"May 31, 2017",996.21,999.6,981.68,987.09,987.09,"1,724,100"
"May 30, 2017",992.5,997.62,991.36,996.17,996.17,"1,516,200"
"May 26, 2017",992,996.39,987.36,993.27,993.27,"1,636,400"
"May 25, 2017",979,995.78,977.82,991.86,991.86,"1,954,100"
"May 24, 2017",975.26,978.12,971.63,977.61,977.61,"1,133,000"
"May 23, 2017",969.96,974.51,964.5,970.55,970.55,"1,545,400"
"May 22, 2017",957,964.82,956.56,964.07,964.07,"1,387,400"
"May 19, 2017",952.82,959.56,952,954.65,954.65,"1,360,300"
"May 18, 2017",943.2,954.18,941.27,950.5,950.5,"1,800,500"
"May 17, 2017",959.7,960.99,940.06,942.17,942.17,"2,449,100"
"May 16, 2017",963.55,965.9,960.35,964.61,964.61,"1,101,500"
"May 15, 2017",955.29,962.7,952.82,959.22,959.22,"1,337,700"
"May 12, 2017",957.85,957.98,952.06,955.14,955.14,"1,214,900"
