Date,Value
1975-01-31,35.453384456
1975-02-28,35.66668617
1975-03-31,35.915007469
1975-04-30,36.216013652
1975-05-31,36.494629999
1975-06-30,36.634852546
1975-07-31,36.574283992
1975-08-31,36.355267074
1975-09-30,36.107410441
1975-10-31,35.991609778
1975-11-30,36.095651418
1975-12-31,36.435523672
1976-01-31,36.978829709
1976-02-29,37.597954636
1976-03-31,38.124588535
1976-04-30,38.456250337
1976-05-31,38.614077586
1976-06-30,38.682491939
1976-07-31,38.751360801
1976-08-31,38.820407913
1976-09-30,38.864599501
1976-10-31,38.927182681
1976-11-30,39.070732888
1976-12-31,39.233850599
1977-01-31,39.324173072
1977-02-28,39.370141554
1977-03-31,39.4360325
1977-04-30,39.624060266
1977-05-31,39.951458893
1977-06-30,40.371169435
1977-07-31,40.878796291
1977-08-31,41.409173373
1977-09-30,41.896379498
1977-10-31,42.331362085
1977-11-30,42.637401114
1977-12-31,42.74336808
1978-01-31,42.73862362
1978-02-28,42.764926009
1978-03-31,42.95654771
1978-04-30,43.392233643
1978-05-31,43.948462046
1978-06-30,44.514451966
1978-07-31,45.1471439
1978-08-31,45.823980509
1978-09-30,46.380930147
1978-10-31,46.72230637
1978-11-30,46.959302887
1978-12-31,47.196175891
1979-01-31,47.428883204
1979-02-28,47.67493972
1979-03-31,47.971194004
1979-04-30,48.333844724
1979-05-31,48.758572742
1979-06-30,49.19976437
1979-07-31,49.585211362
1979-08-31,49.933276163
1979-09-30,50.250867085
1979-10-31,50.472335254
1979-11-30,50.586384295
1979-12-31,50.621743753
1980-01-31,50.632699577
1980-02-29,50.683432386
1980-03-31,50.772062462
1980-04-30,50.827945633
1980-05-31,50.891929675
1980-06-30,51.153589389
1980-07-31,51.674204758
1980-08-31,52.294432288
1980-09-30,52.739911073
1980-10-31,52.787493321
1980-11-30,52.424709718
1980-12-31,51.806356661
1981-01-31,51.127721803
1981-02-28,50.620185375
1981-03-31,50.492685208
1981-04-30,50.78077641
1981-05-31,51.384117701
1981-06-30,52.107993025
1981-07-31,52.773944037
1981-08-31,53.260747624
1981-09-30,53.434974379
1981-10-31,53.25474705
1981-11-30,52.814725189
1981-12-31,52.337337357
1982-01-31,52.080318483
1982-02-28,52.150028757
1982-03-31,52.414894819
1982-04-30,52.696065832
1982-05-31,52.942732362
1982-06-30,53.16735077
1982-07-31,53.33880271
1982-08-31,53.39182433
1982-09-30,53.382720648
1982-10-31,53.449462919
1982-11-30,53.616328441
1982-12-31,53.803261878
1983-01-31,53.960973227
1983-02-28,54.106619746
1983-03-31,54.258688835
1983-04-30,54.455092722
1983-05-31,54.74302158
1983-06-30,55.125203146
1983-07-31,55.571867505
1983-08-31,55.985927709
1983-09-30,56.281739574
1983-10-31,56.524131326
1983-11-30,56.848300966
1983-12-31,57.29380085
1984-01-31,57.762819085
1984-02-29,58.131131123
1984-03-31,58.410139383
1984-04-30,58.713497411
1984-05-31,59.029398294
1984-06-30,59.273002336
1984-07-31,59.370085998
1984-08-31,59.20809114
1984-09-30,58.747943207
1984-10-31,58.073938344
1984-11-30,57.40165076
1984-12-31,57.02221655
1985-01-31,57.354780081
1985-02-28,58.273030318
1985-03-31,59.040334552
1985-04-30,59.42782319
1985-05-31,59.757068213
1985-06-30,60.223417936
1985-07-31,60.675983949
1985-08-31,60.906278616
1985-09-30,60.918779468
1985-10-31,61.039763023
1985-11-30,61.3259858
1985-12-31,61.527793691
1986-01-31,61.623347288
1986-02-28,61.862017068
1986-03-31,62.372526599
1986-04-30,62.8433291
1986-05-31,63.025552899
1986-06-30,63.013353533
1986-07-31,63.317216601
1986-08-31,63.873351053
1986-09-30,64.12446238
1986-10-31,64.215117333
1986-11-30,64.40155942
1986-12-31,64.65572562
1987-01-31,64.873530597
1987-02-28,65.096905235
1987-03-31,65.391104945
1987-04-30,65.646533182
1987-05-31,65.822291328
1987-06-30,65.960876112
1987-07-31,66.038736018
1987-08-31,66.020235837
1987-09-30,65.87096134
1987-10-31,65.720472825
1987-11-30,65.730006603
1987-12-31,65.876669433
1988-01-31,66.116749796
1988-02-29,66.414575948
1988-03-31,66.750093407
1988-04-30,67.070835538
1988-05-31,67.415286498
1988-06-30,67.724293117
1988-07-31,67.749950073
1988-08-31,67.424159337
1988-09-30,66.95738964
1988-10-31,66.651304201
1988-11-30,66.577101665
1988-12-31,66.699608248
1989-01-31,66.971037401
1989-02-28,67.329910285
1989-03-31,67.74790296
1989-04-30,68.116191665
1989-05-31,68.32437019
1989-06-30,68.419042292
1989-07-31,68.577402003
1989-08-31,68.883887988
1989-09-30,69.208843504
1989-10-31,69.472172554
1989-11-30,69.675681508
1989-12-31,69.733327468
1990-01-31,69.66755077
