Date,Value
1975-01-31,15.696667272
1975-02-28,15.747528391
1975-03-31,15.936916269
1975-04-30,16.249400236
1975-05-31,16.50973769
1975-06-30,16.625953673
1975-07-31,16.750543463
1975-08-31,16.974333346
1975-09-30,17.21634929
1975-10-31,17.432254672
1975-11-30,17.576145206
1975-12-31,17.699160642
1976-01-31,17.880677226
1976-02-29,18.095020692
1976-03-31,18.363834587
1976-04-30,18.657620878
1976-05-31,18.880865598
1976-06-30,19.109120432
1976-07-31,19.407544023
1976-08-31,19.70886762
1976-09-30,19.987500185
1976-10-31,20.279427575
1976-11-30,20.637095939
1976-12-31,20.994290244
1977-01-31,21.359734658
1977-02-28,21.834891295
1977-03-31,22.417218807
1977-04-30,22.995164473
1977-05-31,23.589262071
1977-06-30,24.185938758
1977-07-31,24.691381423
1977-08-31,25.21226982
1977-09-30,25.622813124
1977-10-31,25.912766712
1977-11-30,26.204886036
1977-12-31,26.464460249
1978-01-31,26.761964848
1978-02-28,27.054182956
1978-03-31,27.327215024
1978-04-30,27.682007233
1978-05-31,28.128495959
1978-06-30,28.529220272
1978-07-31,28.876416858
1978-08-31,29.239543489
1978-09-30,29.617061538
1978-10-31,30.047745223
1978-11-30,30.378168605
1978-12-31,30.576942011
1979-01-31,30.813134206
1979-02-28,31.170353388
1979-03-31,31.667365728
1979-04-30,32.265439255
1979-05-31,32.905631021
1979-06-30,33.465782015
1979-07-31,33.936656454
1979-08-31,34.526984576
1979-09-30,35.14262276
1979-10-31,35.566899037
1979-11-30,35.902301663
1979-12-31,36.204744706
1980-01-31,36.511464642
1980-02-29,36.905405178
1980-03-31,37.388035819
1980-04-30,37.807971979
1980-05-31,38.068690794
1980-06-30,38.364975571
1980-07-31,38.844954082
1980-08-31,39.368055696
1980-09-30,39.6843341
1980-10-31,39.71888066
1980-11-30,39.60225675
1980-12-31,39.782510051
1981-01-31,40.265663208
1981-02-28,40.663074605
1981-03-31,40.951273926
1981-04-30,41.215512179
1981-05-31,41.638408462
1981-06-30,42.195772613
1981-07-31,42.582827399
1981-08-31,42.771061794
1981-09-30,42.961588973
1981-10-31,43.088006195
1981-11-30,42.991694777
1981-12-31,42.795400736
1982-01-31,42.718137739
1982-02-28,42.784347109
1982-03-31,42.940497682
1982-04-30,43.134401614
1982-05-31,43.158986102
1982-06-30,42.8656585
1982-07-31,42.464561542
1982-08-31,42.2690931
1982-09-30,42.300464185
1982-10-31,42.403681073
1982-11-30,42.572460547
1982-12-31,42.745772956
1983-01-31,42.808163546
1983-02-28,42.828741885
1983-03-31,42.904218929
1983-04-30,43.059477156
1983-05-31,43.20464985
1983-06-30,43.331249118
1983-07-31,43.487456829
1983-08-31,43.551243721
1983-09-30,43.530756084
1983-10-31,43.530462626
1983-11-30,43.543802133
1983-12-31,43.599920737
1984-01-31,43.723702813
1984-02-29,43.859579484
1984-03-31,44.015059625
1984-04-30,44.210920411
1984-05-31,44.360609268
1984-06-30,44.43773241
1984-07-31,44.506130395
1984-08-31,44.626469419
1984-09-30,44.79757805
1984-10-31,44.933418345
1984-11-30,44.997146979
1984-12-31,45.072272569
1985-01-31,45.220982663
1985-02-28,45.429116219
1985-03-31,45.644019009
1985-04-30,45.78272429
1985-05-31,45.952158923
1985-06-30,46.324704914
1985-07-31,46.741178221
1985-08-31,47.060861293
1985-09-30,47.28269462
1985-10-31,47.351865721
1985-11-30,47.367104619
1985-12-31,47.437209377
1986-01-31,47.542151747
1986-02-28,47.812354785
1986-03-31,48.189788839
1986-04-30,48.515118907
1986-05-31,48.880164041
1986-06-30,49.372698246
1986-07-31,49.791141192
1986-08-31,50.053189401
1986-09-30,50.209090909
1986-10-31,50.499451899
1986-11-30,50.895090794
1986-12-31,51.139030692
1987-01-31,51.429545515
1987-02-28,51.748203502
1987-03-31,52.186150246
1987-04-30,52.710710255
1987-05-31,53.194770874
1987-06-30,53.747366223
1987-07-31,54.199991132
1987-08-31,54.64140024
1987-09-30,55.194892944
1987-10-31,55.676987874
1987-11-30,56.084597549
1987-12-31,56.524206199
1988-01-31,57.015287681
1988-02-29,57.565258252
1988-03-31,58.267342563
1988-04-30,59.080461797
1988-05-31,59.955850715
1988-06-30,60.95135557
1988-07-31,61.972484299
1988-08-31,62.951734271
