Date,Value
1975-01-31,24.493861223
1975-02-28,25.032651409
1975-03-31,25.440129386
1975-04-30,25.669264887
1975-05-31,25.738777771
1975-06-30,25.704587872
1975-07-31,25.653661199
1975-08-31,25.634209573
1975-09-30,25.658333185
1975-10-31,25.734994658
1975-11-30,25.905825514
1975-12-31,26.135594287
1976-01-31,26.342345521
1976-02-29,26.490259027
1976-03-31,26.58439873
1976-04-30,26.656375275
1976-05-31,26.73463805
1976-06-30,26.854999961
1976-07-31,27.025474545
1976-08-31,27.166349738
1976-09-30,27.239081202
1976-10-31,27.324569285
1976-11-30,27.393189667
1976-12-31,27.354598208
1977-01-31,27.275330203
1977-02-28,27.246175104
1977-03-31,27.324545408
1977-04-30,27.621352582
1977-05-31,28.112667381
1977-06-30,28.656179981
1977-07-31,29.243908575
1977-08-31,29.813948789
1977-09-30,30.182556473
1977-10-31,30.314996711
1977-11-30,30.364096881
1977-12-31,30.469234625
1978-01-31,30.625970328
1978-02-28,30.878341608
1978-03-31,31.307462069
1978-04-30,31.841788592
1978-05-31,32.353349145
1978-06-30,32.844495325
1978-07-31,33.345736463
1978-08-31,33.783753496
1978-09-30,34.116956902
1978-10-31,34.432359864
1978-11-30,34.858200874
1978-12-31,35.329165206
1979-01-31,35.688042095
1979-02-28,35.887116953
1979-03-31,36.079595757
1979-04-30,36.471419475
1979-05-31,37.038179525
1979-06-30,37.646391237
1979-07-31,38.159215592
1979-08-31,38.518442037
1979-09-30,38.790631402
1979-10-31,38.973294484
1979-11-30,38.919688679
1979-12-31,38.675970545
1980-01-31,38.473312769
1980-02-29,38.398116185
1980-03-31,38.448439814
1980-04-30,38.615222547
1980-05-31,38.825922902
1980-06-30,38.997368011
1980-07-31,39.144956078
1980-08-31,39.27143028
1980-09-30,39.324954857
1980-10-31,39.340149542
1980-11-30,39.398981446
1980-12-31,39.549493595
1981-01-31,39.773087036
1981-02-28,40.049945802
1981-03-31,40.412712231
1981-04-30,40.866174938
1981-05-31,41.396234101
1981-06-30,41.978093642
1981-07-31,42.505320321
1981-08-31,42.822479247
1981-09-30,42.869913741
1981-10-31,42.731591701
1981-11-30,42.516925932
1981-12-31,42.291833073
1982-01-31,42.10786735
1982-02-28,41.985697547
1982-03-31,41.90344367
1982-04-30,41.836546692
1982-05-31,41.801957572
1982-06-30,41.831423464
1982-07-31,41.90980683
1982-08-31,42.000684783
1982-09-30,42.091984831
1982-10-31,42.176901427
1982-11-30,42.257518067
1982-12-31,42.385092019
1983-01-31,42.619245428
1983-02-28,42.944234349
1983-03-31,43.281734529
1983-04-30,43.568923905
1983-05-31,43.847540813
1983-06-30,44.208214366
1983-07-31,44.716419112
1983-08-31,45.3273602
1983-09-30,45.869577596
1983-10-31,46.241318139
1983-11-30,46.47473577
1983-12-31,46.691954643
1984-01-31,46.980400147
1984-02-29,47.375704075
1984-03-31,47.934955538
1984-04-30,48.65435217
1984-05-31,49.441499659
1984-06-30,50.188207263
1984-07-31,50.800470997
1984-08-31,51.200431944
1984-09-30,51.412614668
1984-10-31,51.586982444
1984-11-30,51.928957448
1984-12-31,52.580765975
1985-01-31,53.365912931
1985-02-28,54.102320214
1985-03-31,54.90558118
1985-04-30,55.806143011
1985-05-31,56.70851084
1985-06-30,57.557493936
1985-07-31,58.387470563
1985-08-31,59.266254523
1985-09-30,60.234032686
1985-10-31,61.193829987
1985-11-30,61.967140202
1985-12-31,62.597072032
1986-01-31,63.320468735
1986-02-28,64.392289006
1986-03-31,65.855871067
1986-04-30,67.49912737
1986-05-31,69.200464473
1986-06-30,71.084968811
1986-07-31,73.136289657
1986-08-31,75.208400291
1986-09-30,77.206943862
1986-10-31,79.010794714
1986-11-30,80.576577179
1986-12-31,81.83379251
1987-01-31,82.831185593
1987-02-28,83.88371955
1987-03-31,85.247524994
1987-04-30,87.190655217
1987-05-31,89.421081283
1987-06-30,91.347154942
1987-07-31,92.94881449
1987-08-31,94.217046386
1987-09-30,95.050183231
1987-10-31,95.586547352
1987-11-30,95.852859303
1987-12-31,95.870403723
1988-01-31,95.996033664
1988-02-29,96.46613863
1988-03-31,97.329046539
1988-04-30,98.379428622
1988-05-31,99.199936203
1988-06-30,99.495651801
1988-07-31,99.377137421
1988-08-31,99.024657665
1988-09-30,98.67618774
1988-10-31,98.327226122
1988-11-30,97.845374622
1988-12-31,97.38392049
1989-01-31,97.127078378
1989-02-28,97.277031668
1989-03-31,97.605532253
