Date,Value
1975-01-31,27.256874272
1975-02-28,27.249036119
1975-03-31,27.272793953
1975-04-30,27.372090226
1975-05-31,27.575029305
1975-06-30,27.831924581
1975-07-31,28.067595025
1975-08-31,28.270962819
1975-09-30,28.441905815
1975-10-31,28.557490432
1975-11-30,28.63212631
1975-12-31,28.689277679
1976-01-31,28.718472941
1976-02-29,28.720165711
1976-03-31,28.727504356
1976-04-30,28.79101129
1976-05-31,28.885534877
1976-06-30,28.940313425
1976-07-31,28.944659451
1976-08-31,28.919843535
1976-09-30,28.893142807
1976-10-31,28.909224508
1976-11-30,29.007427874
1976-12-31,29.182626048
1977-01-31,29.402921168
1977-02-28,29.620419361
1977-03-31,29.773347362
1977-04-30,29.833275904
1977-05-31,29.825291128
1977-06-30,29.812206763
1977-07-31,29.886479592
1977-08-31,30.080805199
1977-09-30,30.368203112
1977-10-31,30.719769839
1977-11-30,31.075412193
1977-12-31,31.371302316
1978-01-31,31.560537834
1978-02-28,31.643402255
1978-03-31,31.656313452
1978-04-30,31.654233609
1978-05-31,31.698983168
1978-06-30,31.767974725
1978-07-31,31.806046387
1978-08-31,31.834413015
1978-09-30,31.914045489
1978-10-31,32.05552767
1978-11-30,32.216990371
1978-12-31,32.353710424
1979-01-31,32.44833704
1979-02-28,32.546378228
1979-03-31,32.734850097
1979-04-30,33.064018151
1979-05-31,33.520866947
1979-06-30,34.058750996
1979-07-31,34.589071862
1979-08-31,35.072624274
1979-09-30,35.492874963
1979-10-31,35.827795218
1979-11-30,36.150700067
1979-12-31,36.539172752
1980-01-31,37.010450888
1980-02-29,37.557331698
1980-03-31,38.167682104
1980-04-30,38.809798624
1980-05-31,39.440036484
1980-06-30,40.016475801
1980-07-31,40.479332557
1980-08-31,40.772444952
1980-09-30,40.889312863
1980-10-31,40.888559912
1980-11-30,40.824597742
1980-12-31,40.718366764
1981-01-31,40.621672314
1981-02-28,40.611273407
1981-03-31,40.717675169
1981-04-30,40.893906755
1981-05-31,41.063742029
1981-06-30,41.140104038
1981-07-31,41.050994237
1981-08-31,40.808445362
1981-09-30,40.511067977
1981-10-31,40.318545038
1981-11-30,40.342683947
1981-12-31,40.5282954
1982-01-31,40.766590809
1982-02-28,41.00839858
1982-03-31,41.233610819
1982-04-30,41.421617291
1982-05-31,41.565189046
1982-06-30,41.678555291
1982-07-31,41.797959888
1982-08-31,41.963799498
1982-09-30,42.17447478
1982-10-31,42.423210647
1982-11-30,42.712041853
1982-12-31,43.002933229
1983-01-31,43.248848108
1983-02-28,43.453089846
1983-03-31,43.662853803
1983-04-30,43.926307131
1983-05-31,44.272345671
1983-06-30,44.62779833
1983-07-31,44.8962403
1983-08-31,45.100709359
1983-09-30,45.320683376
1983-10-31,45.598953845
1983-11-30,45.883358095
1983-12-31,46.111309618
1984-01-31,46.320418658
1984-02-29,46.56936272
1984-03-31,46.850408726
1984-04-30,47.14957363
1984-05-31,47.490848501
1984-06-30,47.883603954
1984-07-31,48.259134042
1984-08-31,48.551045755
1984-09-30,48.763584187
1984-10-31,48.926439977
1984-11-30,49.088427172
1984-12-31,49.33400052
1985-01-31,49.749017008
1985-02-28,50.301451647
1985-03-31,50.861351129
1985-04-30,51.355741043
1985-05-31,51.802542417
1985-06-30,52.159088451
1985-07-31,52.350394441
1985-08-31,52.492791902
1985-09-30,52.731721172
1985-10-31,53.095670587
1985-11-30,53.602788442
1985-12-31,54.181415457
1986-01-31,54.731074086
1986-02-28,55.257799301
1986-03-31,55.757806162
1986-04-30,56.28609695
1986-05-31,56.935710959
1986-06-30,57.671278635
1986-07-31,58.44657159
1986-08-31,59.218386236
1986-09-30,59.800935345
1986-10-31,60.255651312
1986-11-30,60.851861417
1986-12-31,61.592667827
1987-01-31,62.294404368
1987-02-28,62.777483066
1987-03-31,63.081475422
1987-04-30,63.435599082
1987-05-31,64.042890044
1987-06-30,64.919661246
1987-07-31,65.904027168
1987-08-31,66.831083927
1987-09-30,67.543087929
1987-10-31,68.057036473
1987-11-30,68.510050662
1987-12-31,68.918243998
1988-01-31,69.339897557
1988-02-29,69.793431049
1988-03-31,70.307774187
1988-04-30,70.912592774
1988-05-31,71.554126983
1988-06-30,72.245209939
1988-07-31,73.013298063
1988-08-31,73.751274993
