Date,Value
1975-01-31,30.746129653
1975-02-28,30.471590247
1975-03-31,30.358693776
1975-04-30,30.421525013
1975-05-31,30.530216209
1975-06-30,30.561757138
1975-07-31,30.461845516
1975-08-31,30.219990312
1975-09-30,29.872967456
1975-10-31,29.587931174
1975-11-30,29.500461864
1975-12-31,29.556918819
1976-01-31,29.646578709
1976-02-29,29.668914748
1976-03-31,29.632195396
1976-04-30,29.671057633
1976-05-31,29.878038675
1976-06-30,30.283138408
1976-07-31,30.734291291
1976-08-31,30.973968125
1976-09-30,31.028048419
1976-10-31,30.981487533
1976-11-30,30.881753407
1976-12-31,30.811641018
1977-01-31,30.784891482
1977-02-28,30.82232845
1977-03-31,30.925927713
1977-04-30,31.088211613
1977-05-31,31.285932453
1977-06-30,31.499935543
1977-07-31,31.708906709
1977-08-31,31.829262144
1977-09-30,31.892880111
1977-10-31,32.046296737
1977-11-30,32.246751461
1977-12-31,32.438207982
1978-01-31,32.677013594
1978-02-28,32.909560237
1978-03-31,33.052004963
1978-04-30,33.120110325
1978-05-31,33.286615097
1978-06-30,33.729834098
1978-07-31,34.32892968
1978-08-31,34.818807546
1978-09-30,35.079687476
1978-10-31,35.138681662
1978-11-30,35.211602895
1978-12-31,35.485873389
1979-01-31,35.917675089
1979-02-28,36.353740755
1979-03-31,36.745694477
1979-04-30,37.060613814
1979-05-31,37.303604853
1979-06-30,37.558733071
1979-07-31,37.859456581
1979-08-31,38.206143189
1979-09-30,38.593196128
1979-10-31,39.053010606
1979-11-30,39.578935413
1979-12-31,40.079971263
1980-01-31,40.461099366
1980-02-29,40.793128007
1980-03-31,41.121718008
1980-04-30,41.442104804
1980-05-31,41.765929811
1980-06-30,42.081114528
1980-07-31,42.340919707
1980-08-31,42.522719488
1980-09-30,42.711831409
1980-10-31,42.941596826
1980-11-30,43.170511184
1980-12-31,43.371600786
1981-01-31,43.588541642
1981-02-28,43.894912388
1981-03-31,44.252283001
1981-04-30,44.51301434
1981-05-31,44.611879508
1981-06-30,44.655202069
1981-07-31,44.796736529
1981-08-31,45.116640273
1981-09-30,45.576196191
1981-10-31,46.049502227
1981-11-30,46.419790569
1981-12-31,46.649840671
1982-01-31,46.826240809
1982-02-28,47.091130708
1982-03-31,47.486028469
1982-04-30,47.886771463
1982-05-31,48.092964567
1982-06-30,48.015583061
1982-07-31,47.742090268
1982-08-31,47.407891571
1982-09-30,47.1988264
1982-10-31,47.278997483
1982-11-30,47.61165493
1982-12-31,48.019355707
1983-01-31,48.392733982
1983-02-28,48.712823132
1983-03-31,48.897045561
1983-04-30,48.96210736
1983-05-31,49.097701785
1983-06-30,49.306754977
1983-07-31,49.526348685
1983-08-31,49.864165512
1983-09-30,50.238724025
1983-10-31,50.465785861
1983-11-30,50.587295167
1983-12-31,50.709945403
1984-01-31,50.934820065
1984-02-29,51.257230815
1984-03-31,51.551234339
1984-04-30,51.767308531
1984-05-31,51.950420851
1984-06-30,52.075709392
1984-07-31,52.26127515
1984-08-31,52.699596374
1984-09-30,53.185446058
1984-10-31,53.417992804
1984-11-30,53.496543753
1984-12-31,53.641051892
1985-01-31,53.84066129
1985-02-28,53.778053302
1985-03-31,53.103967932
1985-04-30,52.748424888
1985-05-31,53.58228957
1985-06-30,54.729604238
1985-07-31,55.569081944
1985-08-31,56.128990342
1985-09-30,56.455174131
1985-10-31,56.642204087
1985-11-30,56.701698288
1985-12-31,56.857777665
1986-01-31,57.065067339
1986-02-28,57.190109975
1986-03-31,57.388659455
1986-04-30,57.785133834
1986-05-31,58.225965908
1986-06-30,58.629037124
1986-07-31,58.946208353
1986-08-31,58.939804401
1986-09-30,58.966465629
1986-10-31,59.276715072
1986-11-30,59.649460031
1986-12-31,59.948125872
1987-01-31,60.185972072
1987-02-28,60.542268624
1987-03-31,61.027593454
1987-04-30,61.346728158
1987-05-31,61.516118896
1987-06-30,61.904630657
1987-07-31,62.310977397
1987-08-31,62.403128036
1987-09-30,62.355386941
1987-10-31,62.47143127
1987-11-30,62.671291309
1987-12-31,62.78070497
1988-01-31,62.918201421
1988-02-29,63.271616263
1988-03-31,63.76683943
1988-04-30,64.156032069
1988-05-31,64.414919103
1988-06-30,64.595272278
1988-07-31,64.644800372
1988-08-31,64.659240707
1988-09-30,64.725282312
1988-10-31,64.681517193
1988-11-30,64.616771641
1988-12-31,64.823875797
1989-01-31,65.103645189
1989-02-28,65.223945313
1989-03-31,65.269183933
1989-04-30,65.323979616
1989-05-31,65.493418158
1989-06-30,65.768675785
1989-07-31,66.014693736
1989-08-31,66.227145501
1989-09-30,66.498979085
1989-10-31,66.701065725
1989-11-30,66.719173732
1989-12-31,66.748352659
1990-01-31,66.785459189
1990-02-28,66.638594142
1990-03-31,66.419763241
1990-04-30,66.359473131
1990-05-31,66.465809944
1990-06-30,66.569074586
1990-07-31,66.633760641
1990-08-31,66.667758443
1990-09-30,66.545817661
1990-10-31,66.275696743
1990-11-30,66.121477297
1990-12-31,66.177530321
1991-01-31,66.250075523
1991-02-28,66.268744428
1991-03-31,66.310392214
1991-04-30,66.363269603
1991-05-31,66.418144403
1991-06-30,66.444760831
1991-07-31,66.340928918
1991-08-31,66.168660656
1991-09-30,66.077220021
1991-10-31,66.082009373
1991-11-30,66.192061037
1991-12-31,66.523569985
1992-01-31,66.886209354
1992-02-29,66.901120637
1992-03-31,66.661360321
1992-04-30,66.546641969
1992-05-31,66.667485614
1992-06-30,66.918872829
1992-07-31,67.221855683
1992-08-31,67.558149044
1992-09-30,67.869225277
1992-10-31,67.983582015
1992-11-30,67.801081423
1992-12-31,67.556345986
1993-01-31,67.409146075
1993-02-28,67.500770479
1993-03-31,67.918607881
1993-04-30,68.42437084
1993-05-31,68.822086433
1993-06-30,69.076518372
1993-07-31,69.006793263
1993-08-31,69.044612604
1993-09-30,69.294551917
1993-10-31,69.329097202
1993-11-30,69.486861676
1993-12-31,69.617839837
1994-01-31,69.473239234
1994-02-28,69.475811275
1994-03-31,69.869320816
1994-04-30,70.409360661
1994-05-31,71.030708356
1994-06-30,71.538799486
1994-07-31,71.701201977
1994-08-31,71.766158872
1994-09-30,71.926657794
1994-10-31,72.148651336
1994-11-30,72.300876503
1994-12-31,72.401785442
1995-01-31,72.51062086
1995-02-28,72.595123327
1995-03-31,72.777636576
1995-04-30,73.180863972
1995-05-31,73.527385188
1995-06-30,73.788592221
1995-07-31,74.162294884
1995-08-31,74.483422314
1995-09-30,74.730650285
1995-10-31,75.022797229
1995-11-30,75.365473471
1995-12-31,75.598490627
1996-01-31,75.57945247
1996-02-29,75.66422814
1996-03-31,76.111254979
1996-04-30,76.647303621
