Date,Value
1975-01-31,26.756033328
1975-02-28,26.693575121
1975-03-31,26.679099236
1975-04-30,26.736814023
1975-05-31,26.859445512
1975-06-30,27.008995204
1975-07-31,27.140442008
1975-08-31,27.226336157
1975-09-30,27.278777577
1975-10-31,27.312850128
1975-11-30,27.318082662
1975-12-31,27.293144803
1976-01-31,27.270362038
1976-02-29,27.267345112
1976-03-31,27.259348097
1976-04-30,27.238018331
1976-05-31,27.22200708
1976-06-30,27.254297843
1976-07-31,27.395973031
1976-08-31,27.638238106
1976-09-30,27.896142653
1976-10-31,28.08260337
1976-11-30,28.156089442
1976-12-31,28.144343778
1977-01-31,28.083603793
1977-02-28,27.981915804
1977-03-31,27.884837072
1977-04-30,27.87599871
1977-05-31,27.993895769
1977-06-30,28.195703402
1977-07-31,28.442723823
1977-08-31,28.725635377
1977-09-30,29.034527707
1977-10-31,29.38216856
1977-11-30,29.798523814
1977-12-31,30.290030262
1978-01-31,30.777091643
1978-02-28,31.136693427
1978-03-31,31.344911253
1978-04-30,31.490454562
1978-05-31,31.699053782
1978-06-30,32.00898135
1978-07-31,32.403772754
1978-08-31,32.913933237
1978-09-30,33.598125537
1978-10-31,34.429221697
1978-11-30,35.228545964
1978-12-31,35.959786398
1979-01-31,36.766453073
1979-02-28,37.710613957
1979-03-31,38.733143648
1979-04-30,39.749219833
1979-05-31,40.736477591
1979-06-30,41.603623417
1979-07-31,42.266688917
1979-08-31,42.889638
1979-09-30,43.614924511
1979-10-31,44.368692901
1979-11-30,45.096426643
1979-12-31,45.809830968
1980-01-31,46.489325179
1980-02-29,47.115203459
1980-03-31,47.710116655
1980-04-30,48.291875139
1980-05-31,48.847713878
1980-06-30,49.408183477
1980-07-31,50.014993642
1980-08-31,50.654006414
1980-09-30,51.20555165
1980-10-31,51.55054469
1980-11-30,51.660825507
1980-12-31,51.559349009
1981-01-31,51.242997005
1981-02-28,50.678225929
1981-03-31,49.80372649
1981-04-30,48.47111609
1981-05-31,46.513080317
1981-06-30,43.787409716
1981-07-31,40.380630564
1981-08-31,36.656886977
1981-09-30,33.197637362
1981-10-31,30.784702297
1981-11-30,30.372169195
1981-12-31,31.878996159
1982-01-31,34.347717791
1982-02-28,37.206898609
1982-03-31,40.048468346
1982-04-30,42.590017051
1982-05-31,44.71233655
1982-06-30,46.368564011
1982-07-31,47.546694695
1982-08-31,48.269851507
1982-09-30,48.590846699
1982-10-31,48.632502985
1982-11-30,48.571294398
1982-12-31,48.570710882
1983-01-31,48.732822226
1983-02-28,49.094063706
1983-03-31,49.652601489
1983-04-30,50.32770441
1983-05-31,50.99240181
1983-06-30,51.525402262
1983-07-31,51.848062942
1983-08-31,51.981741911
1983-09-30,51.969814163
1983-10-31,51.894441887
1983-11-30,51.872791678
1983-12-31,51.930767317
1984-01-31,52.028420427
1984-02-29,52.1216816
1984-03-31,52.171508467
1984-04-30,52.188654689
1984-05-31,52.192126919
1984-06-30,52.163202075
1984-07-31,52.098700807
1984-08-31,52.01504211
1984-09-30,51.908106361
1984-10-31,51.817411442
1984-11-30,51.860138906
1984-12-31,52.041781038
1985-01-31,52.211084551
1985-02-28,52.254899781
1985-03-31,52.174706046
1985-04-30,52.016291137
1985-05-31,51.852954145
1985-06-30,51.756140532
1985-07-31,51.790396732
1985-08-31,52.03181554
1985-09-30,52.43292201
1985-10-31,52.837652441
1985-11-30,53.167625924
1985-12-31,53.442705979
1986-01-31,53.743236707
1986-02-28,54.135067113
1986-03-31,54.525598674
1986-04-30,54.752738617
1986-05-31,54.813854751
1986-06-30,54.802451363
1986-07-31,54.768637471
1986-08-31,54.845968276
1986-09-30,55.200458351
1986-10-31,55.76146041
1986-11-30,56.297345286
1986-12-31,56.649850759
1987-01-31,56.913080735
1987-02-28,57.259373735
1987-03-31,57.648377386
1987-04-30,57.991063076
1987-05-31,58.352561326
1987-06-30,58.86667162
1987-07-31,59.4577621
1987-08-31,60.060168294
1987-09-30,60.711026968
1987-10-31,61.372776909
1987-11-30,62.001915841
1987-12-31,62.609713897
1988-01-31,63.281458595
1988-02-29,64.04326433
1988-03-31,64.92377543
1988-04-30,65.950099952
1988-05-31,67.036483552
1988-06-30,68.042614304
1988-07-31,69.046392384
1988-08-31,70.19991902
1988-09-30,71.382761085
1988-10-31,72.484055194
1988-11-30,73.607665975
1988-12-31,74.808568141
1989-01-31,76.045615076
1989-02-28,77.368296235
1989-03-31,78.863897262
1989-04-30,80.573222871
1989-05-31,82.38055355
1989-06-30,84.196038739
1989-07-31,85.991868906
1989-08-31,87.618152308
1989-09-30,88.98567512
1989-10-31,90.205642913
1989-11-30,91.520477997
1989-12-31,93.211924975
1990-01-31,95.444209926
1990-02-28,98.028174985
1990-03-31,100.73751996
1990-04-30,103.51077461
1990-05-31,106.13168581
1990-06-30,108.28238235
1990-07-31,109.87082908
1990-08-31,111.25291024
1990-09-30,112.75475866
1990-10-31,113.99371533
1990-11-30,114.57303344
1990-12-31,114.59246096
1991-01-31,114.41920759
1991-02-28,114.34840148
1991-03-31,114.42676136
1991-04-30,114.78029484
