Date,Value
1975-01-31,32.911693395
1975-02-28,33.456344718
1975-03-31,33.949626454
1975-04-30,34.334120371
1975-05-31,34.573434156
1975-06-30,34.713575914
1975-07-31,34.836154006
1975-08-31,34.940911163
1975-09-30,34.991514889
1975-10-31,35.0491796
1975-11-30,35.159749816
1975-12-31,35.329545894
1976-01-31,35.637934139
1976-02-29,36.08932366
1976-03-31,36.616144324
1976-04-30,37.16722488
1976-05-31,37.698121612
1976-06-30,38.118919948
1976-07-31,38.433041141
1976-08-31,38.749027613
1976-09-30,39.123522971
1976-10-31,39.527020533
1976-11-30,39.842119029
1976-12-31,40.069917704
1977-01-31,40.331889726
1977-02-28,40.69261975
1977-03-31,41.14232123
1977-04-30,41.648075983
1977-05-31,42.1707069
1977-06-30,42.653552913
1977-07-31,43.106340519
1977-08-31,43.569203771
1977-09-30,44.093751674
1977-10-31,44.633739566
1977-11-30,45.118956351
1977-12-31,45.511788812
1978-01-31,45.806575559
1978-02-28,46.110992906
1978-03-31,46.471377736
1978-04-30,46.92415982
1978-05-31,47.446877
1978-06-30,47.998707506
1978-07-31,48.489162915
1978-08-31,48.890132189
1978-09-30,49.317580912
1978-10-31,49.823742956
1978-11-30,50.321388917
1978-12-31,50.624645604
1979-01-31,50.737505949
1979-02-28,50.843009659
1979-03-31,51.044461479
1979-04-30,51.3334547
1979-05-31,51.756170821
1979-06-30,52.356544179
1979-07-31,52.982685353
1979-08-31,53.40615771
1979-09-30,53.572217136
1979-10-31,53.637263665
1979-11-30,53.655228814
1979-12-31,53.54673642
1980-01-31,53.344114213
1980-02-29,53.16785209
1980-03-31,53.129479438
1980-04-30,53.303046692
1980-05-31,53.644698378
1980-06-30,53.990727837
1980-07-31,54.169240506
1980-08-31,54.104775573
1980-09-30,53.907771531
1980-10-31,53.680846361
1980-11-30,53.46768721
1980-12-31,53.296714617
1981-01-31,53.136806812
1981-02-28,52.948013094
1981-03-31,52.677579896
1981-04-30,52.285123158
1981-05-31,51.813244718
1981-06-30,51.367067674
1981-07-31,51.052910395
1981-08-31,50.971534189
1981-09-30,51.116921791
1981-10-31,51.331567216
1981-11-30,51.476861936
1981-12-31,51.527494432
1982-01-31,51.526038836
1982-02-28,51.536767667
1982-03-31,51.588225835
1982-04-30,51.626372603
1982-05-31,51.53143573
1982-06-30,51.228142197
1982-07-31,50.756769856
1982-08-31,50.242742393
1982-09-30,49.832414249
1982-10-31,49.614566051
1982-11-30,49.598152246
1982-12-31,49.759143772
1983-01-31,50.063998313
1983-02-28,50.454556899
1983-03-31,50.879850839
1983-04-30,51.319830057
1983-05-31,51.746262557
1983-06-30,52.125112417
1983-07-31,52.445079518
1983-08-31,52.692580025
1983-09-30,52.784588319
1983-10-31,52.720707633
1983-11-30,52.592505811
1983-12-31,52.411334478
1984-01-31,52.183953485
1984-02-29,51.986798619
1984-03-31,51.941467036
1984-04-30,52.058629028
