Date,Value
1975-01-31,32.099485629
1975-02-28,32.049336837
1975-03-31,31.995285677
1975-04-30,31.953292903
1975-05-31,31.948418396
1975-06-30,31.970324153
1975-07-31,32.007649749
1975-08-31,32.063364322
1975-09-30,32.152891861
1975-10-31,32.358198238
1975-11-30,32.732494502
1975-12-31,33.215169614
1976-01-31,33.687622693
1976-02-29,34.048668319
1976-03-31,34.259244838
1976-04-30,34.352217442
1976-05-31,34.417605799
1976-06-30,34.488911999
1976-07-31,34.502310353
1976-08-31,34.475671526
1976-09-30,34.529186454
1976-10-31,34.748026858
1976-11-30,35.145268678
1976-12-31,35.652539595
1977-01-31,36.165979846
1977-02-28,36.604196192
1977-03-31,36.938957421
1977-04-30,37.234859253
1977-05-31,37.569934317
1977-06-30,37.930399994
1977-07-31,38.243080504
1977-08-31,38.542250187
1977-09-30,38.958142691
1977-10-31,39.558173501
1977-11-30,40.277895953
1977-12-31,41.005653673
1978-01-31,41.707808052
1978-02-28,42.371737155
1978-03-31,43.032730827
1978-04-30,43.696359155
1978-05-31,44.275815688
1978-06-30,44.741645893
1978-07-31,45.137915542
1978-08-31,45.507269579
1978-09-30,45.859735235
1978-10-31,46.191921197
1978-11-30,46.536350413
1978-12-31,46.922579259
1979-01-31,47.286917529
1979-02-28,47.558714905
1979-03-31,47.714438372
1979-04-30,47.76120657
1979-05-31,47.860567754
1979-06-30,48.212893387
1979-07-31,48.806351343
1979-08-31,49.487414006
1979-09-30,50.143092283
1979-10-31,50.706784439
1979-11-30,51.169922616
1979-12-31,51.571975508
1980-01-31,51.926763418
1980-02-29,52.222902295
1980-03-31,52.445198026
1980-04-30,52.615467933
1980-05-31,52.761328903
1980-06-30,52.892689315
1980-07-31,53.016267409
1980-08-31,53.104529292
1980-09-30,53.092487081
1980-10-31,52.991042149
1980-11-30,52.863063679
1980-12-31,52.709239271
1981-01-31,52.533062264
1981-02-28,52.367058869
1981-03-31,52.226302103
1981-04-30,52.104734754
1981-05-31,52.006713737
1981-06-30,51.95374777
1981-07-31,51.960458464
1981-08-31,52.052879199
1981-09-30,52.239627605
1981-10-31,52.479844182
1981-11-30,52.702790125
1981-12-31,52.845769684
1982-01-31,52.907015368
1982-02-28,52.947835723
1982-03-31,53.040963288
1982-04-30,53.200333048
1982-05-31,53.370685596
1982-06-30,53.515419448
1982-07-31,53.676756635
1982-08-31,53.932569853
1982-09-30,54.3020448
1982-10-31,54.714578475
1982-11-30,55.071886749
1982-12-31,55.308550678
1983-01-31,55.4402676
1983-02-28,55.525793819
1983-03-31,55.581086185
1983-04-30,55.593265978
1983-05-31,55.570232223
1983-06-30,55.557563817
1983-07-31,55.561794736
1983-08-31,55.540678561
1983-09-30,55.479012938
1983-10-31,55.420741422
1983-11-30,55.407138837
1983-12-31,55.410867222
1984-01-31,55.39071854
1984-02-29,55.337835868
1984-03-31,55.276021402
1984-04-30,55.240237892
1984-05-31,55.250040042
1984-06-30,55.337359825
1984-07-31,55.538140918
1984-08-31,55.829520146
1984-09-30,56.111180006
1984-10-31,56.230144615
1984-11-30,56.115866463
1984-12-31,55.839859396
1985-01-31,55.565419802
1985-02-28,55.457786438
1985-03-31,55.575390457
1985-04-30,55.870436677
1985-05-31,56.261656137
1985-06-30,56.653808563
1985-07-31,56.910747836
1985-08-31,56.963090703
1985-09-30,56.899268588
1985-10-31,56.857014927
1985-11-30,56.866219363
1985-12-31,56.845162032
1986-01-31,56.749255107
1986-02-28,56.640660256
1986-03-31,56.623418933
1986-04-30,56.86676054
1986-05-31,57.29480053
1986-06-30,57.578374268
1986-07-31,57.60279597
1986-08-31,57.502240663
1986-09-30,57.430888582
1986-10-31,57.365005727
1986-11-30,57.240881118
1986-12-31,57.140518923
1987-01-31,57.130337677
1987-02-28,57.152538632
1987-03-31,57.080828591
1987-04-30,56.816153796
1987-05-31,56.372930618
1987-06-30,55.820035139
1987-07-31,55.296110403
1987-08-31,54.908590813
1987-09-30,54.676474245
1987-10-31,54.568117173
1987-11-30,54.54608774
1987-12-31,54.650971172
1988-01-31,54.933054051
1988-02-29,55.347882967
1988-03-31,55.742152759
1988-04-30,55.952760658
1988-05-31,55.911760347
1988-06-30,55.717147878
1988-07-31,55.57202511
1988-08-31,55.642316478
1988-09-30,55.908282167
1988-10-31,56.21191656
1988-11-30,56.478810017
1988-12-31,56.752243115
1989-01-31,57.084566752
1989-02-28,57.428985085
1989-03-31,57.663331343
1989-04-30,57.756443995
1989-05-31,57.778546863
1989-06-30,57.816514217
1989-07-31,57.988915694
1989-08-31,58.327129443
1989-09-30,58.749366239
1989-10-31,59.13850125
1989-11-30,59.414956437
1989-12-31,59.635488838
1990-01-31,59.8521426
1990-02-28,60.089259295
1990-03-31,60.531905816
1990-04-30,61.389480966
1990-05-31,62.534060794
1990-06-30,63.591012937
1990-07-31,64.324296363
1990-08-31,64.694450039
1990-09-30,64.776675258
1990-10-31,64.735214466
1990-11-30,64.722763696
1990-12-31,64.828078423
1991-01-31,65.047816764
1991-02-28,65.316891218
1991-03-31,65.578088852
1991-04-30,65.890394061
1991-05-31,66.365813993
1991-06-30,66.912033689
1991-07-31,67.483457256
1991-08-31,68.135623986
1991-09-30,68.73538142
1991-10-31,69.135798669
1991-11-30,69.350924297
1991-12-31,69.489537841
1992-01-31,69.70794911
1992-02-29,70.122951438
1992-03-31,70.648365929
1992-04-30,71.137918923
1992-05-31,71.647071855
1992-06-30,72.237404084
1992-07-31,72.82568898
1992-08-31,73.347970042
1992-09-30,73.854507238
1992-10-31,74.369160043
1992-11-30,74.865199728
1992-12-31,75.258709276
1993-01-31,75.404331638
1993-02-28,75.419819174
1993-03-31,75.649455124
1993-04-30,76.365629723
1993-05-31,77.531187377
1993-06-30,78.7501679
1993-07-31,79.669965943
1993-08-31,80.2862398
1993-09-30,80.744890983
1993-10-31,81.072946745
1993-11-30,81.294782664
1993-12-31,81.424873014
1994-01-31,81.619723826
1994-02-28,82.095037932
1994-03-31,82.936222326
1994-04-30,84.138258312
1994-05-31,85.38321511
1994-06-30,86.244543867
1994-07-31,86.677703401
1994-08-31,86.930775663
1994-09-30,87.143002488
1994-10-31,87.397909511
1994-11-30,87.745314751
1994-12-31,88.08100673
1995-01-31,88.258137005
1995-02-28,88.348109474
1995-03-31,88.421818371
1995-04-30,88.508528348
1995-05-31,88.695785109
1995-06-30,89.022025975
1995-07-31,89.463972085
1995-08-31,89.814234744
1995-09-30,89.911411918
1995-10-31,89.900502053
1995-11-30,89.868301731
1995-12-31,89.840361
1996-01-31,89.899540686
1996-02-29,90.051511975
1996-03-31,90.301514484
1996-04-30,90.644712374
1996-05-31,91.034893243
1996-06-30,91.33792853
1996-07-31,91.495875363
1996-08-31,91.602061293
1996-09-30,91.6470516
1996-10-31,91.558794745
1996-11-30,91.416083608
1996-12-31,91.375467669
1997-01-31,91.515532491
