Date,Value
1975-01-31,33.394158287
1975-02-28,33.769883716
1975-03-31,34.185294376
1975-04-30,34.618244965
1975-05-31,35.031665169
1975-06-30,35.341603276
1975-07-31,35.534678562
1975-08-31,35.70283635
1975-09-30,35.811574253
1975-10-31,35.839621361
1975-11-30,35.915045099
1975-12-31,36.08309971
1976-01-31,36.30662645
1976-02-29,36.547749348
1976-03-31,36.805112307
1976-04-30,37.092161949
1976-05-31,37.383985897
1976-06-30,37.637130139
1976-07-31,37.797414688
1976-08-31,37.883475763
1976-09-30,38.002592162
1976-10-31,38.259396724
1976-11-30,38.655897298
1976-12-31,39.174007304
1977-01-31,39.741362949
1977-02-28,40.280747986
1977-03-31,40.760903719
1977-04-30,41.105657876
1977-05-31,41.450072329
1977-06-30,42.032873761
1977-07-31,42.780737518
1977-08-31,43.432603933
1977-09-30,43.877526932
1977-10-31,44.184187427
1977-11-30,44.473271128
1977-12-31,44.757050089
1978-01-31,45.022156901
1978-02-28,45.390876994
1978-03-31,45.940261017
1978-04-30,46.556062764
1978-05-31,47.120683662
1978-06-30,47.674223014
1978-07-31,48.285791299
1978-08-31,48.745677523
1978-09-30,48.916587871
1978-10-31,49.088283499
1978-11-30,49.418398411
1978-12-31,49.708199176
1979-01-31,49.866370407
1979-02-28,49.998909144
1979-03-31,50.265762587
1979-04-30,50.76248775
1979-05-31,51.381833505
1979-06-30,51.940892866
1979-07-31,52.3530996
1979-08-31,52.651297593
1979-09-30,52.925021149
1979-10-31,53.27906265
1979-11-30,53.695144765
1979-12-31,54.062179766
1980-01-31,54.327109494
1980-02-29,54.468303909
1980-03-31,54.448805934
1980-04-30,54.318371694
1980-05-31,54.268292941
1980-06-30,54.46295904
1980-07-31,54.905477118
1980-08-31,55.420777776
1980-09-30,55.810635941
1980-10-31,55.992072539
1980-11-30,55.958339245
1980-12-31,55.786180098
1981-01-31,55.593606336
1981-02-28,55.515726517
1981-03-31,55.679873853
1981-04-30,56.056567502
1981-05-31,56.483694498
1981-06-30,56.879232586
1981-07-31,57.276712371
1981-08-31,57.694941478
1981-09-30,58.143552215
1981-10-31,58.63919185
1981-11-30,59.0717715
1981-12-31,59.245927969
1982-01-31,59.051591662
1982-02-28,58.580994175
1982-03-31,58.029925228
1982-04-30,57.547404275
1982-05-31,57.221407817
1982-06-30,57.075195477
1982-07-31,57.127143036
1982-08-31,57.353931064
1982-09-30,57.614883874
1982-10-31,57.776538142
1982-11-30,57.822396067
1982-12-31,57.779896649
1983-01-31,57.684432025
1983-02-28,57.63852514
1983-03-31,57.747445033
1983-04-30,58.025026577
1983-05-31,58.334358157
1983-06-30,58.528715386
1983-07-31,58.582766553
1983-08-31,58.507891676
1983-09-30,58.43893908
1983-10-31,58.510810746
1983-11-30,58.682010107
1983-12-31,58.848384174
1984-01-31,58.91758047
1984-02-29,58.873644072
1984-03-31,58.824794067
1984-04-30,58.922539846
1984-05-31,59.160375855
1984-06-30,59.428629178
1984-07-31,59.60339659
1984-08-31,59.635103526
