Date,Value
1975-01-31,31.463714417
1975-02-28,31.504739861
1975-03-31,31.533589552
1975-04-30,31.603145525
1975-05-31,31.810467236
1975-06-30,32.194763848
1975-07-31,32.646939719
1975-08-31,33.011559153
1975-09-30,33.241370603
1975-10-31,33.358237603
1975-11-30,33.3637125
1975-12-31,33.317957839
1976-01-31,33.299706235
1976-02-29,33.302941984
1976-03-31,33.342763149
1976-04-30,33.463996926
1976-05-31,33.682654877
1976-06-30,33.98131386
1976-07-31,34.28678429
1976-08-31,34.563806491
1976-09-30,34.79926111
1976-10-31,34.944269801
1976-11-30,35.005572058
1976-12-31,35.029840432
1977-01-31,35.096160833
1977-02-28,35.31272162
1977-03-31,35.751711201
1977-04-30,36.409257484
1977-05-31,37.167369923
1977-06-30,37.80902444
1977-07-31,38.234642051
1977-08-31,38.535079159
1977-09-30,38.802751593
1977-10-31,39.04081684
1977-11-30,39.200045765
1977-12-31,39.256305292
1978-01-31,39.271718883
1978-02-28,39.323956337
1978-03-31,39.455746714
1978-04-30,39.759232056
1978-05-31,40.306256229
1978-06-30,41.00086036
1978-07-31,41.691614542
1978-08-31,42.282836809
1978-09-30,42.772523862
1978-10-31,43.228490994
1978-11-30,43.630959065
1978-12-31,43.920188877
1979-01-31,44.110893381
1979-02-28,44.270546729
1979-03-31,44.580134444
1979-04-30,45.192767421
1979-05-31,45.948606039
1979-06-30,46.504331267
1979-07-31,46.683154364
1979-08-31,46.682896193
1979-09-30,46.742811899
1979-10-31,46.825452293
1979-11-30,46.872642399
1979-12-31,46.909379809
1980-01-31,46.981815135
1980-02-29,47.128269444
1980-03-31,47.366568825
1980-04-30,47.666478426
1980-05-31,47.947028547
1980-06-30,48.210225405
1980-07-31,48.446007021
1980-08-31,48.565741429
1980-09-30,48.54256666
1980-10-31,48.429738835
1980-11-30,48.300526112
1980-12-31,48.203747001
1981-01-31,48.150546316
1981-02-28,48.119619262
1981-03-31,48.090204531
1981-04-30,48.046210995
1981-05-31,47.945369488
1981-06-30,47.789299204
1981-07-31,47.674039701
1981-08-31,47.640639361
1981-09-30,47.619736635
1981-10-31,47.533520672
1981-11-30,47.392639953
1981-12-31,47.300121808
1982-01-31,47.362331497
1982-02-28,47.624129908
1982-03-31,48.044689758
1982-04-30,48.527929333
1982-05-31,48.976636453
1982-06-30,49.310519158
1982-07-31,49.498759901
1982-08-31,49.593668237
1982-09-30,49.672272798
1982-10-31,49.760464739
1982-11-30,49.861980155
1982-12-31,50.013270545
1983-01-31,50.175320127
1983-02-28,50.251518969
1983-03-31,50.260173274
1983-04-30,50.271698665
1983-05-31,50.348505394
1983-06-30,50.577083442
1983-07-31,50.937585407
1983-08-31,51.335342875
1983-09-30,51.728251266
1983-10-31,52.038204017
1983-11-30,52.194448383
1983-12-31,52.257387723
1984-01-31,52.29102241
1984-02-29,52.261363805
1984-03-31,52.139358628
1984-04-30,51.984492611
1984-05-31,51.841772342
1984-06-30,51.799427698
1984-07-31,51.887073656
1984-08-31,51.98224895
1984-09-30,52.022884773
1984-10-31,52.00847514
1984-11-30,52.035581301
1984-12-31,52.27106607
1985-01-31,52.632027317
1985-02-28,52.934225122
1985-03-31,53.149560494
1985-04-30,53.293335077
1985-05-31,53.385752485
1985-06-30,53.395200275
1985-07-31,53.306466937
1985-08-31,53.347398634
1985-09-30,53.581053019
1985-10-31,53.807635509
1985-11-30,54.03119624
1985-12-31,54.199562746
1986-01-31,54.182192627
1986-02-28,54.18093247
1986-03-31,54.399149902
1986-04-30,54.69829036
1986-05-31,55.077703001
1986-06-30,55.530408322
1986-07-31,55.791902492
1986-08-31,55.845496635
