Date,Value
1975-01-31,15.91665727
1975-02-28,15.815190506
1975-03-31,15.712751582
1975-04-30,15.630629772
1975-05-31,15.592823693
1975-06-30,15.613632078
1975-07-31,15.686964832
1975-08-31,15.772037086
1975-09-30,15.843471477
1975-10-31,15.880892594
1975-11-30,15.890919419
1975-12-31,15.901603381
1976-01-31,15.907744791
1976-02-29,15.934721591
1976-03-31,16.00166374
1976-04-30,16.067342003
1976-05-31,16.087969598
1976-06-30,16.123944724
1976-07-31,16.259431101
1976-08-31,16.441989559
1976-09-30,16.588185375
1976-10-31,16.679851647
1976-11-30,16.718452353
1976-12-31,16.751502267
1977-01-31,16.798734838
1977-02-28,16.820243104
1977-03-31,16.813347466
1977-04-30,16.865198351
1977-05-31,17.039221832
1977-06-30,17.268384469
1977-07-31,17.458128485
1977-08-31,17.57201026
1977-09-30,17.628961878
1977-10-31,17.665398328
1977-11-30,17.687115652
1977-12-31,17.648923963
1978-01-31,17.606699075
1978-02-28,17.678649557
1978-03-31,17.862234286
1978-04-30,18.117217709
1978-05-31,18.478919651
1978-06-30,18.949445588
1978-07-31,19.420229169
1978-08-31,19.772625745
1978-09-30,19.955752305
1978-10-31,20.056741269
1978-11-30,20.220431653
1978-12-31,20.455703459
1979-01-31,20.69386195
1979-02-28,20.910597576
1979-03-31,21.126299416
1979-04-30,21.422720222
1979-05-31,21.821128481
1979-06-30,22.22009579
1979-07-31,22.527344927
1979-08-31,22.693041041
1979-09-30,22.759305606
1979-10-31,22.790740149
1979-11-30,22.8196463
1979-12-31,22.871123483
1980-01-31,22.963359102
1980-02-29,23.131080236
1980-03-31,23.396852647
1980-04-30,23.71501536
1980-05-31,23.999551988
1980-06-30,24.273838153
1980-07-31,24.57522372
1980-08-31,24.849891654
1980-09-30,25.028134898
1980-10-31,25.150449527
1980-11-30,25.292200932
1980-12-31,25.452166658
1981-01-31,25.640722604
1981-02-28,25.916512435
1981-03-31,26.293141896
1981-04-30,26.700477572
1981-05-31,27.061631664
1981-06-30,27.317787368
1981-07-31,27.443331738
1981-08-31,27.45698264
1981-09-30,27.420729389
1981-10-31,27.438450341
1981-11-30,27.548824898
1981-12-31,27.676021385
1982-01-31,27.750079141
1982-02-28,27.771678707
1982-03-31,27.798348437
1982-04-30,27.890509835
1982-05-31,28.04623096
1982-06-30,28.241706526
1982-07-31,28.449901868
1982-08-31,28.622038493
1982-09-30,28.742595719
1982-10-31,28.861863002
1982-11-30,28.975661607
1982-12-31,29.064570261
1983-01-31,29.176339833
1983-02-28,29.350020524
1983-03-31,29.707495008
1983-04-30,30.222340043
1983-05-31,30.736983196
1983-06-30,31.273017752
1983-07-31,31.850677799
1983-08-31,32.354481103
1983-09-30,32.764887866
1983-10-31,33.161276713
1983-11-30,33.531420302
1983-12-31,33.919636052
1984-01-31,34.36968008
1984-02-29,34.852954911
1984-03-31,35.373903929
1984-04-30,35.963497962
1984-05-31,36.682800683
1984-06-30,37.507646685
1984-07-31,38.326812508
1984-08-31,39.032074177
1984-09-30,39.609851977
1984-10-31,40.1703934
1984-11-30,40.751826167
1984-12-31,41.407371504
1985-01-31,42.160412348
1985-02-28,42.945803082
1985-03-31,43.883801716
1985-04-30,45.06797304
1985-05-31,46.329835843
1985-06-30,47.608885035
1985-07-31,48.844006907
1985-08-31,49.855239964
1985-09-30,50.814140829
1985-10-31,51.946639506
1985-11-30,53.045119246
1985-12-31,53.945574026
1986-01-31,54.768811702
1986-02-28,55.663712252
1986-03-31,56.65869468
1986-04-30,57.606246663
1986-05-31,58.567966567
1986-06-30,59.774956513
1986-07-31,61.043563507
1986-08-31,62.035880739
1986-09-30,62.767881648
1986-10-31,63.684797421
1986-11-30,64.662215488
1986-12-31,65.302041721
1987-01-31,65.836412959
1987-02-28,66.334255354
1987-03-31,66.930463504
1987-04-30,67.668945439
1987-05-31,68.454619717
1987-06-30,69.176869018
1987-07-31,69.637066717
1987-08-31,69.989644137
1987-09-30,70.426830155
1987-10-31,70.807434011
1987-11-30,70.970588501
1987-12-31,70.937198149
1988-01-31,70.864136176
1988-02-29,70.936491567
1988-03-31,71.161234437
1988-04-30,71.559811348
1988-05-31,71.981335134
1988-06-30,72.086608661
1988-07-31,72.040225924
1988-08-31,71.993827704
1988-09-30,72.005036061
1988-10-31,72.134513329
1988-11-30,72.152789191
1988-12-31,72.092037149
1989-01-31,72.133295005
1989-02-28,72.11080248
1989-03-31,71.872044627
1989-04-30,71.700850974
1989-05-31,71.698329255
1989-06-30,71.733571884
1989-07-31,71.866971844
1989-08-31,72.084662616
1989-09-30,72.289661509
1989-10-31,72.299600979
1989-11-30,72.178699467
1989-12-31,72.171544624
1990-01-31,72.08644621
1990-02-28,71.700352362
1990-03-31,71.01951458
1990-04-30,70.342299852
1990-05-31,69.880958382
1990-06-30,69.550335872
1990-07-31,69.1073116
1990-08-31,68.588462449
1990-09-30,68.232593412
1990-10-31,67.65764771
1990-11-30,66.77776801
1990-12-31,66.095547517
1991-01-31,65.662086408
1991-02-28,65.367360927
1991-03-31,65.125738653
1991-04-30,64.792503867
1991-05-31,64.483358119
1991-06-30,64.310003239
1991-07-31,64.110227725
1991-08-31,63.830412976
1991-09-30,63.593150197
1991-10-31,63.419425228
1991-11-30,63.374950227
1991-12-31,63.423551381
1992-01-31,63.519809779
1992-02-29,63.562993155
1992-03-31,63.266338791
1992-04-30,62.909170697
1992-05-31,62.765796151
1992-06-30,62.684255643
1992-07-31,62.694333191
1992-08-31,62.742708527
1992-09-30,62.720429799
1992-10-31,62.73273868
1992-11-30,62.717197219
1992-12-31,62.229783601
1993-01-31,61.281709978
1993-02-28,60.463458413
1993-03-31,60.283112607
1993-04-30,60.590855414
1993-05-31,60.869140992
1993-06-30,61.101698846
1993-07-31,61.281340938
1993-08-31,61.314483056
1993-09-30,61.209188806
1993-10-31,61.125539307
1993-11-30,61.084883843
1993-12-31,60.956477315
1994-01-31,60.852734406
1994-02-28,60.695392427
1994-03-31,60.737738383
1994-04-30,61.290464176
1994-05-31,62.034935076
1994-06-30,62.700637423
1994-07-31,63.067651681
1994-08-31,63.046137554
1994-09-30,62.921923707
1994-10-31,62.873061621
1994-11-30,62.824410699
1994-12-31,62.687093858
1995-01-31,62.46941613
1995-02-28,62.318304994
1995-03-31,62.496694601
1995-04-30,63.073247254
1995-05-31,63.602206376
1995-06-30,63.741925257
1995-07-31,63.744256614
1995-08-31,63.778065551
1995-09-30,63.779775777
1995-10-31,63.599036738
1995-11-30,63.373135387
1995-12-31,63.379306548
1996-01-31,63.39584006
1996-02-29,63.443758102
1996-03-31,63.868465104
1996-04-30,64.607193896
1996-05-31,65.370268202
1996-06-30,66.02214061
1996-07-31,66.394020402
1996-08-31,66.488872603
1996-09-30,66.478615072
1996-10-31,66.484196971
1996-11-30,66.508630282
1996-12-31,66.36772414
1997-01-31,66.218044419
1997-02-28,66.268973324
1997-03-31,66.729564625
1997-04-30,67.674492003
1997-05-31,68.609729549
1997-06-30,69.14775036
1997-07-31,69.382421585
1997-08-31,69.582475652
1997-09-30,69.876230412
1997-10-31,70.181452322
1997-11-30,70.453003864
1997-12-31,70.485183508
1998-01-31,70.420421122
1998-02-28,70.81799423
1998-03-31,71.77360762
1998-04-30,72.98312145
1998-05-31,74.108065653
1998-06-30,75.13629384
1998-07-31,75.992125965
1998-08-31,76.493051789
1998-09-30,76.661659571
1998-10-31,76.80725563
1998-11-30,77.106162782
1998-12-31,77.372186086
1999-01-31,77.740106194
1999-02-28,78.372495491
1999-03-31,79.283865187
1999-04-30,80.401397039
1999-05-31,81.661628693
1999-06-30,83.060555226
1999-07-31,84.394449144
1999-08-31,85.370474232
1999-09-30,85.934726589
1999-10-31,86.420684733
1999-11-30,86.88148062
1999-12-31,87.490270088
2000-01-31,88.287436588
2000-02-29,89.170794393
2000-03-31,90.296055473
2000-04-30,91.685594465
2000-05-31,93.400680165
2000-06-30,95.189203253
2000-07-31,96.48766923
2000-08-31,97.330329406
2000-09-30,98.020301562
2000-10-31,98.643684451
2000-11-30,99.3220595
2000-12-31,100.0
2001-01-31,100.74189694
2001-02-28,101.60106335
2001-03-31,102.8988061
2001-04-30,104.55457885
2001-05-31,106.0076461
2001-06-30,107.43465101
2001-07-31,109.05364055
2001-08-31,110.36441525
2001-09-30,111.05578717
2001-10-31,111.37727402
2001-11-30,111.45063048
2001-12-31,111.24850547
2002-01-31,111.61470987
2002-02-28,112.8764209
2002-03-31,114.6308725
2002-04-30,116.74540845
2002-05-31,118.75103983
2002-06-30,120.86091886
2002-07-31,122.8882465
2002-08-31,124.32198271
2002-09-30,125.59362847
2002-10-31,126.42575037
2002-11-30,126.69946831
