Date,Value
1975-01-31,25.396928575
1975-02-28,25.651099869
1975-03-31,25.87021797
1975-04-30,26.075994128
1975-05-31,26.321226233
1975-06-30,26.610708958
1975-07-31,26.946656272
1975-08-31,27.28465221
1975-09-30,27.523780743
1975-10-31,27.592370685
1975-11-30,27.522365669
1975-12-31,27.405158599
1976-01-31,27.301643744
1976-02-29,27.264338199
1976-03-31,27.317295479
1976-04-30,27.431631476
1976-05-31,27.563961659
1976-06-30,27.739078406
1976-07-31,28.021544634
1976-08-31,28.319297716
1976-09-30,28.521706562
1976-10-31,28.675571947
1976-11-30,28.841454127
1976-12-31,29.045226591
1977-01-31,29.248131985
1977-02-28,29.404558254
1977-03-31,29.593063692
1977-04-30,29.925860426
1977-05-31,30.392514115
1977-06-30,30.933515857
1977-07-31,31.482899423
1977-08-31,31.95931108
1977-09-30,32.28624073
1977-10-31,32.509928212
1977-11-30,32.748202782
1977-12-31,32.989737931
1978-01-31,33.180834744
1978-02-28,33.437410137
1978-03-31,33.939620286
1978-04-30,34.655349302
1978-05-31,35.421160368
1978-06-30,36.108126023
1978-07-31,36.70503111
1978-08-31,37.248394609
1978-09-30,37.736662819
1978-10-31,38.129108925
1978-11-30,38.365213743
1978-12-31,38.460352107
1979-01-31,38.578914156
1979-02-28,38.880885202
1979-03-31,39.306181574
1979-04-30,39.764323296
1979-05-31,40.231006397
1979-06-30,40.705590972
1979-07-31,41.194991497
1979-08-31,41.674017919
1979-09-30,42.066115337
1979-10-31,42.261836872
1979-11-30,42.249693544
1979-12-31,42.196403811
1980-01-31,42.255940138
1980-02-29,42.476888294
1980-03-31,42.879700029
1980-04-30,43.35493728
1980-05-31,43.756769882
1980-06-30,44.065568039
1980-07-31,44.346724023
1980-08-31,44.60440453
1980-09-30,44.776043887
1980-10-31,44.804182569
1980-11-30,44.719182185
1980-12-31,44.623351746
1981-01-31,44.53232222
1981-02-28,44.445826315
1981-03-31,44.417759917
1981-04-30,44.489385991
1981-05-31,44.655649193
1981-06-30,44.922854656
1981-07-31,45.298049745
1981-08-31,45.715934122
1981-09-30,46.079119055
1981-10-31,46.357190219
1981-11-30,46.587349386
1981-12-31,46.774352505
1982-01-31,46.883368403
1982-02-28,46.865663596
1982-03-31,46.685653508
1982-04-30,46.390024564
1982-05-31,46.108893709
1982-06-30,45.968771423
1982-07-31,45.978133351
1982-08-31,46.051309824
1982-09-30,46.127890926
1982-10-31,46.190169641
1982-11-30,46.225976913
1982-12-31,46.313996992
1983-01-31,46.594901096
1983-02-28,46.995151259
1983-03-31,47.329075162
1983-04-30,47.528171559
1983-05-31,47.645747753
1983-06-30,47.708175615
1983-07-31,47.688795938
1983-08-31,47.574130732
