Date,Value
1975-01-31,42.115087625
1975-02-28,41.831509739
1975-03-31,41.627123264
1975-04-30,41.551867048
1975-05-31,41.610969075
1975-06-30,41.765260474
1975-07-31,41.863937732
1975-08-31,41.812753033
1975-09-30,41.697474842
1975-10-31,41.640162637
1975-11-30,41.733843922
1975-12-31,42.009442148
1976-01-31,42.363711833
1976-02-29,42.62695666
1976-03-31,42.673889783
1976-04-30,42.49378073
1976-05-31,42.195017531
1976-06-30,41.926467082
1976-07-31,41.781434958
1976-08-31,41.748032782
1976-09-30,41.814580333
1976-10-31,41.988523494
1976-11-30,42.204427966
1976-12-31,42.346814704
1977-01-31,42.374254705
1977-02-28,42.348833206
1977-03-31,42.364832828
1977-04-30,42.5398121
1977-05-31,42.906294163
1977-06-30,43.358335435
1977-07-31,43.80288732
1977-08-31,44.219011635
1977-09-30,44.634693358
1977-10-31,45.124729971
1977-11-30,45.730671948
1977-12-31,46.405358327
1978-01-31,47.034990332
1978-02-28,47.549095427
1978-03-31,47.967904197
1978-04-30,48.313073705
1978-05-31,48.640596792
1978-06-30,49.03483195
1978-07-31,49.474220847
1978-08-31,49.830063954
1978-09-30,50.088407889
1978-10-31,50.365427627
1978-11-30,50.769545929
1978-12-31,51.328885629
1979-01-31,51.986168492
1979-02-28,52.663322367
1979-03-31,53.328676136
1979-04-30,54.080475328
1979-05-31,54.969505941
1979-06-30,55.797311156
1979-07-31,56.273135878
1979-08-31,56.217641411
1979-09-30,55.566868122
1979-10-31,54.491851815
1979-11-30,53.422121239
1979-12-31,52.788149399
1980-01-31,52.706511369
1980-02-29,53.011827366
1980-03-31,53.459867872
1980-04-30,53.774325488
1980-05-31,53.875634243
1980-06-30,54.020531469
1980-07-31,54.507919087
1980-08-31,55.35958985
1980-09-30,56.395068237
1980-10-31,57.477126225
1980-11-30,58.534320283
1980-12-31,59.475095188
1981-01-31,60.251500611
1981-02-28,60.876634414
1981-03-31,61.31103182
1981-04-30,61.430782518
1981-05-31,61.080969857
1981-06-30,60.118619635
1981-07-31,58.51704644
1981-08-31,56.476274385
1981-09-30,54.403344277
1981-10-31,52.784113084
1981-11-30,51.954354006
1981-12-31,51.986084744
1982-01-31,52.705410767
1982-02-28,53.848000296
1982-03-31,55.197685215
1982-04-30,56.5486707
1982-05-31,57.71505848
1982-06-30,58.563877778
1982-07-31,59.042080817
1982-08-31,59.19424545
1982-09-30,59.165532368
1982-10-31,59.121292015
1982-11-30,59.191791075
1982-12-31,59.480432022
1983-01-31,60.017728338
1983-02-28,60.694058697
1983-03-31,61.296446086
1983-04-30,61.709108105
1983-05-31,61.929408935
1983-06-30,62.000020384
1983-07-31,61.99863137
1983-08-31,62.013838956
1983-09-30,62.101779161
1983-10-31,62.206417502
1983-11-30,62.274517156
1983-12-31,62.365599533
1984-01-31,62.511754854
1984-02-29,62.62563396
1984-03-31,62.583455883
1984-04-30,62.321025469
1984-05-31,61.986844835
1984-06-30,61.913770178
1984-07-31,62.179748768
1984-08-31,62.512893745
1984-09-30,62.70679408
1984-10-31,62.769830861
1984-11-30,62.831710544
1984-12-31,63.10189097
1985-01-31,63.641821906
1985-02-28,64.31640016
1985-03-31,65.084316924
1985-04-30,65.899209749
1985-05-31,66.620889016
1985-06-30,67.150438144
1985-07-31,67.449731792
1985-08-31,67.490754466
1985-09-30,67.292498068
1985-10-31,66.992638136
