Date,Value
1975-01-31,28.345943313
1975-02-28,28.636069149
1975-03-31,28.889843169
1975-04-30,29.11321803
1975-05-31,29.303512535
1975-06-30,29.447127983
1975-07-31,29.560379875
1975-08-31,29.705250365
1975-09-30,29.873606
1975-10-31,30.027771238
1975-11-30,30.165370117
1975-12-31,30.244231113
1976-01-31,30.212358461
1976-02-29,30.075828662
1976-03-31,29.974256809
1976-04-30,30.001669363
1976-05-31,30.105968857
1976-06-30,30.266312787
1976-07-31,30.453425231
1976-08-31,30.598565952
1976-09-30,30.694278446
1976-10-31,30.814554223
1976-11-30,30.984430831
1976-12-31,31.15620874
1977-01-31,31.212549264
1977-02-28,31.099771534
1977-03-31,31.041523455
1977-04-30,31.266526012
1977-05-31,31.675961326
1977-06-30,32.046266038
1977-07-31,32.393698913
1977-08-31,32.758861927
1977-09-30,33.064550864
1977-10-31,33.297171194
1977-11-30,33.486670127
1977-12-31,33.710822527
1978-01-31,34.033629235
1978-02-28,34.41522098
1978-03-31,34.726054076
1978-04-30,34.904486726
1978-05-31,35.046843514
1978-06-30,35.285069741
1978-07-31,35.605600453
1978-08-31,35.926938003
1978-09-30,36.230502106
1978-10-31,36.542099867
1978-11-30,36.844497846
1978-12-31,37.033332164
1979-01-31,37.164799675
1979-02-28,37.421554809
1979-03-31,37.840304294
1979-04-30,38.338737947
1979-05-31,38.866357154
1979-06-30,39.412772603
1979-07-31,39.90426102
1979-08-31,40.262325217
1979-09-30,40.446875902
1979-10-31,40.556130566
1979-11-30,40.745520255
1979-12-31,40.980815722
1980-01-31,41.150810615
1980-02-29,41.183168202
1980-03-31,41.142132497
1980-04-30,41.183994135
1980-05-31,41.38686948
1980-06-30,41.784733402
1980-07-31,42.344258969
1980-08-31,42.887987934
1980-09-30,43.334363513
1980-10-31,43.696747255
1980-11-30,43.939834035
1980-12-31,44.033671299
1981-01-31,43.975865166
1981-02-28,43.844053131
1981-03-31,43.769052723
1981-04-30,43.81656892
1981-05-31,43.926727215
1981-06-30,43.992026128
1981-07-31,43.974700928
1981-08-31,43.901418229
1981-09-30,43.790079694
1981-10-31,43.636477087
1981-11-30,43.536487173
1981-12-31,43.70214726
1982-01-31,44.216854801
1982-02-28,44.957360303
1982-03-31,45.688228853
1982-04-30,46.150476974
1982-05-31,46.211786813
1982-06-30,45.941173079
1982-07-31,45.569326114
1982-08-31,45.371177394
1982-09-30,45.51197166
1982-10-31,45.896174067
1982-11-30,46.265873943
1982-12-31,46.49238734
1983-01-31,46.608012191
1983-02-28,46.696008656
1983-03-31,46.721714731
1983-04-30,46.683685057
1983-05-31,46.757198709
1983-06-30,47.034117016
1983-07-31,47.42644439
1983-08-31,47.764123445
1983-09-30,47.963017407
1983-10-31,48.148452234
1983-11-30,48.508296561
1983-12-31,48.970205193
1984-01-31,49.349273126
1984-02-29,49.654987877
1984-03-31,49.974427935
1984-04-30,50.363114473
1984-05-31,50.723365994
1984-06-30,50.884822969
1984-07-31,50.91632047
1984-08-31,50.985441774
1984-09-30,51.20201697
1984-10-31,51.640589918
1984-11-30,52.15139473
1984-12-31,52.508063894
1985-01-31,52.751822687
1985-02-28,53.072972163
1985-03-31,53.45586894
1985-04-30,53.81475956
1985-05-31,54.140947832
1985-06-30,54.424006675
1985-07-31,54.796962322
1985-08-31,55.208291497
1985-09-30,55.509601164
1985-10-31,55.665068655
1985-11-30,55.737357993
1985-12-31,55.816061485
1986-01-31,55.898241201
1986-02-28,56.059333621
1986-03-31,56.383268482
1986-04-30,56.933775819
1986-05-31,57.574699919
1986-06-30,58.001445068
1986-07-31,58.346464861
1986-08-31,58.707634521
1986-09-30,58.891465931
1986-10-31,59.022598654
1986-11-30,59.14501803
1986-12-31,59.247127905
1987-01-31,59.53121931
1987-02-28,59.970701775
1987-03-31,60.290515036
1987-04-30,60.464919772
1987-05-31,60.78607317
1987-06-30,61.27286735
1987-07-31,61.676326152
1987-08-31,61.922400856
1987-09-30,62.146872571
1987-10-31,62.377881527
1987-11-30,62.433553403
1987-12-31,62.363723192
1988-01-31,62.410600541
1988-02-29,62.628736525
1988-03-31,62.94852057
1988-04-30,63.329131916
1988-05-31,63.770888327
1988-06-30,64.154838536
1988-07-31,64.423020832
1988-08-31,64.540656614
1988-09-30,64.454599432
1988-10-31,64.470181192
1988-11-30,64.761289964
1988-12-31,65.059444258
1989-01-31,65.243061884
1989-02-28,65.361804012
1989-03-31,65.460488252
1989-04-30,65.637996797
1989-05-31,65.841424523
1989-06-30,66.099935888
1989-07-31,66.422249368
1989-08-31,66.668247668
1989-09-30,66.774490956
1989-10-31,66.719562631
1989-11-30,66.635330027
1989-12-31,66.707759616
1990-01-31,66.811396462
1990-02-28,66.798204491
1990-03-31,66.894073855
1990-04-30,67.187788596
1990-05-31,67.487575119
1990-06-30,67.758767064
1990-07-31,67.983040063
1990-08-31,68.091625826
1990-09-30,68.107057421
1990-10-31,67.989655988
1990-11-30,67.826370933
1990-12-31,67.845370461
1991-01-31,67.986784162
1991-02-28,68.163564762
1991-03-31,68.44527596
1991-04-30,68.663823063
1991-05-31,68.762755522
1991-06-30,68.838521874
1991-07-31,68.856611505
1991-08-31,68.838792314
1991-09-30,68.956412097
1991-10-31,69.222894748
1991-11-30,69.231740655
1991-12-31,68.949693111
1992-01-31,69.025930474
1992-02-29,69.509490752
1992-03-31,69.896469524
1992-04-30,70.06396935
1992-05-31,70.082702948
1992-06-30,70.214009457
1992-07-31,70.592189214
1992-08-31,70.95308321
1992-09-30,71.080870829
1992-10-31,71.146795621
1992-11-30,71.27853911
1992-12-31,71.270755103
1993-01-31,71.079485858
1993-02-28,71.007342534
1993-03-31,71.237535436
1993-04-30,71.746995036
1993-05-31,72.216137834
1993-06-30,72.443906783
1993-07-31,72.58677697
1993-08-31,72.72542408
1993-09-30,72.872717705
1993-10-31,73.173105811
1993-11-30,73.373965944
1993-12-31,73.342833367
1994-01-31,73.448299622
1994-02-28,73.687085039
1994-03-31,74.016484104
1994-04-30,74.525319553
1994-05-31,75.213283125
1994-06-30,75.812673855
1994-07-31,76.295037887
1994-08-31,76.692104439
1994-09-30,77.024156561
1994-10-31,77.501636665
1994-11-30,77.908503632
1994-12-31,78.045640421
1995-01-31,77.993844218
1995-02-28,78.023208368
1995-03-31,78.304978665
1995-04-30,78.654137663
1995-05-31,79.077828322
1995-06-30,79.457540215
1995-07-31,79.641214261
1995-08-31,79.908797864
1995-09-30,80.272949127
1995-10-31,80.414224139
1995-11-30,80.36749276
1995-12-31,80.509345773
1996-01-31,80.831698908
1996-02-29,81.086122515
1996-03-31,81.56202543
1996-04-30,82.289725435
1996-05-31,82.880002217
1996-06-30,83.441918549
1996-07-31,83.874837434
1996-08-31,83.931871063
1996-09-30,83.982378468
1996-10-31,84.290362175
1996-11-30,84.583685833
1996-12-31,84.678202748
1997-01-31,84.768435803
1997-02-28,85.03531985
1997-03-31,85.574378701
1997-04-30,86.297096399
1997-05-31,86.930030939
1997-06-30,87.326967006
1997-07-31,87.486802057
1997-08-31,87.761055604
1997-09-30,88.189656179
1997-10-31,88.458288062
1997-11-30,88.636266199
1997-12-31,88.705682219
1998-01-31,88.673463819
1998-02-28,88.723273366
1998-03-31,89.0148638
1998-04-30,89.520036618
1998-05-31,90.188422435
1998-06-30,90.838664108
1998-07-31,91.204716492
1998-08-31,91.353062684
1998-09-30,91.612792751
1998-10-31,91.872524397
1998-11-30,91.844766753
1998-12-31,91.825163929
