Date,Value
1975-01-31,31.216697569
1975-02-28,31.202556797
1975-03-31,31.183949975
1975-04-30,31.163506241
1975-05-31,31.138655737
1975-06-30,31.105424163
1975-07-31,31.066706036
1975-08-31,31.06085683
1975-09-30,31.137600138
1975-10-31,31.317085535
1975-11-30,31.573601255
1975-12-31,31.904704785
1976-01-31,32.347058842
1976-02-29,32.873492828
1976-03-31,33.394677555
1976-04-30,33.85649071
1976-05-31,34.175876605
1976-06-30,34.298674575
1976-07-31,34.302026658
1976-08-31,34.301862618
1976-09-30,34.372573807
1976-10-31,34.5482885
1976-11-30,34.854117084
1976-12-31,35.244268993
1977-01-31,35.621550698
1977-02-28,35.953272357
1977-03-31,36.27502695
1977-04-30,36.596825249
1977-05-31,36.905462222
1977-06-30,37.210412911
1977-07-31,37.541492741
1977-08-31,37.94552499
1977-09-30,38.49419636
1977-10-31,39.14116862
1977-11-30,39.735291512
1977-12-31,40.177931369
1978-01-31,40.500180478
1978-02-28,40.820977907
1978-03-31,41.225657993
1978-04-30,41.74390783
1978-05-31,42.28909555
1978-06-30,42.727272504
1978-07-31,42.984895379
1978-08-31,43.074354683
1978-09-30,43.105142039
1978-10-31,43.165385507
1978-11-30,43.344253183
1978-12-31,43.711994326
1979-01-31,44.253059977
1979-02-28,44.908000731
1979-03-31,45.575216016
1979-04-30,46.193896738
1979-05-31,46.805881128
1979-06-30,47.454939001
1979-07-31,48.065938574
1979-08-31,48.482304763
1979-09-30,48.637317311
1979-10-31,48.638504622
1979-11-30,48.666442292
1979-12-31,48.849582198
1980-01-31,49.158804894
1980-02-29,49.547775721
1980-03-31,49.981772423
1980-04-30,50.383282177
1980-05-31,50.692676502
1980-06-30,50.895701496
1980-07-31,51.027300977
1980-08-31,51.110917303
1980-09-30,51.164093668
1980-10-31,51.199026381
1980-11-30,51.208640304
1980-12-31,51.226592071
1981-01-31,51.288936234
1981-02-28,51.370641189
1981-03-31,51.459149283
1981-04-30,51.578590237
1981-05-31,51.705131282
1981-06-30,51.783562703
1981-07-31,51.816511579
1981-08-31,51.858389877
1981-09-30,51.964787916
1981-10-31,52.14391328
1981-11-30,52.369238951
1981-12-31,52.641636589
1982-01-31,52.97804813
1982-02-28,53.356161054
1982-03-31,53.722622893
1982-04-30,54.016918227
1982-05-31,54.206273553
1982-06-30,54.314172587
1982-07-31,54.374978387
1982-08-31,54.399134678
1982-09-30,54.39367448
1982-10-31,54.35129133
1982-11-30,54.279068943
1982-12-31,54.233008974
1983-01-31,54.25762625
1983-02-28,54.382168462
1983-03-31,54.611004187
1983-04-30,54.880170333
1983-05-31,55.13671087
1983-06-30,55.356182865
1983-07-31,55.508072647
1983-08-31,55.619122251
1983-09-30,55.738196338
1983-10-31,55.893978683
1983-11-30,56.124460383
1983-12-31,56.403092781
1984-01-31,56.64297868
1984-02-29,56.79672954
1984-03-31,56.832030495
1984-04-30,56.763407071
1984-05-31,56.641740196
1984-06-30,56.490688745
1984-07-31,56.336538011
1984-08-31,56.183057632
1984-09-30,56.028031697
1984-10-31,55.926838779
1984-11-30,55.918677892
1984-12-31,55.951725089
1985-01-31,55.945726103
1985-02-28,55.891141353
1985-03-31,55.898989572
1985-04-30,56.024780712
1985-05-31,56.214118281
1985-06-30,56.414326728
1985-07-31,56.558748716
1985-08-31,56.634860335
1985-09-30,56.695687676
1985-10-31,56.746023996
1985-11-30,56.805672198
1985-12-31,56.890678952
1986-01-31,56.889309941
1986-02-28,56.772888164
1986-03-31,56.645117676
1986-04-30,56.542867009
1986-05-31,56.468748479
1986-06-30,56.387078103
1986-07-31,56.65276274
1986-08-31,57.262272024
1986-09-30,57.664712539
1986-10-31,57.712736222
1986-11-30,57.584460408
1986-12-31,57.511476554
1987-01-31,57.492580951
1987-02-28,57.505011098
1987-03-31,57.579785916
1987-04-30,57.637796744
1987-05-31,57.505428565
1987-06-30,57.20562936
1987-07-31,56.951249684
1987-08-31,56.9032637
1987-09-30,57.057268349
1987-10-31,57.229979975
1987-11-30,57.234175974
1987-12-31,57.106521959
1988-01-31,57.079649679
1988-02-29,57.20446899
1988-03-31,57.388154029
1988-04-30,57.594343769
1988-05-31,57.741976805
1988-06-30,57.778568055
1988-07-31,57.736396246
1988-08-31,57.682671337
1988-09-30,57.64170662
1988-10-31,57.576480928
1988-11-30,57.548766913
1988-12-31,57.669831364
1989-01-31,57.862115749
1989-02-28,58.032995167
1989-03-31,58.250299324
1989-04-30,58.57089317
1989-05-31,58.97827979
1989-06-30,59.352525032
1989-07-31,59.579773521
1989-08-31,59.665117076
1989-09-30,59.757270573
1989-10-31,59.949829248
1989-11-30,60.19885698
1989-12-31,60.473876648
1990-01-31,60.698645203
1990-02-28,60.816900876
1990-03-31,60.914114007
1990-04-30,61.117575037
1990-05-31,61.434191353
1990-06-30,61.764132588
1990-07-31,62.062509665
1990-08-31,62.343556055
1990-09-30,62.559361404
1990-10-31,62.685709041
1990-11-30,62.768555566
1990-12-31,62.849809923
1991-01-31,62.96966893
1991-02-28,63.116172186
1991-03-31,63.276916609
1991-04-30,63.504658459
1991-05-31,63.774363905
1991-06-30,64.02566961
1991-07-31,64.194402175
1991-08-31,64.264606624
1991-09-30,64.285549437
1991-10-31,64.307802778
1991-11-30,64.470180391
1991-12-31,64.908819171
1992-01-31,65.719977016
1992-02-29,66.715173185
1992-03-31,67.52359356
1992-04-30,67.941591115
1992-05-31,68.016894752
1992-06-30,68.136349251
1992-07-31,68.519981928
1992-08-31,69.054024721
1992-09-30,69.584770768
1992-10-31,70.04099105
1992-11-30,70.221952404
1992-12-31,70.090444319
1993-01-31,70.085654588
1993-02-28,70.375032156
1993-03-31,70.901226592
1993-04-30,71.44502285
1993-05-31,71.640028825
1993-06-30,71.644593365
1993-07-31,71.900796988
1993-08-31,72.552056905
1993-09-30,73.53964343
1993-10-31,74.607509749
1993-11-30,75.24330023
1993-12-31,75.112994775
1994-01-31,74.598637289
1994-02-28,74.309305987
1994-03-31,74.441890157
1994-04-30,74.992926065
1994-05-31,75.82363576
1994-06-30,76.713342972
1994-07-31,77.353095739
1994-08-31,77.546466622
1994-09-30,77.474944215
1994-10-31,77.467610949
1994-11-30,77.664871916
1994-12-31,77.90661735
1995-01-31,78.017590617
1995-02-28,78.021382792
1995-03-31,78.083133484
1995-04-30,78.382214973
1995-05-31,78.923230457
1995-06-30,79.60424896
1995-07-31,80.261258443
1995-08-31,80.759444678
1995-09-30,80.968391435
1995-10-31,80.876361645
