Date,Value
1975-01-31,22.048767387
1975-02-28,22.390724432
1975-03-31,22.703964845
1975-04-30,22.963721094
1975-05-31,23.14721041
1975-06-30,23.239872355
1975-07-31,23.246692386
1975-08-31,23.211752356
1975-09-30,23.207431642
1975-10-31,23.272043541
1975-11-30,23.40526513
1975-12-31,23.610595995
1976-01-31,23.881801532
1976-02-29,24.167604316
1976-03-31,24.395075114
1976-04-30,24.542038956
1976-05-31,24.631979322
1976-06-30,24.697558235
1976-07-31,24.75847525
1976-08-31,24.820603459
1976-09-30,24.8841878
1976-10-31,24.965924153
1976-11-30,25.104839923
1976-12-31,25.303470159
1977-01-31,25.522552638
1977-02-28,25.733761432
1977-03-31,25.931796487
1977-04-30,26.121869922
1977-05-31,26.329996806
1977-06-30,26.5733124
1977-07-31,26.860494436
1977-08-31,27.186763793
1977-09-30,27.487837454
1977-10-31,27.733089261
1977-11-30,27.957068869
1977-12-31,28.162783576
1978-01-31,28.345316688
1978-02-28,28.520896423
1978-03-31,28.733688219
1978-04-30,29.033682499
1978-05-31,29.43051089
1978-06-30,29.910048431
1978-07-31,30.417408143
1978-08-31,30.883281075
1978-09-30,31.282284139
1978-10-31,31.615997045
1978-11-30,31.912866018
1978-12-31,32.219186945
1979-01-31,32.564297918
1979-02-28,32.957439491
1979-03-31,33.377586387
1979-04-30,33.80564345
1979-05-31,34.217138342
1979-06-30,34.573188492
1979-07-31,34.869417624
1979-08-31,35.114822934
1979-09-30,35.282398826
1979-10-31,35.351691119
1979-11-30,35.344248585
1979-12-31,35.302039824
1980-01-31,35.274383398
1980-02-29,35.311203544
1980-03-31,35.448424438
1980-04-30,35.716844032
1980-05-31,36.117250123
1980-06-30,36.558913937
1980-07-31,36.928240928
1980-08-31,37.156313626
1980-09-30,37.213512956
1980-10-31,37.125621877
1980-11-30,36.977295068
1980-12-31,36.859672884
1981-01-31,36.805791102
1981-02-28,36.809143092
1981-03-31,36.849810414
1981-04-30,36.891933142
1981-05-31,36.91530503
1981-06-30,36.924973773
1981-07-31,36.928123097
1981-08-31,36.939415698
1981-09-30,36.995140278
1981-10-31,37.120852105
1981-11-30,37.300608342
1981-12-31,37.524995479
1982-01-31,37.816993992
1982-02-28,38.177832715
1982-03-31,38.570893008
