Date,Value
1975-01-31,27.781097115
1975-02-28,28.196210627
1975-03-31,28.589979012
1975-04-30,28.909285908
1975-05-31,29.147337178
1975-06-30,29.35118908
1975-07-31,29.535905912
1975-08-31,29.658508148
1975-09-30,29.688794414
1975-10-31,29.664654911
1975-11-30,29.64321745
1975-12-31,29.648955617
1976-01-31,29.701482136
1976-02-29,29.815166152
1976-03-31,29.975671259
1976-04-30,30.173073948
1976-05-31,30.403815982
1976-06-30,30.64686736
1976-07-31,30.884981519
1976-08-31,31.102685168
1976-09-30,31.322937093
1976-10-31,31.60446078
1976-11-30,31.985502103
1976-12-31,32.481296617
1977-01-31,33.064399814
1977-02-28,33.642175621
1977-03-31,34.14216405
1977-04-30,34.582274842
1977-05-31,35.032412883
1977-06-30,35.517810743
1977-07-31,36.011446983
1977-08-31,36.480797961
1977-09-30,36.881709139
1977-10-31,37.226843931
1977-11-30,37.557624174
1977-12-31,37.840842507
1978-01-31,38.059213296
1978-02-28,38.315627912
1978-03-31,38.732096363
1978-04-30,39.351193403
1978-05-31,40.111089162
1978-06-30,40.856302489
1978-07-31,41.442488439
1978-08-31,41.832190369
1978-09-30,42.107862077
1978-10-31,42.427282418
1978-11-30,42.868404926
1978-12-31,43.380622828
1979-01-31,43.925167612
1979-02-28,44.512192247
1979-03-31,45.14022178
1979-04-30,45.730110697
1979-05-31,46.24810371
1979-06-30,46.695392443
1979-07-31,47.090192794
1979-08-31,47.502961577
1979-09-30,47.944010592
1979-10-31,48.487147466
1979-11-30,49.184138361
1979-12-31,49.939965846
1980-01-31,50.542756216
1980-02-29,50.788060287
1980-03-31,50.756516774
1980-04-30,50.70728605
1980-05-31,50.814287183
1980-06-30,51.094082585
1980-07-31,51.452535585
1980-08-31,51.833059155
1980-09-30,52.210286847
1980-10-31,52.524545905
1980-11-30,52.727128903
1980-12-31,52.753662387
1981-01-31,52.609751033
1981-02-28,52.462591966
1981-03-31,52.51849181
1981-04-30,52.869440615
1981-05-31,53.439771325
1981-06-30,54.071051617
1981-07-31,54.63889441
1981-08-31,55.112669141
1981-09-30,55.507307792
1981-10-31,55.795237286
1981-11-30,55.947406474
1981-12-31,56.032063941
1982-01-31,56.156484449
1982-02-28,56.380003732
1982-03-31,56.697069981
1982-04-30,57.047735231
1982-05-31,57.393077174
1982-06-30,57.716903007
1982-07-31,58.003382898
1982-08-31,58.18282913
1982-09-30,58.208311451
1982-10-31,58.155930303
1982-11-30,58.13369423
1982-12-31,58.250785661
1983-01-31,58.504806145
1983-02-28,58.721639052
1983-03-31,58.801680585
1983-04-30,58.88948302
1983-05-31,59.150368782
1983-06-30,59.522634143
1983-07-31,59.897853482
1983-08-31,60.291658206
1983-09-30,60.624224657
1983-10-31,60.822171036
1983-11-30,60.984786273
1983-12-31,61.202951565
1984-01-31,61.43274231
1984-02-29,61.529113013
1984-03-31,61.395215603
1984-04-30,61.15735333
1984-05-31,61.11720617
1984-06-30,61.413287763
1984-07-31,61.917970856
1984-08-31,62.441314582
1984-09-30,62.903782518
1984-10-31,63.28417718
1984-11-30,63.541913188
