Date,Value
1975-01-31,23.827866796
1975-02-28,23.35307937
1975-03-31,23.143081512
1975-04-30,23.149253322
1975-05-31,23.28250264
1975-06-30,23.529372271
1975-07-31,23.784242765
1975-08-31,23.897684246
1975-09-30,23.90428918
1975-10-31,23.91322343
1975-11-30,23.946197649
1975-12-31,23.946517524
1976-01-31,23.840167677
1976-02-29,23.645369363
1976-03-31,23.454535164
1976-04-30,23.346461254
1976-05-31,23.368538531
1976-06-30,23.532360443
1976-07-31,23.72506043
1976-08-31,23.782396325
1976-09-30,23.702827773
1976-10-31,23.635806648
1976-11-30,23.636540953
1976-12-31,23.655660412
1977-01-31,23.67314919
1977-02-28,23.705561105
1977-03-31,23.840526878
1977-04-30,24.124943091
1977-05-31,24.437281902
1977-06-30,24.627869701
1977-07-31,24.699131399
1977-08-31,24.756062632
1977-09-30,24.83765597
1977-10-31,24.975542146
1977-11-30,25.167466906
1977-12-31,25.292896928
1978-01-31,25.26103806
1978-02-28,25.174070302
1978-03-31,25.139964337
1978-04-30,25.228805914
1978-05-31,25.485161867
1978-06-30,25.820002243
1978-07-31,26.12531704
1978-08-31,26.413437644
1978-09-30,26.709538286
1978-10-31,26.907444278
1978-11-30,26.977230974
1978-12-31,26.992585743
1979-01-31,26.985795083
1979-02-28,26.974415117
1979-03-31,27.049170654
1979-04-30,27.204893748
1979-05-31,27.357354332
1979-06-30,27.579995763
1979-07-31,27.930973835
1979-08-31,28.266029008
1979-09-30,28.46562347
1979-10-31,28.582278721
1979-11-30,28.707976599
1979-12-31,28.800030776
1980-01-31,28.82914613
1980-02-29,28.900052193
1980-03-31,29.068958195
1980-04-30,29.311846129
1980-05-31,29.605056328
1980-06-30,29.94892876
1980-07-31,30.32658766
1980-08-31,30.683637257
1980-09-30,30.97995027
1980-10-31,31.234757377
1980-11-30,31.470278582
1980-12-31,31.686699116
1981-01-31,31.921430768
1981-02-28,32.212176503
1981-03-31,32.47995606
1981-04-30,32.627335015
1981-05-31,32.759480551
1981-06-30,33.089088717
1981-07-31,33.629664354
1981-08-31,34.132576159
1981-09-30,34.38512574
1981-10-31,34.356119934
1981-11-30,34.103302907
1981-12-31,33.775301285
1982-01-31,33.531713451
1982-02-28,33.479075513
1982-03-31,33.693830493
1982-04-30,34.162649355
1982-05-31,34.704414896
1982-06-30,35.133464756
1982-07-31,35.392278577
1982-08-31,35.527127589
1982-09-30,35.66300201
1982-10-31,35.906308599
1982-11-30,36.238738968
1982-12-31,36.622786383
1983-01-31,37.050038193
1983-02-28,37.391410938
1983-03-31,37.622120628
1983-04-30,37.889556206
1983-05-31,38.306069971
1983-06-30,38.898211723
1983-07-31,39.5496512
1983-08-31,40.118750002
1983-09-30,40.643363291
1983-10-31,41.280043779
1983-11-30,41.986601024
1983-12-31,42.52396153
1984-01-31,42.799828256
1984-02-29,43.002401132
1984-03-31,43.432642634
1984-04-30,44.164655172
1984-05-31,45.100475267
1984-06-30,46.117549895
1984-07-31,46.952705263
1984-08-31,47.439387983
1984-09-30,47.816292153
1984-10-31,48.297288794
1984-11-30,48.797947892
1984-12-31,49.32859592
1985-01-31,49.967644328
1985-02-28,50.628280647
1985-03-31,51.268989789
1985-04-30,51.86909796
1985-05-31,52.519511008
1985-06-30,53.481493894
1985-07-31,54.637732689
1985-08-31,55.505661548
1985-09-30,55.820132579
1985-10-31,56.179443439
1985-11-30,56.887788394
1985-12-31,57.812350456
1986-01-31,58.705782227
1986-02-28,59.484136563
1986-03-31,60.320090613
1986-04-30,61.274035728
1986-05-31,62.375138735
1986-06-30,63.351315431
1986-07-31,64.381457162
1986-08-31,65.063652664
1986-09-30,65.674362359
1986-10-31,66.753313986
1986-11-30,67.856014967
1986-12-31,68.779599169
1987-01-31,69.321608457
1987-02-28,69.888674427
1987-03-31,70.801339751
1987-04-30,71.78123468
1987-05-31,72.953195495
1987-06-30,74.307722435
1987-07-31,75.311929147
1987-08-31,75.94359069
1987-09-30,76.460311531
1987-10-31,76.998505045
1987-11-30,77.564861681
1987-12-31,77.936432096
1988-01-31,78.100921464
1988-02-29,78.271999296
1988-03-31,78.584472548
1988-04-30,79.081969901
1988-05-31,79.789374352
1988-06-30,80.535784103
1988-07-31,80.946276627
1988-08-31,81.061167011
1988-09-30,81.067136623
1988-10-31,81.03692551
1988-11-30,80.978345592
1988-12-31,80.873706462
1989-01-31,80.883995973
1989-02-28,81.009510428
1989-03-31,81.190941402
1989-04-30,81.446857873
1989-05-31,81.665167522
1989-06-30,81.87265491
1989-07-31,82.135619002
1989-08-31,82.134296503
1989-09-30,81.940782909
1989-10-31,81.857186252
1989-11-30,81.781006271
1989-12-31,81.661287382
1990-01-31,81.573460157
1990-02-28,81.421495012
1990-03-31,81.13170316
1990-04-30,80.926316253
1990-05-31,80.926392589
1990-06-30,80.950449304
1990-07-31,80.846744892
1990-08-31,80.555625312
1990-09-30,80.00500443
1990-10-31,79.360168983
1990-11-30,78.975923904
1990-12-31,78.912407237
1991-01-31,78.806919531
1991-02-28,78.476516508
1991-03-31,78.113413813
1991-04-30,77.935307998
1991-05-31,77.995476322
1991-06-30,78.286449972
1991-07-31,78.42006518
1991-08-31,78.334249342
1991-09-30,78.208318396
1991-10-31,78.035449623
1991-11-30,78.01061055
1991-12-31,77.976489407
1992-01-31,78.008246146
1992-02-29,78.24952547
1992-03-31,78.511133108
1992-04-30,78.61598883
1992-05-31,78.527373282
1992-06-30,78.473241672
1992-07-31,78.494798261
1992-08-31,78.441885067
1992-09-30,78.367153002
1992-10-31,78.545094647
1992-11-30,78.796339264
1992-12-31,78.537850422
1993-01-31,77.95196595
1993-02-28,77.468615131
1993-03-31,77.210719861
1993-04-30,77.232398416
1993-05-31,77.411063394
1993-06-30,77.695158338
1993-07-31,77.929571749
1993-08-31,77.850953034
1993-09-30,77.450467175
1993-10-31,77.183114418
1993-11-30,77.051210415
1993-12-31,76.815708538
1994-01-31,76.722306235
1994-02-28,76.701229025
1994-03-31,76.484823454
1994-04-30,76.49687868
1994-05-31,77.076789755
1994-06-30,77.849867414
1994-07-31,78.337256974
1994-08-31,78.155084205
1994-09-30,77.673330944
1994-10-31,77.436473855
1994-11-30,77.266242794
1994-12-31,76.932517342
1995-01-31,76.649008922
1995-02-28,76.522002903
1995-03-31,76.433453276
1995-04-30,76.487196022
1995-05-31,76.624508074
1995-06-30,76.854396019
1995-07-31,77.143777096
1995-08-31,77.198987527
1995-09-30,76.913322719
1995-10-31,76.593262711
1995-11-30,76.461468642
1995-12-31,76.329658967
1996-01-31,76.272095535
1996-02-29,76.26398538
1996-03-31,76.08410765
1996-04-30,76.155666601
1996-05-31,76.870048103
1996-06-30,77.819544272
1996-07-31,78.357315277
1996-08-31,78.413856845
1996-09-30,78.263141905
1996-10-31,78.003427726
1996-11-30,77.748166533
1996-12-31,77.396852592
1997-01-31,77.08000814
1997-02-28,77.032881459
1997-03-31,77.259106007
1997-04-30,77.805486114
1997-05-31,78.513819026
1997-06-30,79.206898433
1997-07-31,79.674527551
1997-08-31,79.621320782
1997-09-30,79.223686313
1997-10-31,78.935918918
1997-11-30,78.934670039
1997-12-31,79.029317251
1998-01-31,79.031926681
1998-02-28,78.915923436
1998-03-31,79.025260345
1998-04-30,79.681265066
1998-05-31,80.837629771
1998-06-30,82.14236707
1998-07-31,83.025721181
1998-08-31,83.355991039
1998-09-30,83.260377806
1998-10-31,83.124394357
1998-11-30,83.468835668
1998-12-31,83.932665658
1999-01-31,84.20962768
1999-02-28,84.480120349
1999-03-31,84.94121495
1999-04-30,85.693896101
1999-05-31,86.730373361
1999-06-30,88.083477082
1999-07-31,89.412607463
1999-08-31,90.473431669
1999-09-30,90.913573705
1999-10-31,90.852129623
1999-11-30,91.080316063
1999-12-31,91.695814248
2000-01-31,92.089263575
2000-02-29,92.195716131
2000-03-31,92.668234795
2000-04-30,93.75268367
2000-05-31,95.25857516
2000-06-30,96.888302249
2000-07-31,98.058847777
2000-08-31,98.630654076
2000-09-30,98.971565323
2000-10-31,99.296299531
2000-11-30,99.713942431
2000-12-31,100.0
2001-01-31,100.17194371
2001-02-28,100.51497582
2001-03-31,101.16985355
2001-04-30,102.15841748
2001-05-31,103.57672352
2001-06-30,105.34333825
2001-07-31,106.83636211
2001-08-31,107.79883187
2001-09-30,108.38713293
2001-10-31,108.99743509
2001-11-30,109.55684407
2001-12-31,109.81120057
2002-01-31,110.24971372
2002-02-28,110.79841589
2002-03-31,111.67407459
2002-04-30,113.24222933
2002-05-31,115.13826606
2002-06-30,117.21391907
2002-07-31,119.41893791
2002-08-31,121.03806959
2002-09-30,121.70501658
2002-10-31,122.34304897
2002-11-30,123.33109734
2002-12-31,124.32874457
2003-01-31,125.08142917
2003-02-28,125.50797723
2003-03-31,126.14964403
2003-04-30,127.27048079
2003-05-31,128.70249135
2003-06-30,130.66989234
2003-07-31,132.77544337
2003-08-31,134.46726061
2003-09-30,135.68724927
2003-10-31,136.35290048
2003-11-30,136.69198764
2003-12-31,137.16520592
2004-01-31,137.73198597
2004-02-29,138.17803517
2004-03-31,138.82921499
2004-04-30,140.56703609
2004-05-31,143.54902647
2004-06-30,146.6923475
2004-07-31,149.00679647
2004-08-31,150.23678687
2004-09-30,150.88449183
2004-10-31,151.50472494
2004-11-30,151.98427351
2004-12-31,152.22146829
2005-01-31,152.40748871
2005-02-28,152.57367125
2005-03-31,153.42639109
2005-04-30,155.64705008
2005-05-31,158.45217463
2005-06-30,161.20539938
2005-07-31,163.28411347
2005-08-31,164.31344924
2005-09-30,164.95274133
2005-10-31,165.48631988
2005-11-30,165.68252523
2005-12-31,165.42505632
2006-01-31,164.95374721
2006-02-28,164.51437213
2006-03-31,164.75345474
2006-04-30,166.10966294
2006-05-31,167.99516744
2006-06-30,169.56733789
2006-07-31,170.24077715
2006-08-31,169.94903194
2006-09-30,169.29157805
2006-10-31,168.52996097
2006-11-30,167.21701335
2006-12-31,165.09382831
2007-01-31,163.57193887
2007-02-28,163.92126713
2007-03-31,165.43642748
2007-04-30,166.86952447
2007-05-31,167.75045129
2007-06-30,168.54870024
2007-07-31,169.23502356
2007-08-31,169.1523454
2007-09-30,168.39895613
2007-10-31,167.2150323
2007-11-30,165.88155784
2007-12-31,164.5180666
2008-01-31,163.01126171
2008-02-29,161.66733989
2008-03-31,161.07964604
2008-04-30,161.59542054
2008-05-31,162.52205436
2008-06-30,163.44255473
2008-07-31,163.98011118
2008-08-31,163.23859405
2008-09-30,161.64100587
2008-10-31,160.19680931
2008-11-30,158.757366
2008-12-31,156.80420259
2009-01-31,154.48008454
2009-02-28,152.72696388
2009-03-31,152.16573865
