Date,Value
1975-01-31,38.045962014
1975-02-28,37.927245288
1975-03-31,37.860725136
1975-04-30,37.816651035
1975-05-31,37.785912106
1975-06-30,37.795435893
1975-07-31,37.866446168
1975-08-31,38.012598685
1975-09-30,38.238026563
1975-10-31,38.565296159
1975-11-30,38.975173685
1975-12-31,39.377370784
1976-01-31,39.69545678
1976-02-29,39.985742333
1976-03-31,40.297538399
1976-04-30,40.588808282
1976-05-31,40.851047631
1976-06-30,41.162252654
1976-07-31,41.526743647
1976-08-31,41.891367951
1976-09-30,42.220380066
1976-10-31,42.486811926
1976-11-30,42.69184202
1976-12-31,42.876182361
1977-01-31,43.135617424
1977-02-28,43.475038201
1977-03-31,43.837915167
1977-04-30,44.174634251
1977-05-31,44.489695227
1977-06-30,44.969267471
1977-07-31,45.706458272
1977-08-31,46.583743745
1977-09-30,47.48611277
1977-10-31,48.323914591
1977-11-30,49.04110888
1977-12-31,49.614357453
1978-01-31,50.158058543
1978-02-28,50.844423368
1978-03-31,51.672040902
1978-04-30,52.537916828
1978-05-31,53.374901406
1978-06-30,54.197165576
1978-07-31,55.091277203
1978-08-31,56.00525317
1978-09-30,56.806108147
1978-10-31,57.554562743
1978-11-30,58.391422665
1978-12-31,59.286430432
1979-01-31,60.052000633
1979-02-28,60.565597368
1979-03-31,60.852835086
1979-04-30,61.198599085
1979-05-31,61.753159721
1979-06-30,62.425064271
1979-07-31,63.226886921
1979-08-31,64.065731791
1979-09-30,64.858129688
1979-10-31,65.611932068
1979-11-30,66.422775969
1979-12-31,67.379043351
1980-01-31,68.162027769
1980-02-29,68.5001705
1980-03-31,68.595131918
1980-04-30,68.644392554
1980-05-31,68.736082617
1980-06-30,68.98716274
1980-07-31,69.510582697
1980-08-31,70.307711634
1980-09-30,71.100195383
1980-10-31,71.577920805
1980-11-30,71.63408402
1980-12-31,71.432129893
1981-01-31,71.235885325
1981-02-28,71.106450621
1981-03-31,71.135660178
1981-04-30,71.481839406
1981-05-31,72.165080051
1981-06-30,73.14424948
1981-07-31,74.360852557
1981-08-31,75.6378501
1981-09-30,76.738402958
1981-10-31,77.504991844
1981-11-30,77.931792463
1981-12-31,78.142873487
1982-01-31,78.320451548
1982-02-28,78.640198879
1982-03-31,79.129404933
1982-04-30,79.694859871
1982-05-31,80.344976984
1982-06-30,81.135452443
1982-07-31,81.926679088
1982-08-31,82.587928978
1982-09-30,83.156046511
1982-10-31,83.411044065
1982-11-30,83.13519157
1982-12-31,82.721212624
1983-01-31,82.657427707
1983-02-28,82.965030799
1983-03-31,83.405465139
1983-04-30,83.813846124
1983-05-31,84.271340552
1983-06-30,84.780435192
1983-07-31,85.118532029
1983-08-31,85.177049087
1983-09-30,85.098886548
1983-10-31,84.95335687
1983-11-30,84.565175627
1983-12-31,83.973653049
1984-01-31,83.381302273
1984-02-29,82.930263723
1984-03-31,82.756711027
1984-04-30,82.840093956
1984-05-31,82.984598411
1984-06-30,82.981285724
1984-07-31,82.737230124
1984-08-31,82.379701612
1984-09-30,82.057104487
1984-10-31,81.663970865
1984-11-30,81.139545539
1984-12-31,80.74316128
1985-01-31,80.560331743
1985-02-28,80.397712364
1985-03-31,80.163635204
1985-04-30,79.843863137
1985-05-31,79.490341737
1985-06-30,79.277477212
1985-07-31,79.27610777
1985-08-31,79.211916656
1985-09-30,78.874469594
1985-10-31,78.192805768
1985-11-30,77.352839115
1985-12-31,76.860627651
1986-01-31,76.897492974
1986-02-28,77.25744084
1986-03-31,77.709546863
1986-04-30,77.999224716
1986-05-31,77.89323437
1986-06-30,77.46315999
1986-07-31,76.945662773
1986-08-31,76.39349499
1986-09-30,75.742809493
1986-10-31,75.02902394
1986-11-30,74.382865738
1986-12-31,73.934649461
1987-01-31,73.678781352
1987-02-28,73.433231155
1987-03-31,72.975754051
1987-04-30,72.30960367
1987-05-31,71.649229733
1987-06-30,71.00735747
1987-07-31,70.261717812
1987-08-31,69.387471379
1987-09-30,68.527599981
1987-10-31,67.908750208
1987-11-30,67.511773045
1987-12-31,67.056729835
1988-01-31,66.48985427
1988-02-29,66.05224399
1988-03-31,65.87696843
1988-04-30,65.981704393
1988-05-31,66.179641733
1988-06-30,66.1198297
1988-07-31,65.740128846
1988-08-31,65.31891956
1988-09-30,65.101911892
1988-10-31,65.177680646
1988-11-30,65.43859531
1988-12-31,65.610547792
1989-01-31,65.608849639
1989-02-28,65.599409557
1989-03-31,65.649882092
1989-04-30,65.838503187
1989-05-31,66.290838321
1989-06-30,66.855566588
1989-07-31,67.29931064
1989-08-31,67.477663395
1989-09-30,67.357720568
1989-10-31,67.052644764
1989-11-30,66.668686262
1989-12-31,66.438491107
1990-01-31,66.526453532
1990-02-28,66.764331267
1990-03-31,67.088652494
1990-04-30,67.45621231
1990-05-31,67.795387737
1990-06-30,68.024273677
1990-07-31,67.967587306
1990-08-31,67.652578332
1990-09-30,67.299749716
1990-10-31,67.13726049
1990-11-30,67.203596257
1990-12-31,67.511641716
1991-01-31,67.903798054
1991-02-28,68.186594539
1991-03-31,68.502306769
1991-04-30,68.928755637
1991-05-31,69.383865564
1991-06-30,69.644137382
1991-07-31,69.710445829
1991-08-31,69.925790512
1991-09-30,70.327896259
1991-10-31,70.664270219
1991-11-30,70.831524576
1991-12-31,70.976160636
1992-01-31,71.169343476
1992-02-29,71.358289661
1992-03-31,71.492142997
1992-04-30,71.637294629
1992-05-31,71.925600846
1992-06-30,72.17029941
1992-07-31,72.252696524
1992-08-31,72.401689501
1992-09-30,72.705342257
1992-10-31,73.02820317
1992-11-30,73.212653105
1992-12-31,73.236616075
1993-01-31,73.164984292
1993-02-28,73.207125072
1993-03-31,73.581500801
1993-04-30,74.234484461
1993-05-31,74.985136777
1993-06-30,75.608174317
1993-07-31,76.038343861
1993-08-31,76.390298647
1993-09-30,76.691704877
1993-10-31,76.989818775
1993-11-30,77.249412797
1993-12-31,77.30283631
1994-01-31,77.323820906
1994-02-28,77.627210112
1994-03-31,78.219902497
1994-04-30,78.869391385
1994-05-31,79.357207647
1994-06-30,79.58958791
1994-07-31,79.721731194
1994-08-31,79.927301329
1994-09-30,80.130654593
1994-10-31,80.312349644
1994-11-30,80.562662676
1994-12-31,80.751422977
1995-01-31,80.69865554
1995-02-28,80.562448652
1995-03-31,80.665199988
1995-04-30,81.079520867
1995-05-31,81.600496843
1995-06-30,82.070289249
1995-07-31,82.356852444
1995-08-31,82.38683086
1995-09-30,82.310611233
1995-10-31,82.393938738
1995-11-30,82.596205587
1995-12-31,82.687601307
1996-01-31,82.769379806
1996-02-29,83.138046095
1996-03-31,83.800046234
1996-04-30,84.534686684
1996-05-31,85.217440617
1996-06-30,85.682909345
1996-07-31,85.976306797
