Date,Value
1975-01-31,19.688650921
1975-02-28,20.174137268
1975-03-31,20.63453265
1975-04-30,21.051161656
1975-05-31,21.450427537
1975-06-30,21.845852552
1975-07-31,22.196319309
1975-08-31,22.45955535
1975-09-30,22.634435428
1975-10-31,22.742411293
1975-11-30,22.811879992
1975-12-31,22.897530129
1976-01-31,23.017757773
1976-02-29,23.169554111
1976-03-31,23.394079426
1976-04-30,23.688472282
1976-05-31,24.052468254
1976-06-30,24.502254176
1976-07-31,24.979513109
1976-08-31,25.415143354
1976-09-30,25.796372464
1976-10-31,26.160875717
1976-11-30,26.562194941
1976-12-31,26.995035518
1977-01-31,27.36855434
1977-02-28,27.620498608
1977-03-31,27.830982276
1977-04-30,28.15162066
1977-05-31,28.678204581
1977-06-30,29.353623666
1977-07-31,30.023811501
1977-08-31,30.588977365
1977-09-30,31.017240931
1977-10-31,31.323897343
1977-11-30,31.594378427
1977-12-31,31.913841696
1978-01-31,32.312974914
1978-02-28,32.780415805
1978-03-31,33.305075426
1978-04-30,33.919478649
1978-05-31,34.585507698
1978-06-30,35.249532286
1978-07-31,35.879657713
1978-08-31,36.425643704
1978-09-30,36.869853467
1978-10-31,37.277871741
1978-11-30,37.690527788
1978-12-31,38.070805989
1979-01-31,38.372455297
1979-02-28,38.568893379
1979-03-31,38.721937172
1979-04-30,38.953275263
1979-05-31,39.349419049
1979-06-30,39.833025131
1979-07-31,40.304782239
1979-08-31,40.765586933
1979-09-30,41.165174067
1979-10-31,41.405889798
1979-11-30,41.484447101
1979-12-31,41.492601893
1980-01-31,41.501222239
1980-02-29,41.562603344
1980-03-31,41.718630843
1980-04-30,41.949571403
1980-05-31,42.24494462
1980-06-30,42.614481105
1980-07-31,42.971710855
1980-08-31,43.178381316
1980-09-30,43.162395222
1980-10-31,42.94134246
1980-11-30,42.60066545
1980-12-31,42.26906763
1981-01-31,42.043442199
1981-02-28,41.9051839
1981-03-31,41.802026178
1981-04-30,41.674182398
1981-05-31,41.441113976
1981-06-30,41.041294172
1981-07-31,40.478491654
1981-08-31,39.844919275
1981-09-30,39.23308922
1981-10-31,38.742203378
1981-11-30,38.511905681
1981-12-31,38.604731599
1982-01-31,38.928319718
1982-02-28,39.348390228
1982-03-31,39.793853617
1982-04-30,40.226447926
1982-05-31,40.598468241
1982-06-30,40.888209154
1982-07-31,41.124701631
1982-08-31,41.377749377
1982-09-30,41.684805014
1982-10-31,41.991647101
1982-11-30,42.229691552
1982-12-31,42.365590946
1983-01-31,42.368025828
1983-02-28,42.241497446
1983-03-31,42.043357825
1983-04-30,41.822758638
1983-05-31,41.621880132
1983-06-30,41.449924106
1983-07-31,41.273390591
1983-08-31,41.099317088
1983-09-30,40.988331289
1983-10-31,40.941020797
1983-11-30,40.92319358
1983-12-31,40.875369453
1984-01-31,40.709993976
1984-02-29,40.461874336
1984-03-31,40.224303574
1984-04-30,40.01999827
1984-05-31,39.848222963
1984-06-30,39.689449715
1984-07-31,39.538940017
1984-08-31,39.569700652
1984-09-30,39.995886916
1984-10-31,40.751293435
1984-11-30,41.535606149
1984-12-31,41.943120006
1985-01-31,41.689321938
1985-02-28,41.046668848
1985-03-31,40.451398677
1985-04-30,40.030787073
1985-05-31,39.74691967
1985-06-30,39.560554162
1985-07-31,39.528672455
1985-08-31,39.640130895
1985-09-30,39.776086193
1985-10-31,39.887860756
1985-11-30,39.903492098
1985-12-31,39.673824429
1986-01-31,39.260160553
1986-02-28,38.812577874
1986-03-31,38.526501497
1986-04-30,38.830492758
1986-05-31,39.564065451
1986-06-30,40.072441582
1986-07-31,40.097586944
1986-08-31,39.697264248
1986-09-30,39.17023175
1986-10-31,39.115130028
1986-11-30,39.485179823
1986-12-31,39.740200494
1987-01-31,39.834007718
1987-02-28,39.896697337
1987-03-31,39.947159199
1987-04-30,39.981547606
1987-05-31,40.0299932
1987-06-30,40.010420545
1987-07-31,39.930802462
1987-08-31,39.927751366
1987-09-30,39.98920599
1987-10-31,39.998013939
1987-11-30,39.912955387
1987-12-31,39.797435693
1988-01-31,39.728651613
1988-02-29,39.757386437
1988-03-31,39.941782186
1988-04-30,40.274556896
1988-05-31,40.670435173
1988-06-30,41.092009941
1988-07-31,41.554861715
1988-08-31,41.935045827
1988-09-30,42.061502208
1988-10-31,42.000751281
1988-11-30,42.03429175
1988-12-31,42.23963769
1989-01-31,42.479268402
1989-02-28,42.737972919
1989-03-31,43.035478645
1989-04-30,43.344375217
1989-05-31,43.789250214
1989-06-30,44.448657562
1989-07-31,45.03762563
1989-08-31,45.335187944
1989-09-30,45.523828719
1989-10-31,45.856155791
1989-11-30,46.35665666
1989-12-31,46.913441772
1990-01-31,47.491086165
1990-02-28,48.141134551
1990-03-31,48.911701296
1990-04-30,49.778486277
1990-05-31,50.638519575
1990-06-30,51.476293456
1990-07-31,52.261821
1990-08-31,52.90596077
1990-09-30,53.363244782
1990-10-31,53.638102192
1990-11-30,53.716588935
1990-12-31,53.715424655
1991-01-31,53.860018407
1991-02-28,54.168272435
1991-03-31,54.584793447
1991-04-30,55.092652471
1991-05-31,55.629200393
1991-06-30,56.11354527
1991-07-31,56.566296643
1991-08-31,56.924197359
1991-09-30,57.141845474
1991-10-31,57.376184882
1991-11-30,57.758263638
1991-12-31,58.253184642
1992-01-31,58.755424932
1992-02-29,59.257165668
1992-03-31,59.722971648
1992-04-30,60.122707445
1992-05-31,60.610409256
1992-06-30,61.131435287
1992-07-31,61.45414364
1992-08-31,61.714341801
1992-09-30,62.161153351
1992-10-31,62.704126453
1992-11-30,63.144082367
1992-12-31,63.427600425
1993-01-31,63.615438801
1993-02-28,63.916932049
1993-03-31,64.451760481
1993-04-30,65.075813866
1993-05-31,65.750735936
1993-06-30,66.517185359
1993-07-31,67.165583852
1993-08-31,67.571701371
1993-09-30,67.924990907
1993-10-31,68.314988598
1993-11-30,68.627974958
1993-12-31,68.975733049
1994-01-31,69.556262064
1994-02-28,70.417979995
1994-03-31,71.482820603
1994-04-30,72.498881174
1994-05-31,73.28605237
1994-06-30,73.874846565
1994-07-31,74.310921483
1994-08-31,74.745854008
1994-09-30,75.254110289
1994-10-31,75.667763901
1994-11-30,76.045077279
1994-12-31,76.550193399
1995-01-31,77.14964106
1995-02-28,77.820821051
1995-03-31,78.406529749
1995-04-30,78.867051923
1995-05-31,79.339207642
1995-06-30,79.691549412
1995-07-31,80.083069546
1995-08-31,80.608316712
1995-09-30,80.868770828
1995-10-31,80.925073272
1995-11-30,81.078094144
1995-12-31,81.313324312
1996-01-31,81.616272236
1996-02-29,82.271807416
1996-03-31,83.389277978
1996-04-30,84.456545854
1996-05-31,85.179433348
1996-06-30,85.700779253
1996-07-31,86.046340802
1996-08-31,86.324207599
1996-09-30,86.620030844
1996-10-31,86.71853125
1996-11-30,86.773190625
1996-12-31,87.160374029
1997-01-31,87.71639239
1997-02-28,88.322051154
1997-03-31,89.030159434
1997-04-30,89.694721157
1997-05-31,90.091965833
1997-06-30,90.323363273
1997-07-31,90.690739335
1997-08-31,90.979062057
1997-09-30,91.024604317
1997-10-31,90.949208602
1997-11-30,90.816017213
1997-12-31,90.604461445
1998-01-31,90.535762711
1998-02-28,91.012768749
1998-03-31,91.933425662
1998-04-30,92.815564304
1998-05-31,93.31668732
1998-06-30,93.558330791
1998-07-31,93.76703855
1998-08-31,93.995686423
1998-09-30,94.133998941
1998-10-31,94.044264535
1998-11-30,93.900373537
1998-12-31,93.907558989
1999-01-31,94.116610335
1999-02-28,94.601437633
1999-03-31,95.247415881
1999-04-30,95.8607245
1999-05-31,96.432203605
1999-06-30,96.82357084
1999-07-31,97.057417662
1999-08-31,97.334096928
1999-09-30,97.374050382
1999-10-31,97.150617545
1999-11-30,97.10788146
1999-12-31,97.470317534
2000-01-31,97.877050442
2000-02-29,98.30062358
2000-03-31,98.949101773
2000-04-30,99.607539648
2000-05-31,100.26222369
2000-06-30,100.57803685
2000-07-31,100.57766986
2000-08-31,100.57308601
2000-09-30,100.46846776
2000-10-31,100.34268475
2000-11-30,100.14988478
2000-12-31,100.0
2001-01-31,100.2112455
2001-02-28,100.80346275
2001-03-31,101.64211654
2001-04-30,102.43274837
2001-05-31,103.17663111
2001-06-30,103.87089639
2001-07-31,104.37036039
2001-08-31,104.60342655
2001-09-30,104.59575297
2001-10-31,104.47402621
2001-11-30,104.53301786
2001-12-31,104.83996747
2002-01-31,105.17989695
2002-02-28,105.70592635
2002-03-31,106.51182085
2002-04-30,107.55294288
2002-05-31,108.63344431
2002-06-30,109.51849169
2002-07-31,110.13797449
2002-08-31,110.56072895
2002-09-30,110.78336361
2002-10-31,110.93402913
2002-11-30,111.04695964
2002-12-31,111.156808
2003-01-31,111.42642516
2003-02-28,111.85523423
2003-03-31,112.64560703
2003-04-30,113.88233577
2003-05-31,115.23662511
2003-06-30,116.33281128
2003-07-31,117.09155674
2003-08-31,117.8233373
2003-09-30,118.44249953
2003-10-31,118.72500984
2003-11-30,118.8474304
2003-12-31,118.95558632
2004-01-31,119.34585417
2004-02-29,120.27554186
2004-03-31,121.86110575
2004-04-30,123.71812245
2004-05-31,125.66318778
2004-06-30,127.60645123
2004-07-31,129.22219098
2004-08-31,130.51623268
2004-09-30,131.43781185
2004-10-31,132.08201835
2004-11-30,132.7119456
2004-12-31,133.47651251
2005-01-31,134.59253508
2005-02-28,136.1607042
2005-03-31,138.49461034
2005-04-30,141.67241177
2005-05-31,144.95464187
2005-06-30,148.14503291
2005-07-31,151.238493
2005-08-31,153.99435342
2005-09-30,156.2074216
2005-10-31,157.91366405
2005-11-30,159.30824221
2005-12-31,160.44911867
2006-01-31,161.77301697
2006-02-28,163.70520833
2006-03-31,166.28633074
2006-04-30,169.17057353
2006-05-31,171.84049787
2006-06-30,174.27262689
2006-07-31,176.12765158
2006-08-31,176.78179281
2006-09-30,176.36085471
2006-10-31,175.47067671
2006-11-30,174.60877688
2006-12-31,174.25462628
2007-01-31,174.7250829
2007-02-28,176.10564383
2007-03-31,178.0472115
2007-04-30,179.88597123
2007-05-31,181.23910263
2007-06-30,181.92575483
2007-07-31,181.54901783
2007-08-31,180.14947306
2007-09-30,178.40390414
2007-10-31,176.60579818
2007-11-30,174.65794956
2007-12-31,172.76348812
2008-01-31,171.2583576
2008-02-29,170.49728867
2008-03-31,170.51681313
2008-04-30,170.66916089
2008-05-31,170.70067226
2008-06-30,170.30604017
2008-07-31,169.05714368
2008-08-31,167.03965911
2008-09-30,164.25653368
2008-10-31,160.76886701
2008-11-30,157.17968091
2008-12-31,154.4154935
2009-01-31,152.89827799
2009-02-28,151.96450433
2009-03-31,150.90716966
2009-04-30,149.7706907
2009-05-31,149.10781669
2009-06-30,149.23044806
2009-07-31,149.4511107
2009-08-31,149.10909727
2009-09-30,148.30586934
2009-10-31,146.97735894
2009-11-30,145.09334252
2009-12-31,143.20525144
2010-01-31,141.98968035
2010-02-28,141.75763972
2010-03-31,142.52312664
2010-04-30,143.66049582
2010-05-31,143.95883949
2010-06-30,142.91009628
2010-07-31,141.00952461
2010-08-31,138.9797933
2010-09-30,137.07820827
2010-10-31,135.23430559
2010-11-30,133.24783365
2010-12-31,131.12943444
2011-01-31,129.35593097
2011-02-28,128.49307198
2011-03-31,128.6310928
2011-04-30,129.2070362
2011-05-31,129.81292299
2011-06-30,130.61279771
2011-07-31,131.41227532
2011-08-31,131.38362072
2011-09-30,130.49941142
2011-10-31,129.42500628
2011-11-30,128.2478354
2011-12-31,126.82281025
2012-01-31,125.67288917
2012-02-29,125.51988675
2012-03-31,126.70314213
2012-04-30,128.8583424
2012-05-31,130.94956418
2012-06-30,132.4490867
2012-07-31,133.45725006
2012-08-31,134.28418234
2012-09-30,135.02033894
2012-10-31,135.37771416
2012-11-30,135.3701584
2012-12-31,135.44423251
2013-01-31,136.0147446
2013-02-28,137.5867307
2013-03-31,140.47511229
2013-04-30,143.91326568
2013-05-31,146.83938419
2013-06-30,149.25257737
2013-07-31,151.20493083
2013-08-31,152.16427168
2013-09-30,152.48016291
2013-10-31,152.29664459
2013-11-30,151.65307594
2013-12-31,151.28546847
2014-01-31,151.81437863
