Date,Value
1975-01-31,28.664830031
1975-02-28,29.01549246
1975-03-31,29.292796839
1975-04-30,29.503126209
1975-05-31,29.7441333
1975-06-30,30.013125429
1975-07-31,30.179311566
1975-08-31,30.077160697
1975-09-30,29.639879167
1975-10-31,29.118912497
1975-11-30,29.292693873
1975-12-31,30.148731743
1976-01-31,30.871112762
1976-02-29,31.268764187
1976-03-31,31.435647136
1976-04-30,31.482291426
1976-05-31,31.59382709
1976-06-30,31.875377094
1976-07-31,32.087242237
1976-08-31,31.908823768
1976-09-30,31.351344335
1976-10-31,30.978218918
1976-11-30,31.334704122
1976-12-31,32.077079235
1977-01-31,32.616047162
1977-02-28,32.896024308
1977-03-31,33.013343213
1977-04-30,33.095120748
1977-05-31,33.338851872
1977-06-30,33.747478322
1977-07-31,34.133123632
1977-08-31,34.381374684
1977-09-30,34.389414059
1977-10-31,34.488738967
1977-11-30,35.013410433
1977-12-31,35.587466762
1978-01-31,35.949540628
1978-02-28,36.232158315
1978-03-31,36.588533087
1978-04-30,37.056428847
1978-05-31,37.516026788
1978-06-30,37.861133599
1978-07-31,38.115949659
1978-08-31,38.202290281
1978-09-30,37.897718357
1978-10-31,37.649768146
1978-11-30,38.142912108
1978-12-31,38.986023866
1979-01-31,39.618725746
1979-02-28,40.03474413
1979-03-31,40.299047407
1979-04-30,40.49297582
1979-05-31,40.776633635
1979-06-30,41.188979354
1979-07-31,41.490312308
1979-08-31,41.60560609
1979-09-30,41.648771621
1979-10-31,41.87902886
1979-11-30,42.438393096
1979-12-31,43.018797234
1980-01-31,43.47243469
1980-02-29,43.783230577
1980-03-31,43.809248936
1980-04-30,43.64621512
1980-05-31,43.550093438
1980-06-30,43.634790584
1980-07-31,43.896106191
1980-08-31,44.331957363
1980-09-30,44.678648531
1980-10-31,44.698598839
1980-11-30,44.598339232
1980-12-31,44.625392454
1981-01-31,44.807619185
1981-02-28,45.079311048
1981-03-31,45.374960293
1981-04-30,45.671197005
1981-05-31,46.017367416
1981-06-30,46.361972107
1981-07-31,46.448942627
1981-08-31,46.151334843
1981-09-30,45.590297091
1981-10-31,45.072126968
1981-11-30,44.857048572
1981-12-31,44.842063158
1982-01-31,44.867698219
1982-02-28,44.964102346
1982-03-31,45.174291412
1982-04-30,45.483377641
1982-05-31,45.845412318
1982-06-30,46.157679189
1982-07-31,46.315044876
1982-08-31,46.284709031
1982-09-30,46.124528646
1982-10-31,46.017488686
1982-11-30,46.070605408
1982-12-31,46.163512673
1983-01-31,46.24861497
1983-02-28,46.539061373
1983-03-31,47.029381912
1983-04-30,47.524327092
1983-05-31,47.956168157
1983-06-30,48.372308829
1983-07-31,48.731565938
1983-08-31,48.90275709
1983-09-30,49.038367387
1983-10-31,49.336893081
1983-11-30,49.704973397
1983-12-31,49.843558248
1984-01-31,49.836026846
1984-02-29,49.938847561
1984-03-31,50.135366862
1984-04-30,50.327618713
1984-05-31,50.601251938
1984-06-30,51.023893031
1984-07-31,51.344887568
1984-08-31,51.553790896
1984-09-30,51.720942811
1984-10-31,51.735846196
1984-11-30,51.72118786
1984-12-31,51.795999391
1985-01-31,51.886953726
1985-02-28,51.944015155
1985-03-31,52.054891642
1985-04-30,52.401816507
1985-05-31,53.048423153
1985-06-30,53.856806559
1985-07-31,54.389919265
1985-08-31,54.475596722
1985-09-30,54.554289182
1985-10-31,54.862310035
1985-11-30,55.148113532
1985-12-31,55.358034938
1986-01-31,55.53515387
1986-02-28,55.755932944
1986-03-31,56.104292152
1986-04-30,56.641828061
1986-05-31,57.382678735
1986-06-30,58.3660676
1986-07-31,59.467609492
1986-08-31,60.237651129
1986-09-30,60.698032285
1986-10-31,61.177622757
1986-11-30,61.68275597
1986-12-31,62.07700392
1987-01-31,62.461175194
1987-02-28,62.813819197
1987-03-31,63.332501777
1987-04-30,64.324691736
1987-05-31,65.652096631
1987-06-30,67.008172249
1987-07-31,68.095930146
1987-08-31,68.754180248
1987-09-30,69.280347649
1987-10-31,69.92623485
1987-11-30,70.372870327
1987-12-31,70.518771034
1988-01-31,70.775790816
1988-02-29,71.376698983
1988-03-31,72.165517081
1988-04-30,73.041819396
1988-05-31,74.039151409
1988-06-30,75.079126545
1988-07-31,75.835454257
1988-08-31,76.253218343
1988-09-30,76.622751345
1988-10-31,76.994579493
1988-11-30,77.286822202
1988-12-31,77.617285035
1989-01-31,77.944609925
1989-02-28,78.167059885
1989-03-31,78.399913107
1989-04-30,78.867810951
1989-05-31,79.677733194
1989-06-30,80.384768366
1989-07-31,80.649925639
1989-08-31,80.865851089
1989-09-30,81.192035193
1989-10-31,81.377076431
1989-11-30,81.496604651
1989-12-31,81.662293346
1990-01-31,81.923777738
1990-02-28,82.154583765
1990-03-31,82.223285844
1990-04-30,82.36147833
1990-05-31,82.646868973
1990-06-30,82.953346784
1990-07-31,83.144603938
1990-08-31,83.126942652
1990-09-30,82.963692762
1990-10-31,82.783952213
1990-11-30,82.50186688
1990-12-31,82.218263498
1991-01-31,82.295237703
1991-02-28,82.471640046
1991-03-31,82.542242936
1991-04-30,82.800657674
1991-05-31,83.328572032
1991-06-30,83.674345404
1991-07-31,83.66701747
1991-08-31,83.507477863
1991-09-30,83.513057106
1991-10-31,83.851707545
1991-11-30,84.134822851
1991-12-31,84.071638586
1992-01-31,84.00900797
1992-02-29,84.248154301
1992-03-31,84.44941273
1992-04-30,84.528988727
1992-05-31,84.756320378
1992-06-30,85.014552878
1992-07-31,85.033655258
1992-08-31,84.967862644
1992-09-30,84.914084315
1992-10-31,85.010457869
1992-11-30,85.199658846
1992-12-31,84.994830702
1993-01-31,84.668839483
1993-02-28,84.574167231
1993-03-31,84.597733276
1993-04-30,84.75380941
1993-05-31,85.091886275
1993-06-30,85.459201567
1993-07-31,85.675019197
1993-08-31,85.885725591
1993-09-30,85.91419495
1993-10-31,85.8371587
1993-11-30,85.814596877
1993-12-31,85.523220144
1994-01-31,85.125429683
1994-02-28,84.972554716
1994-03-31,85.140889081
1994-04-30,85.730881341
1994-05-31,86.496409385
1994-06-30,86.961069383
1994-07-31,86.917188173
1994-08-31,86.712236133
1994-09-30,86.674992291
1994-10-31,86.592709677
1994-11-30,86.348026899
1994-12-31,86.013518187
1995-01-31,85.701525853
1995-02-28,85.551901305
1995-03-31,85.65554128
1995-04-30,85.948387272
1995-05-31,86.289606593
1995-06-30,86.550249772
1995-07-31,86.651958188
1995-08-31,86.707273252
1995-09-30,86.752211732
1995-10-31,86.643171577
1995-11-30,86.39540163
1995-12-31,85.957949873
1996-01-31,85.742402681
1996-02-29,85.854070156
1996-03-31,86.098111731
1996-04-30,86.556710301
1996-05-31,87.173015664
1996-06-30,87.973785583
1996-07-31,88.454079736
1996-08-31,88.276381157
1996-09-30,87.929042791
1996-10-31,87.741829269
1996-11-30,87.615196043
1996-12-31,87.479693185
1997-01-31,87.411780717
1997-02-28,87.470160587
1997-03-31,87.727811009
1997-04-30,88.143472923
1997-05-31,88.591077859
1997-06-30,89.074594621
1997-07-31,89.248362299
1997-08-31,88.960865888
1997-09-30,88.663821525
1997-10-31,88.5560484
1997-11-30,88.561653154
1997-12-31,88.434572733
1998-01-31,88.331195886
1998-02-28,88.494598972
1998-03-31,88.837809766
1998-04-30,89.400936733
1998-05-31,90.120582477
1998-06-30,90.772955613
1998-07-31,91.197756198
1998-08-31,91.277222566
1998-09-30,91.169432682
1998-10-31,91.139085843
1998-11-30,91.196620383
1998-12-31,91.255605311
1999-01-31,91.308262549
1999-02-28,91.434508796
1999-03-31,91.900457821
1999-04-30,92.602995915
1999-05-31,93.389877375
1999-06-30,94.323379139
1999-07-31,95.012569483
1999-08-31,95.146535067
1999-09-30,94.968145162
1999-10-31,95.007343613
1999-11-30,95.234165564
1999-12-31,95.451236272
2000-01-31,95.583653156
2000-02-29,95.840578798
2000-03-31,96.5461165
2000-04-30,97.528566835
2000-05-31,98.46935491
2000-06-30,99.264266726
2000-07-31,99.640137077
2000-08-31,99.695441343
2000-09-30,99.82471013
2000-10-31,99.895638256
2000-11-30,99.949597813
2000-12-31,100.0
2001-01-31,99.970609896
2001-02-28,100.13748716
2001-03-31,100.94098665
2001-04-30,102.08354477
2001-05-31,103.10065288
2001-06-30,104.23892715
2001-07-31,105.19881695
2001-08-31,105.60513492
2001-09-30,105.63692572
2001-10-31,105.71197033
2001-11-30,106.01428735
2001-12-31,106.27103228
2002-01-31,106.80899317
2002-02-28,107.51669566
2002-03-31,108.1487534
2002-04-30,109.09419298
2002-05-31,110.43013543
2002-06-30,112.16156211
2002-07-31,113.59112413
2002-08-31,114.19438081
2002-09-30,114.5990545
2002-10-31,115.23774708
2002-11-30,115.9531623
2002-12-31,116.25727885
2003-01-31,116.44199296
2003-02-28,116.78041654
2003-03-31,117.56797194
2003-04-30,119.06935484
2003-05-31,120.68228157
2003-06-30,122.28467731
2003-07-31,123.82801197
2003-08-31,125.05709253
2003-09-30,125.54322966
2003-10-31,125.52041982
2003-11-30,125.64329803
2003-12-31,125.90043849
2004-01-31,126.58296882
2004-02-29,127.67002715
2004-03-31,128.8681614
2004-04-30,130.6768619
2004-05-31,133.0170483
2004-06-30,135.14105749
2004-07-31,136.76965457
2004-08-31,137.731817
2004-09-30,138.07598103
2004-10-31,138.36395467
2004-11-30,138.98596616
2004-12-31,139.63157141
2005-01-31,139.94410094
2005-02-28,140.46191481
2005-03-31,141.87451315
2005-04-30,143.90164862
2005-05-31,146.08068411
2005-06-30,148.12909086
2005-07-31,149.98541205
2005-08-31,151.57132692
2005-09-30,152.2774803
2005-10-31,152.38633472
2005-11-30,152.43301794
2005-12-31,152.2325714
2006-01-31,151.95696277
2006-02-28,152.43426074
2006-03-31,153.7470392
2006-04-30,155.55585551
2006-05-31,157.66340251
2006-06-30,159.11099087
2006-07-31,159.44502299
2006-08-31,159.06170491
2006-09-30,158.70827937
2006-10-31,158.36628001
2006-11-30,157.47230692
2006-12-31,156.59783358
2007-01-31,156.46791165
2007-02-28,156.97793518
2007-03-31,158.11180232
2007-04-30,159.6420302
2007-05-31,160.85206817
2007-06-30,161.70433125
2007-07-31,162.12827571
2007-08-31,161.68095293
2007-09-30,160.55455544
2007-10-31,159.02527624
2007-11-30,157.76652823
2007-12-31,156.93163217
2008-01-31,156.20677411
2008-02-29,155.96775078
2008-03-31,156.34777341
2008-04-30,156.8928847
2008-05-31,157.46625608
2008-06-30,158.09162358
2008-07-31,158.08055057
2008-08-31,157.10845839
2008-09-30,155.78181181
2008-10-31,154.51159653
2008-11-30,152.78280523
2008-12-31,150.64362997
2009-01-31,148.9482404
2009-02-28,148.26540168
2009-03-31,148.67959746
2009-04-30,149.6442358
2009-05-31,150.66764525
2009-06-30,151.68536672
2009-07-31,152.34108438
2009-08-31,152.20983761
2009-09-30,151.79383101
2009-10-31,151.247168
2009-11-30,150.20596799
2009-12-31,149.01821058
2010-01-31,148.36936015
2010-02-28,148.4009377
2010-03-31,148.94149921
2010-04-30,149.93825754
2010-05-31,150.96105903
2010-06-30,151.36279429
2010-07-31,150.50074855
2010-08-31,149.23419507
2010-09-30,148.4111523
2010-10-31,147.6071586
2010-11-30,146.35314486
2010-12-31,144.4620381
2011-01-31,142.92370383
2011-02-28,142.48028504
2011-03-31,143.22291578
2011-04-30,144.52793494
2011-05-31,145.57333718
2011-06-30,146.30112776
2011-07-31,146.48551357
2011-08-31,145.9432739
2011-09-30,144.82042366
2011-10-31,143.39357854
2011-11-30,142.03844285
2011-12-31,140.94424365
2012-01-31,140.08592732
2012-02-29,139.59439569
2012-03-31,140.01762494
2012-04-30,141.73364305
2012-05-31,143.81738817
2012-06-30,145.2692294
2012-07-31,145.60584193
2012-08-31,144.86850666
2012-09-30,144.09927528
2012-10-31,143.81143861
2012-11-30,143.73912726
2012-12-31,143.37589436
2013-01-31,142.76405562
2013-02-28,142.91658837
2013-03-31,144.16782462
2013-04-30,145.83393413
2013-05-31,147.34865237
2013-06-30,148.87267601
2013-07-31,150.03603118
2013-08-31,149.92937264
2013-09-30,149.33767756
2013-10-31,148.86809414
2013-11-30,147.86395898
2013-12-31,146.54150974
2014-01-31,145.8343082
2014-02-28,146.23535539
2014-03-31,147.41320216
2014-04-30,149.03017687
2014-05-31,150.79706517
2014-06-30,152.1751102
2014-07-31,152.90458861
2014-08-31,152.61906399
2014-09-30,151.57366592
2014-10-31,150.56446621
2014-11-30,149.7728319
2014-12-31,149.15216237
2015-01-31,148.65888213
2015-02-28,148.57103123
2015-03-31,149.34304617
2015-04-30,151.14167044
2015-05-31,153.35870511
2015-06-30,154.8651167
2015-07-31,155.4383678
2015-08-31,155.43929169
2015-09-30,154.95285963
2015-10-31,154.10243105
2015-11-30,152.97869563
2015-12-31,151.73363639
2016-01-31,151.14329408
2016-02-29,151.6467394
2016-03-31,153.13919196
2016-04-30,155.65632755
2016-05-31,158.42920142
2016-06-30,160.29327686
2016-07-31,160.79234801
2016-08-31,160.42718158
2016-09-30,159.92446466
2016-10-31,159.50330038
2016-11-30,158.99982206
2016-12-31,158.1034349
2017-01-31,157.5178542
2017-02-28,158.48596647
2017-03-31,160.50059644
2017-04-30,162.52378375
2017-05-31,164.74832934
2017-06-30,166.585349
