Date,Value
1975-01-31,20.073069062
1975-02-28,20.490709619
1975-03-31,20.912900325
1975-04-30,21.337848453
1975-05-31,21.750495127
1975-06-30,22.10632171
1975-07-31,22.372919456
1975-08-31,22.562973473
1975-09-30,22.690194124
1975-10-31,22.748315615
1975-11-30,22.751384594
1975-12-31,22.722803785
1976-01-31,22.701163756
1976-02-29,22.750132877
1976-03-31,22.895823134
1976-04-30,23.118017219
1976-05-31,23.385556453
1976-06-30,23.651804487
1976-07-31,23.87076786
1976-08-31,24.032308495
1976-09-30,24.142971482
1976-10-31,24.227995376
1976-11-30,24.307307895
1976-12-31,24.408999517
1977-01-31,24.543393974
1977-02-28,24.688419341
1977-03-31,24.89640571
1977-04-30,25.211860294
1977-05-31,25.540507114
1977-06-30,25.75193477
1977-07-31,25.826628063
1977-08-31,25.88082399
1977-09-30,26.019720779
1977-10-31,26.201462601
1977-11-30,26.358045458
1977-12-31,26.496840414
1978-01-31,26.629211765
1978-02-28,26.780962357
1978-03-31,27.015846647
1978-04-30,27.373662581
1978-05-31,27.783390858
1978-06-30,28.128647249
1978-07-31,28.439829348
1978-08-31,28.880339561
1978-09-30,29.460559279
1978-10-31,30.070668182
1978-11-30,30.645022811
1978-12-31,31.150471456
1979-01-31,31.607919434
1979-02-28,31.974789032
1979-03-31,32.199134443
1979-04-30,32.301560287
1979-05-31,32.350995857
1979-06-30,32.456754178
1979-07-31,32.681996368
1979-08-31,32.992736203
1979-09-30,33.315030273
1979-10-31,33.591872731
1979-11-30,33.798360581
1979-12-31,33.943547221
1980-01-31,34.050054829
1980-02-29,34.152774478
1980-03-31,34.28970739
1980-04-30,34.467781969
1980-05-31,34.652434307
1980-06-30,34.785103681
1980-07-31,34.812716431
1980-08-31,34.739224138
1980-09-30,34.606197331
1980-10-31,34.447298879
1980-11-30,34.31155002
1980-12-31,34.238495769
1981-01-31,34.259916449
1981-02-28,34.354826886
1981-03-31,34.456043953
1981-04-30,34.517963761
1981-05-31,34.538791042
1981-06-30,34.55151317
1981-07-31,34.570889521
1981-08-31,34.599004713
1981-09-30,34.62968597
1981-10-31,34.650126815
1981-11-30,34.654743215
1981-12-31,34.642962411
1982-01-31,34.614901454
1982-02-28,34.575473254
1982-03-31,34.519799549
1982-04-30,34.44380093
1982-05-31,34.359835474
1982-06-30,34.299693228
1982-07-31,34.312722143
1982-08-31,34.420876115
1982-09-30,34.626405197
1982-10-31,34.94698837
1982-11-30,35.381851517
1982-12-31,35.889619649
1983-01-31,36.413437669
1983-02-28,36.905579994
1983-03-31,37.344306407
1983-04-30,37.747584957
1983-05-31,38.172186002
1983-06-30,38.691775139
1983-07-31,39.282553402
1983-08-31,39.781061172
1983-09-30,40.068668958
1983-10-31,40.146975276
1983-11-30,40.07536131
1983-12-31,39.928408374
1984-01-31,39.815193809
1984-02-29,39.870588982
1984-03-31,40.128268175
1984-04-30,40.510960381
1984-05-31,40.955871088
1984-06-30,41.40217134
1984-07-31,41.784914338
1984-08-31,42.105860368
1984-09-30,42.403997782
1984-10-31,42.726992024
1984-11-30,43.105078046
1984-12-31,43.506132676
1985-01-31,43.871026757
1985-02-28,44.21594728
1985-03-31,44.621759909
1985-04-30,45.132382346
1985-05-31,45.737682857
1985-06-30,46.372197402
1985-07-31,46.993393407
1985-08-31,47.671058001
1985-09-30,48.47698295
1985-10-31,49.387675123
1985-11-30,50.239725362
1985-12-31,50.939868177
1986-01-31,51.548036349
1986-02-28,52.117852289
1986-03-31,52.760404448
1986-04-30,53.647279866
1986-05-31,54.800849042
1986-06-30,56.179124041
1986-07-31,57.788358288
1986-08-31,59.490737097
1986-09-30,61.234622223
1986-10-31,63.209026031
1986-11-30,65.396441891
1986-12-31,67.391376613
1987-01-31,68.814427341
1987-02-28,69.796987027
1987-03-31,70.92567912
1987-04-30,72.582322844
1987-05-31,74.645588703
1987-06-30,76.745757175
1987-07-31,78.608473493
1987-08-31,80.167581106
1987-09-30,81.48011931
1987-10-31,82.616170049
1987-11-30,83.512385668
