Date,Value
1975-01-31,30.979994692
1975-02-28,31.359484786
1975-03-31,31.640728544
1975-04-30,31.793415821
1975-05-31,31.886074897
1975-06-30,32.008111958
1975-07-31,32.189283682
1975-08-31,32.389719846
1975-09-30,32.528683773
1975-10-31,32.535385758
1975-11-30,32.411689488
1975-12-31,32.223884995
1976-01-31,32.011099798
1976-02-29,31.799752431
1976-03-31,31.666880383
1976-04-30,31.730809282
1976-05-31,32.025984191
1976-06-30,32.42969089
1976-07-31,32.783795742
1976-08-31,33.032090973
1976-09-30,33.180762156
1976-10-31,33.2580351
1976-11-30,33.301370668
1976-12-31,33.330169697
1977-01-31,33.37263923
1977-02-28,33.479826491
1977-03-31,33.729400346
1977-04-30,34.137902759
1977-05-31,34.58302515
1977-06-30,34.885850726
1977-07-31,34.974480285
1977-08-31,34.970148992
1977-09-30,35.037025253
1977-10-31,35.237340953
1977-11-30,35.560228939
1977-12-31,35.940399721
1978-01-31,36.306421643
1978-02-28,36.599336088
1978-03-31,36.793799793
1978-04-30,37.002950729
1978-05-31,37.288612902
1978-06-30,37.579414771
1978-07-31,37.869064884
1978-08-31,38.167795603
1978-09-30,38.496763243
1978-10-31,38.885435364
1978-11-30,39.308932798
1978-12-31,39.646389907
1979-01-31,39.821995604
1979-02-28,39.971995847
1979-03-31,40.152564695
1979-04-30,40.335496602
1979-05-31,40.639946499
1979-06-30,41.1482081
1979-07-31,41.827355121
1979-08-31,42.477120539
1979-09-30,42.901542795
1979-10-31,43.209875465
1979-11-30,43.492377214
1979-12-31,43.653699963
1980-01-31,43.657722241
1980-02-29,43.576796057
1980-03-31,43.58520545
1980-04-30,43.821595747
1980-05-31,44.252193523
1980-06-30,44.826385831
1980-07-31,45.489202457
1980-08-31,46.064706034
1980-09-30,46.370527901
1980-10-31,46.389150337
1980-11-30,46.296565782
1980-12-31,46.264557078
1981-01-31,46.418977717
1981-02-28,46.836401989
1981-03-31,47.395854242
1981-04-30,47.94975996
1981-05-31,48.445533917
1981-06-30,48.889013971
1981-07-31,49.270613026
1981-08-31,49.556131815
1981-09-30,49.757721191
1981-10-31,49.917230219
1981-11-30,50.091813183
1981-12-31,50.312941512
1982-01-31,50.512432041
1982-02-28,50.583953349
1982-03-31,50.536187967
1982-04-30,50.447140865
1982-05-31,50.323390265
1982-06-30,50.15904584
1982-07-31,49.945778383
1982-08-31,49.620487669
1982-09-30,49.155057253
1982-10-31,48.677454596
1982-11-30,48.570412736
1982-12-31,49.110628002
1983-01-31,50.039217353
1983-02-28,50.919164076
1983-03-31,51.562901944
1983-04-30,51.964770445
1983-05-31,52.216203383
1983-06-30,52.455906449
1983-07-31,52.734211345
1983-08-31,52.957917264
1983-09-30,53.058734131
1983-10-31,53.082837697
1983-11-30,53.112102718
1983-12-31,53.211481445
1984-01-31,53.416009229
1984-02-29,53.685624423
1984-03-31,53.92395148
1984-04-30,54.06049546
1984-05-31,54.036939937
1984-06-30,53.828344069
1984-07-31,53.600462213
1984-08-31,53.476519392
1984-09-30,53.488797775
1984-10-31,53.681201584
1984-11-30,53.993740278
1984-12-31,54.375224755
1985-01-31,54.804299803
1985-02-28,55.190328904
1985-03-31,55.436110959
1985-04-30,55.626645948
1985-05-31,55.874191272
1985-06-30,56.160322064
1985-07-31,56.365803558
1985-08-31,56.541265831
1985-09-30,56.686654504
1985-10-31,56.742693356
1985-11-30,56.85931116
1985-12-31,57.040464078
1986-01-31,57.238032109
1986-02-28,57.436950904
1986-03-31,57.582461141
1986-04-30,57.801111417
1986-05-31,58.289922705
1986-06-30,58.904179088
1986-07-31,59.387336515
1986-08-31,59.631871422
1986-09-30,59.581266601
1986-10-31,59.389463889
1986-11-30,59.336319737
1986-12-31,59.570033308
1987-01-31,60.05406102
1987-02-28,60.569349003
1987-03-31,60.886994588
1987-04-30,60.976278504
1987-05-31,60.932167653
1987-06-30,60.8650176
1987-07-31,60.940505065
1987-08-31,61.193106156
1987-09-30,61.503724433
1987-10-31,61.848819379
1987-11-30,62.265688635
1987-12-31,62.655201602
1988-01-31,62.918941771
1988-02-29,62.994789414
1988-03-31,63.00674725
1988-04-30,63.11158019
1988-05-31,63.250527422
1988-06-30,63.38944557
1988-07-31,63.596308303
1988-08-31,63.915215137
1988-09-30,64.245619253
1988-10-31,64.502921477
1988-11-30,64.611032793
1988-12-31,64.657089212
1989-01-31,64.78680262
1989-02-28,64.905433963
1989-03-31,64.997646814
1989-04-30,65.190944397
1989-05-31,65.533363459
1989-06-30,66.014398102
1989-07-31,66.587990766
1989-08-31,67.095286443
1989-09-30,67.32797276
1989-10-31,67.273608683
1989-11-30,67.066652741
1989-12-31,66.89727054
1990-01-31,66.953047976
1990-02-28,67.256495251
1990-03-31,67.718050781
1990-04-30,68.206395875
1990-05-31,68.636432758
1990-06-30,68.988444074
1990-07-31,69.18398951
1990-08-31,69.189029764
1990-09-30,69.0327146
1990-10-31,68.768656835
1990-11-30,68.532570138
1990-12-31,68.486518253
1991-01-31,68.736806408
1991-02-28,69.131544785
1991-03-31,69.397447125
1991-04-30,69.537515816
1991-05-31,69.679035766
1991-06-30,69.763038305
1991-07-31,69.772815088
1991-08-31,69.877576285
1991-09-30,70.207664005
1991-10-31,70.624087914
1991-11-30,70.78286453
1991-12-31,70.677729606
1992-01-31,70.591904372
1992-02-29,70.672326803
1992-03-31,70.808100613
1992-04-30,70.860801072
