Date,Value
1975-01-31,32.626111944
1975-02-28,32.958338426
1975-03-31,33.546541413
1975-04-30,34.398978781
1975-05-31,34.651415079
1975-06-30,34.222331434
1975-07-31,33.930958215
1975-08-31,33.890083665
1975-09-30,33.965868879
1975-10-31,34.082889172
1975-11-30,34.303997876
1975-12-31,34.509389682
1976-01-31,34.643400761
1976-02-29,34.95280021
1976-03-31,35.688705821
1976-04-30,36.720821999
1976-05-31,37.037878545
1976-06-30,36.642608971
1976-07-31,36.446190904
1976-08-31,36.453791135
1976-09-30,36.55227419
1976-10-31,36.765257715
1976-11-30,37.070696978
1976-12-31,37.279758687
1977-01-31,37.445796027
1977-02-28,37.882246045
1977-03-31,38.933837956
1977-04-30,40.603674527
1977-05-31,40.913324852
1977-06-30,39.924532513
1977-07-31,39.641001834
1977-08-31,39.858380539
1977-09-30,40.182344612
1977-10-31,40.735281122
1977-11-30,41.523865026
1977-12-31,42.170166674
1978-01-31,42.602571249
1978-02-28,43.093321987
1978-03-31,43.918246724
1978-04-30,45.15838181
1978-05-31,45.728684473
1978-06-30,45.7557512
1978-07-31,46.272103484
1978-08-31,46.846664586
1978-09-30,47.158597032
1978-10-31,47.505629066
1978-11-30,48.149633226
1978-12-31,48.771028707
1979-01-31,49.229047997
1979-02-28,49.808517707
1979-03-31,50.832900895
1979-04-30,52.160848498
1979-05-31,52.888788481
1979-06-30,53.111886109
1979-07-31,53.638814144
1979-08-31,54.368396143
1979-09-30,54.9599869
1979-10-31,55.477020621
1979-11-30,56.133694522
1979-12-31,56.918539287
1980-01-31,57.640809128
1980-02-29,58.081958753
1980-03-31,58.562241697
1980-04-30,59.431403502
1980-05-31,59.883972403
1980-06-30,59.771696851
1980-07-31,59.922970389
1980-08-31,60.467469646
1980-09-30,61.205189661
1980-10-31,61.6342594
1980-11-30,61.605058133
1980-12-31,61.524849858
1981-01-31,61.669956746
1981-02-28,62.148307675
1981-03-31,62.990502342
1981-04-30,63.940741672
1981-05-31,64.294923779
1981-06-30,64.203002622
1981-07-31,64.433420862
1981-08-31,64.908651179
1981-09-30,65.354739754
1981-10-31,65.877499956
1981-11-30,66.574320139
1981-12-31,67.365847345
1982-01-31,68.124542172
1982-02-28,68.740933847
1982-03-31,69.137294368
1982-04-30,69.224513415
1982-05-31,69.017914355
1982-06-30,68.790945888
1982-07-31,68.937706384
1982-08-31,69.538140921
1982-09-30,70.314158515
1982-10-31,70.877342573
1982-11-30,70.932934668
1982-12-31,70.636561318
1983-01-31,70.467820193
1983-02-28,70.628373911
1983-03-31,70.989406027
1983-04-30,71.392388335
1983-05-31,71.727069315
1983-06-30,72.013936668
1983-07-31,72.194693587
1983-08-31,72.42315988
1983-09-30,72.934996344
1983-10-31,73.443253008
1983-11-30,73.715869662
1983-12-31,73.705057775
1984-01-31,73.472533647
1984-02-29,73.390760143
1984-03-31,73.620670342
1984-04-30,74.002195098
1984-05-31,74.45260088
