Date,Value
1975-01-31,24.593496049
1975-02-28,24.947068084
1975-03-31,25.262533004
1975-04-30,25.510182674
1975-05-31,25.671483341
1975-06-30,25.718573429
1975-07-31,25.658369733
1975-08-31,25.570250016
1975-09-30,25.55140688
1975-10-31,25.716519449
1975-11-30,26.07724407
1975-12-31,26.473877685
1976-01-31,26.824572888
1976-02-29,27.156096707
1976-03-31,27.45983624
1976-04-30,27.732824268
1976-05-31,27.951892728
1976-06-30,28.087227641
1976-07-31,28.223296676
1976-08-31,28.396716728
1976-09-30,28.539690332
1976-10-31,28.673631871
1976-11-30,28.881503894
1976-12-31,29.193844808
1977-01-31,29.548910227
1977-02-28,29.90767804
1977-03-31,30.304096204
1977-04-30,30.7563268
1977-05-31,31.233794365
1977-06-30,31.699209373
1977-07-31,32.12011246
1977-08-31,32.437753639
1977-09-30,32.614636348
1977-10-31,32.731413369
1977-11-30,32.959669701
1977-12-31,33.344192093
1978-01-31,33.846511367
1978-02-28,34.415641397
1978-03-31,34.967066101
1978-04-30,35.521213592
1978-05-31,36.138841391
1978-06-30,36.809789464
1978-07-31,37.457513238
1978-08-31,38.019171408
1978-09-30,38.49385898
1978-10-31,38.920704093
1978-11-30,39.33581077
1978-12-31,39.728323553
1979-01-31,40.08886047
1979-02-28,40.402516162
1979-03-31,40.713920427
1979-04-30,41.149383298
1979-05-31,41.721527119
1979-06-30,42.271007006
1979-07-31,42.678646536
1979-08-31,42.958627268
1979-09-30,43.134790836
1979-10-31,43.221252417
1979-11-30,43.258627875
1979-12-31,43.27233025
1980-01-31,43.302187677
1980-02-29,43.402039656
1980-03-31,43.561159217
1980-04-30,43.807897372
1980-05-31,44.232473984
1980-06-30,44.83622963
1980-07-31,45.488135294
1980-08-31,45.977716964
1980-09-30,46.170916223
1980-10-31,46.085514638
1980-11-30,45.817564578
1980-12-31,45.58896418
1981-01-31,45.596461583
1981-02-28,45.839782115
1981-03-31,46.245776793
1981-04-30,46.748289788
1981-05-31,47.255983729
1981-06-30,47.643358443
1981-07-31,47.826681531
1981-08-31,47.808447257
1981-09-30,47.664113914
1981-10-31,47.43208151
1981-11-30,47.140329885
1981-12-31,46.856762212
1982-01-31,46.651211519
1982-02-28,46.595859807
1982-03-31,46.686647105
1982-04-30,46.850696426
1982-05-31,47.032409989
1982-06-30,47.203901299
1982-07-31,47.368665472
1982-08-31,47.546608455
1982-09-30,47.783839517
1982-10-31,48.174336564
1982-11-30,48.684211518
1982-12-31,49.133503337
1983-01-31,49.397089666
1983-02-28,49.5109549
1983-03-31,49.602855217
1983-04-30,49.744947689
1983-05-31,49.934161438
1983-06-30,50.134591671
1983-07-31,50.253193898
1983-08-31,50.269262921
1983-09-30,50.235922309
1983-10-31,50.149781358
1983-11-30,50.002193581
1983-12-31,49.801980215
1984-01-31,49.64024073
1984-02-29,49.56189655
1984-03-31,49.516986941
1984-04-30,49.497242134
1984-05-31,49.553608171
1984-06-30,49.727069082
1984-07-31,49.945815972
1984-08-31,50.090209555
1984-09-30,50.070244054
1984-10-31,49.921331815
1984-11-30,49.850977017
1984-12-31,49.970730358
1985-01-31,50.108043539
1985-02-28,50.114213099
1985-03-31,50.040568139
1985-04-30,49.917286364
1985-05-31,49.765666508
1985-06-30,49.69060679
1985-07-31,49.754666917
1985-08-31,49.898088068
1985-09-30,50.00162526
1985-10-31,50.01744003
1985-11-30,49.995732698
1985-12-31,49.962801133
1986-01-31,49.931383877
1986-02-28,49.941441912
1986-03-31,50.066678334
1986-04-30,50.283700836
1986-05-31,50.437533817
1986-06-30,50.425161371
1986-07-31,50.2402908
1986-08-31,50.054887669
1986-09-30,49.959435829
1986-10-31,49.856868926
1986-11-30,49.806840456
1986-12-31,49.937883657
1987-01-31,50.143796187
1987-02-28,50.266647622
1987-03-31,50.330321104
1987-04-30,50.314685245
1987-05-31,50.098224916
1987-06-30,49.695433203
1987-07-31,49.257543873
1987-08-31,48.869059304
1987-09-30,48.582938987
1987-10-31,48.469328254
1987-11-30,48.488973277
1987-12-31,48.522363936
1988-01-31,48.487423876
1988-02-29,48.401391283
1988-03-31,48.320324751
1988-04-30,48.279292421
1988-05-31,48.29429052
1988-06-30,48.306263563
1988-07-31,48.207457917
1988-08-31,47.999523552
1988-09-30,47.807020763
1988-10-31,47.68037214
1988-11-30,47.583682156
1988-12-31,47.521283464
1989-01-31,47.55855286
1989-02-28,47.727448977
1989-03-31,48.005441942
1989-04-30,48.316705577
1989-05-31,48.579830992
1989-06-30,48.835466198
1989-07-31,49.121900595
1989-08-31,49.328001664
1989-09-30,49.399362582
1989-10-31,49.454314899
1989-11-30,49.495948117
1989-12-31,49.465188143
1990-01-31,49.480415481
1990-02-28,49.633153688
1990-03-31,49.882383909
1990-04-30,50.15569227
1990-05-31,50.427220478
1990-06-30,50.680197844
1990-07-31,50.869067752
1990-08-31,50.922981004
1990-09-30,50.827807273
1990-10-31,50.714787752
1990-11-30,50.716729547
1990-12-31,50.870017596
1991-01-31,51.186929116
1991-02-28,51.674747776
1991-03-31,52.241629632
1991-04-30,52.709291878
1991-05-31,52.986848509
1991-06-30,53.071094756
1991-07-31,53.073606911
1991-08-31,53.185811405
1991-09-30,53.42914682
1991-10-31,53.729655319
1991-11-30,54.004599342
1991-12-31,54.260544689
1992-01-31,54.562768077
1992-02-29,54.894852835
1992-03-31,55.228183289
1992-04-30,55.651957897
1992-05-31,56.149843844
1992-06-30,56.563129767
1992-07-31,56.954827068
1992-08-31,57.471155685
1992-09-30,58.117565078
1992-10-31,58.763167352
1992-11-30,59.249002201
1992-12-31,59.552482889
1993-01-31,59.811376242
1993-02-28,60.188857249
1993-03-31,60.875594652
1993-04-30,61.931658277
1993-05-31,63.124660834
1993-06-30,64.287648227
1993-07-31,65.355068857
1993-08-31,66.207556296
1993-09-30,66.863716581
1993-10-31,67.56368864
1993-11-30,68.24373777
1993-12-31,68.755250368
1994-01-31,69.367464522
1994-02-28,70.339608952
1994-03-31,71.637909114
1994-04-30,73.102942999
1994-05-31,74.477680469
1994-06-30,75.549084089
1994-07-31,76.446686954
1994-08-31,77.136580117
1994-09-30,77.682902656
1994-10-31,78.259001981
1994-11-30,78.725125499
1994-12-31,79.051015684
1995-01-31,79.439857054
1995-02-28,80.057407944
1995-03-31,80.746011488
1995-04-30,81.280140313
1995-05-31,81.690833932
1995-06-30,82.151956183
1995-07-31,82.713843368
1995-08-31,83.190711323
1995-09-30,83.54856163
1995-10-31,83.821384505
1995-11-30,84.088490521
1995-12-31,84.403415885
1996-01-31,84.869510492
1996-02-29,85.796715461
1996-03-31,86.953735414
1996-04-30,87.883886493
1996-05-31,88.609335024
1996-06-30,89.176458294
1996-07-31,89.570642222
1996-08-31,89.878634244
1996-09-30,90.066393966
1996-10-31,90.046052203
1996-11-30,90.004110587
1996-12-31,90.166550421
1997-01-31,90.531542844
1997-02-28,91.04060531
1997-03-31,91.659734576
1997-04-30,92.231400812
1997-05-31,92.5629945
1997-06-30,92.695152506
1997-07-31,92.760456809
1997-08-31,92.809534375
1997-09-30,92.8102383
1997-10-31,92.746372671
1997-11-30,92.679513392
1997-12-31,92.702809003
1998-01-31,92.959689595
1998-02-28,93.527546159
1998-03-31,94.256886893
1998-04-30,94.966908361
1998-05-31,95.403285006
1998-06-30,95.424017017
1998-07-31,95.352920783
1998-08-31,95.341185064
1998-09-30,95.406172078
1998-10-31,95.65481365
1998-11-30,95.78134317
1998-12-31,95.623378477
1999-01-31,95.513049359
1999-02-28,95.758624866
1999-03-31,96.259186892
1999-04-30,96.838170638
1999-05-31,97.358253571
1999-06-30,97.734048305
1999-07-31,97.921575717
1999-08-31,97.925270353
1999-09-30,97.924731887
1999-10-31,97.95199184
1999-11-30,97.867906024
1999-12-31,97.817355807
2000-01-31,97.999637637
2000-02-29,98.44138623
2000-03-31,99.09469312
2000-04-30,99.734113207
2000-05-31,100.29339385
2000-06-30,100.68277499
2000-07-31,100.78744455
2000-08-31,100.62947735
2000-09-30,100.41553798
2000-10-31,100.29653238
2000-11-30,100.15866665
2000-12-31,100.0
2001-01-31,99.839024485
2001-02-28,99.750869651
2001-03-31,100.09680369
2001-04-30,100.74655928
2001-05-31,101.26019408
2001-06-30,101.58921843
2001-07-31,101.71378238
2001-08-31,101.62252743
2001-09-30,101.33942746
2001-10-31,101.19456162
2001-11-30,101.20691795
2001-12-31,101.1802129
2002-01-31,101.31081138
2002-02-28,101.67695937
2002-03-31,102.03311091
2002-04-30,102.29346357
2002-05-31,102.60914238
2002-06-30,102.9589803
2002-07-31,103.1019563
2002-08-31,102.87042789
2002-09-30,102.64942385
2002-10-31,102.70870177
2002-11-30,102.80393498
2002-12-31,102.62698802
2003-01-31,102.20804754
2003-02-28,102.04680508
2003-03-31,102.58201761
2003-04-30,103.38480601
2003-05-31,103.96851022
2003-06-30,104.44498599
2003-07-31,104.86756167
