Date,Value
1975-01-31,27.901501245
1975-02-28,28.192243894
1975-03-31,28.407625126
1975-04-30,28.570827619
1975-05-31,28.712080121
1975-06-30,28.850735865
1975-07-31,29.044530177
1975-08-31,29.242400458
1975-09-30,29.305151903
1975-10-31,29.251568094
1975-11-30,29.157374022
1975-12-31,29.052614975
1976-01-31,28.973903785
1976-02-29,29.018855446
1976-03-31,29.20159206
1976-04-30,29.429079079
1976-05-31,29.674373007
1976-06-30,29.887655367
1976-07-31,30.027575371
1976-08-31,30.185942071
1976-09-30,30.349356017
1976-10-31,30.464091878
1976-11-30,30.579151992
1976-12-31,30.677419812
1977-01-31,30.760146404
1977-02-28,30.894381655
1977-03-31,31.101357211
1977-04-30,31.348194241
1977-05-31,31.639371197
1977-06-30,31.975910662
1977-07-31,32.280898916
1977-08-31,32.525135732
1977-09-30,32.779958337
1977-10-31,33.033805452
1977-11-30,33.242466644
1977-12-31,33.373428452
1978-01-31,33.470293788
1978-02-28,33.675045706
1978-03-31,34.063383192
1978-04-30,34.556816737
1978-05-31,35.068765436
1978-06-30,35.538253689
1978-07-31,35.897207989
1978-08-31,36.226204478
1978-09-30,36.471760993
1978-10-31,36.653101923
1978-11-30,36.954863753
1978-12-31,37.307982495
1979-01-31,37.607704518
1979-02-28,37.840840188
1979-03-31,38.042135161
1979-04-30,38.30695867
1979-05-31,38.674860096
1979-06-30,39.074360701
1979-07-31,39.439837643
1979-08-31,39.781896966
1979-09-30,40.055129022
1979-10-31,40.322051164
1979-11-30,40.650284304
1979-12-31,40.987440549
1980-01-31,41.403261961
1980-02-29,41.947333472
1980-03-31,42.553031156
1980-04-30,43.117285174
1980-05-31,43.486159959
1980-06-30,43.628452469
1980-07-31,43.778863087
1980-08-31,44.032418349
1980-09-30,44.248538885
1980-10-31,44.380356474
1980-11-30,44.56126579
1980-12-31,44.836169673
1981-01-31,45.062795807
1981-02-28,45.126950926
1981-03-31,45.005613712
1981-04-30,44.911681667
1981-05-31,45.100227958
1981-06-30,45.486460657
1981-07-31,45.791801187
1981-08-31,45.967024397
1981-09-30,46.130194895
1981-10-31,46.315331917
1981-11-30,46.378482739
1981-12-31,46.208921539
1982-01-31,45.882566025
1982-02-28,45.450898442
1982-03-31,44.994788406
1982-04-30,44.636573428
1982-05-31,44.451395342
1982-06-30,44.468089044
1982-07-31,44.692834088
1982-08-31,45.126924906
1982-09-30,45.695162361
1982-10-31,46.282795327
1982-11-30,46.861536498
1982-12-31,47.42284868
1983-01-31,47.904167687
1983-02-28,48.325504748
1983-03-31,48.70704848
1983-04-30,48.96162223
1983-05-31,49.06918067
1983-06-30,49.145424801
1983-07-31,49.402782086
1983-08-31,49.894219146
1983-09-30,50.336763711
1983-10-31,50.481145081
1983-11-30,50.469459326
1983-12-31,50.557321504
1984-01-31,50.745012374
1984-02-29,50.989310632
1984-03-31,51.320785786
1984-04-30,51.652208005
1984-05-31,51.996706492
1984-06-30,52.481272363
1984-07-31,53.03162713
1984-08-31,53.288274482
1984-09-30,53.083181467
1984-10-31,52.793225895
1984-11-30,52.77691282
1984-12-31,53.02986119
1985-01-31,53.403660413
1985-02-28,53.712771004
1985-03-31,54.026474365
1985-04-30,54.450528985
1985-05-31,54.763680467
1985-06-30,54.98262549
1985-07-31,55.287456384
1985-08-31,55.605985622
1985-09-30,55.787453723
1985-10-31,55.790215496
1985-11-30,55.792943192
1985-12-31,55.88204848
1986-01-31,56.048105597
1986-02-28,56.386684076
1986-03-31,56.766242372
1986-04-30,57.098447421
1986-05-31,57.583094097
1986-06-30,58.241673916
1986-07-31,58.877649962
1986-08-31,59.350683739
1986-09-30,59.727584612
1986-10-31,60.0355768
1986-11-30,60.289025264
1986-12-31,60.576092346
1987-01-31,60.830221476
1987-02-28,61.050546242
1987-03-31,61.404550831
1987-04-30,62.05678256
1987-05-31,62.944457314
1987-06-30,63.897408656
1987-07-31,64.809227313
1987-08-31,65.464685711
1987-09-30,65.886314273
1987-10-31,66.365303721
1987-11-30,66.912715826
1987-12-31,67.394486352
1988-01-31,67.747711433
1988-02-29,68.078509563
1988-03-31,68.554569896
1988-04-30,69.283392703
1988-05-31,70.173393634
1988-06-30,71.017606424
1988-07-31,71.642447899
1988-08-31,71.945346589
1988-09-30,72.231663152
1988-10-31,72.752706046
1988-11-30,73.328501294
1988-12-31,73.799179731
1989-01-31,74.205086853
1989-02-28,74.699541926
1989-03-31,75.33687035
1989-04-30,75.999610797
1989-05-31,76.498434005
1989-06-30,76.823961581
1989-07-31,77.083050608
1989-08-31,77.317498934
1989-09-30,77.570278995
1989-10-31,77.812205035
1989-11-30,78.008288624
1989-12-31,78.118379752
1990-01-31,78.090880653
1990-02-28,78.003964167
1990-03-31,78.050538978
1990-04-30,78.324266979
1990-05-31,78.617559596
1990-06-30,78.778596428
1990-07-31,78.889512345
1990-08-31,78.84218751
1990-09-30,78.554068577
1990-10-31,78.152955018
1990-11-30,77.780529631
1990-12-31,77.56812726
1991-01-31,77.482035175
1991-02-28,77.45264458
1991-03-31,77.526365696
1991-04-30,77.606753384
1991-05-31,77.672717603
1991-06-30,77.81797261
1991-07-31,77.787684164
1991-08-31,77.525951884
1991-09-30,77.449179926
1991-10-31,77.625626229
1991-11-30,77.789528596
1991-12-31,77.843696363
1992-01-31,77.963582885
1992-02-29,78.289925113
1992-03-31,78.512128408
1992-04-30,78.352841882
1992-05-31,78.042587684
1992-06-30,77.922421703
1992-07-31,78.055879988
1992-08-31,78.31680841
1992-09-30,78.489337593
1992-10-31,78.544606195
1992-11-30,78.500634387
1992-12-31,78.126338764
1993-01-31,77.74403472
1993-02-28,77.738243
1993-03-31,77.969557488
1993-04-30,78.395005609
1993-05-31,78.814533063
1993-06-30,78.920446393
1993-07-31,78.84802607
1993-08-31,78.818896694
1993-09-30,78.836988414
1993-10-31,78.904123624
1993-11-30,78.92093475
1993-12-31,78.794222825
1994-01-31,78.759899045
1994-02-28,78.855896101
1994-03-31,79.071910823
1994-04-30,79.530744352
1994-05-31,80.06772163
1994-06-30,80.498338486
1994-07-31,80.720521496
1994-08-31,80.703115239
1994-09-30,80.575560112
1994-10-31,80.538408905
1994-11-30,80.618401872
1994-12-31,80.623670762
1995-01-31,80.519949698
1995-02-28,80.444800238
1995-03-31,80.529594092
1995-04-30,80.681767179
1995-05-31,80.703638632
1995-06-30,80.770974129
1995-07-31,81.004503534
1995-08-31,81.175912278
1995-09-30,81.088201065
1995-10-31,80.875517388
1995-11-30,80.785711127
1995-12-31,80.775408616
1996-01-31,80.767231392
1996-02-29,80.798854069
1996-03-31,81.035304393
1996-04-30,81.606931119
1996-05-31,82.22524325
1996-06-30,82.481420857
1996-07-31,82.364035356
1996-08-31,82.157513561
1996-09-30,82.027332581
1996-10-31,81.912424359
1996-11-30,81.867088268
1996-12-31,82.059182632
1997-01-31,82.307846229
1997-02-28,82.41927654
1997-03-31,82.615751384
1997-04-30,82.993958799
1997-05-31,83.474570941
1997-06-30,83.81901768
1997-07-31,83.810467065
1997-08-31,83.742944305
1997-09-30,83.830388439
1997-10-31,83.914089086
1997-11-30,83.873165198
1997-12-31,83.709335997
1998-01-31,83.570984649
1998-02-28,83.823051574
1998-03-31,84.471976046
1998-04-30,85.044026628
1998-05-31,85.415048856
1998-06-30,85.821750542
1998-07-31,86.117049768
1998-08-31,86.156193828
1998-09-30,86.128283366
1998-10-31,86.246464982
1998-11-30,86.588071673
1998-12-31,86.954735179
1999-01-31,87.312716243
1999-02-28,87.707165972
1999-03-31,88.204096177
1999-04-30,88.916910977
1999-05-31,89.714039945
1999-06-30,90.362009803
1999-07-31,90.861271516
1999-08-31,91.428302972
1999-09-30,91.896391707
1999-10-31,92.067628519
1999-11-30,92.124679225
1999-12-31,92.291757909
2000-01-31,92.499115758
2000-02-29,92.982475201
2000-03-31,94.048248644
2000-04-30,95.298331829
2000-05-31,96.509715827
2000-06-30,97.519142497
2000-07-31,98.128689763
2000-08-31,98.469500332
2000-09-30,98.684033919
2000-10-31,98.988222523
2000-11-30,99.507260636
2000-12-31,100.0
2001-01-31,100.45508537
2001-02-28,101.2960507
2001-03-31,102.4652203
2001-04-30,103.78342041
2001-05-31,105.17101837
2001-06-30,106.34700507
2001-07-31,107.1317896
2001-08-31,107.61206261
2001-09-30,108.08609867
2001-10-31,108.41499961
2001-11-30,108.58136094
2001-12-31,109.12948351
2002-01-31,110.06455584
2002-02-28,111.13847903
2002-03-31,112.35140334
2002-04-30,113.71483569
2002-05-31,115.29702794
2002-06-30,116.85396464
2002-07-31,118.13880509
2002-08-31,119.16350329
2002-09-30,119.98607524
2002-10-31,120.65856977
2002-11-30,120.95246373
2002-12-31,121.19623363
2003-01-31,121.92333643
2003-02-28,123.00957865
2003-03-31,124.49224883
2003-04-30,126.21345714
2003-05-31,127.8539105
2003-06-30,129.50741379
2003-07-31,131.1010842
2003-08-31,132.63638157
2003-09-30,133.96133229
2003-10-31,134.80660915
2003-11-30,135.49462316
2003-12-31,136.26991303
2004-01-31,137.24237947
2004-02-29,138.77036031
2004-03-31,141.12561521
