Date,Value
1975-01-31,17.478975143
1975-02-28,17.544439315
1975-03-31,17.652704156
1975-04-30,17.785995568
1975-05-31,17.910147469
1975-06-30,18.04206697
1975-07-31,18.187801876
1975-08-31,18.277487093
1975-09-30,18.284038837
1975-10-31,18.300060917
1975-11-30,18.43176354
1975-12-31,18.647899168
1976-01-31,18.867923179
1976-02-29,19.090844111
1976-03-31,19.304640258
1976-04-30,19.498190314
1976-05-31,19.72100439
1976-06-30,20.029470274
1976-07-31,20.423410749
1976-08-31,20.767477532
1976-09-30,20.963019609
1976-10-31,21.092220843
1976-11-30,21.269939593
1976-12-31,21.482062321
1977-01-31,21.641865932
1977-02-28,21.809689743
1977-03-31,22.125344439
1977-04-30,22.626472365
1977-05-31,23.173477134
1977-06-30,23.670298194
1977-07-31,24.250084186
1977-08-31,24.870413046
1977-09-30,25.375906602
1977-10-31,25.747380346
1977-11-30,26.038734035
1977-12-31,26.362604044
1978-01-31,26.722279985
1978-02-28,27.090908184
1978-03-31,27.567736031
1978-04-30,28.23278147
1978-05-31,28.98751276
1978-06-30,29.659485254
1978-07-31,30.219835872
1978-08-31,30.70445318
1978-09-30,31.065819014
1978-10-31,31.266075614
1978-11-30,31.436841589
1978-12-31,31.729454114
1979-01-31,32.07323363
1979-02-28,32.396163638
1979-03-31,32.806905167
1979-04-30,33.363702505
1979-05-31,33.994943674
1979-06-30,34.559805515
1979-07-31,34.921000044
1979-08-31,35.137706094
1979-09-30,35.338658751
1979-10-31,35.601201906
1979-11-30,35.969268074
1979-12-31,36.33037782
1980-01-31,36.568898168
1980-02-29,36.738321362
1980-03-31,36.953950238
1980-04-30,37.235306013
1980-05-31,37.532835835
1980-06-30,37.816318041
1980-07-31,38.106431399
1980-08-31,38.412840324
1980-09-30,38.616584912
1980-10-31,38.573402887
1980-11-30,38.303618712
1980-12-31,37.950896295
1981-01-31,37.579919051
1981-02-28,37.302928548
1981-03-31,37.330738457
1981-04-30,37.754430452
1981-05-31,38.435051194
1981-06-30,39.073266846
1981-07-31,39.452187848
1981-08-31,39.578671757
1981-09-30,39.537595977
1981-10-31,39.400776005
1981-11-30,39.275073676
1981-12-31,39.22991023
1982-01-31,39.310922872
1982-02-28,39.487565679
1982-03-31,39.592211561
1982-04-30,39.416338972
1982-05-31,38.874902192
1982-06-30,38.018673537
1982-07-31,37.006323652
1982-08-31,36.168970563
1982-09-30,35.870205039
1982-10-31,36.152629869
1982-11-30,36.780936338
1982-12-31,37.471374458
1983-01-31,37.96670473
1983-02-28,38.211359326
1983-03-31,38.322712588
1983-04-30,38.453852381
1983-05-31,38.651033359
1983-06-30,38.725103129
1983-07-31,38.529817011
1983-08-31,38.234540567
1983-09-30,38.127065542
1983-10-31,38.22637506
1983-11-30,38.306656891
1983-12-31,38.334113429
1984-01-31,38.520073235
1984-02-29,38.90942704
1984-03-31,39.358717728
1984-04-30,39.684886793
1984-05-31,39.77096164
1984-06-30,39.779292665
1984-07-31,39.895289134
1984-08-31,40.07044643
1984-09-30,40.23855141
1984-10-31,40.378426123
1984-11-30,40.481671632
1984-12-31,40.62085656
1985-01-31,40.762978687
1985-02-28,40.790314852
1985-03-31,40.756285732
1985-04-30,40.759852254
1985-05-31,40.760893833
1985-06-30,40.771815069
1985-07-31,40.914070754
1985-08-31,41.12768295
1985-09-30,41.138034712
1985-10-31,40.97956002
1985-11-30,40.889536284
1985-12-31,40.961452115
1986-01-31,41.13449939
1986-02-28,41.248146235
1986-03-31,41.262900992
1986-04-30,41.484663852
1986-05-31,41.840437781
1986-06-30,41.823740342
1986-07-31,41.653647508
1986-08-31,41.846467062
1986-09-30,42.172742448
1986-10-31,42.263024952
1986-11-30,42.18482796
1986-12-31,42.185756004
1987-01-31,42.472517559
1987-02-28,42.871706416
1987-03-31,43.10756465
1987-04-30,43.149475395
1987-05-31,43.136800992
1987-06-30,43.219008435
1987-07-31,43.359829419
1987-08-31,43.40084507
1987-09-30,43.407418274
1987-10-31,43.432564227
1987-11-30,43.420443162
1987-12-31,43.506658094
1988-01-31,43.764381452
1988-02-29,44.032289778
1988-03-31,44.189957585
1988-04-30,44.378453706
1988-05-31,44.646383304
1988-06-30,44.924926177
1988-07-31,45.224267152
1988-08-31,45.502060383
1988-09-30,45.733076119
1988-10-31,45.901688394
1988-11-30,46.080317409
1988-12-31,46.425858547
1989-01-31,46.959106222
1989-02-28,47.524669595
1989-03-31,48.131886368
1989-04-30,48.840990866
1989-05-31,49.510050934
1989-06-30,50.045531183
1989-07-31,50.698074251
1989-08-31,51.545518665
1989-09-30,52.350844736
1989-10-31,53.208061326
1989-11-30,54.245034706
1989-12-31,55.456989414
1990-01-31,56.862564983
1990-02-28,58.383472329
1990-03-31,59.86794489
1990-04-30,61.313512223
1990-05-31,62.605537207
1990-06-30,63.413537586
1990-07-31,63.78437178
1990-08-31,64.084130266
1990-09-30,64.277662658
1990-10-31,64.179056136
1990-11-30,63.965867934
1990-12-31,63.765848507
1991-01-31,63.750163831
1991-02-28,64.04294464
1991-03-31,64.468698323
1991-04-30,64.929679236
1991-05-31,65.374157459
1991-06-30,65.840903162
1991-07-31,66.195851105
1991-08-31,66.249360543
1991-09-30,66.349819973
1991-10-31,66.670538958
1991-11-30,67.045052713
1991-12-31,67.333315244
1992-01-31,67.392799513
1992-02-29,67.535093781
1992-03-31,67.972002321
1992-04-30,68.374803284
1992-05-31,68.690663165
1992-06-30,68.941359599
1992-07-31,69.204495766
1992-08-31,69.605227038
1992-09-30,70.059519238
1992-10-31,70.529762352
1992-11-30,70.758140306
1992-12-31,70.572826466
1993-01-31,70.370475193
1993-02-28,70.510155277
1993-03-31,70.852148709
1993-04-30,71.112568443
1993-05-31,71.557902108
1993-06-30,72.040422319
1993-07-31,72.325495132
1993-08-31,72.631358598
1993-09-30,72.798415726
1993-10-31,72.594275528
1993-11-30,72.410906815
1993-12-31,72.849866774
1994-01-31,73.368841645
1994-02-28,73.440427702
1994-03-31,73.767490926
1994-04-30,74.722841087
1994-05-31,75.527799697
1994-06-30,75.877783645
1994-07-31,76.102788839
1994-08-31,76.211132733
1994-09-30,76.20408925
1994-10-31,76.181661487
1994-11-30,76.296418922
1994-12-31,76.507137732
1995-01-31,76.613242835
1995-02-28,76.575831017
1995-03-31,76.55099524
1995-04-30,76.626717163
1995-05-31,76.833081001
1995-06-30,77.027804923
1995-07-31,77.007555941
1995-08-31,77.033318673
1995-09-30,77.13899913
1995-10-31,77.088161479
1995-11-30,76.890466196
1995-12-31,76.794532836
1996-01-31,77.030684437
1996-02-29,77.57144541
1996-03-31,78.193230867
1996-04-30,78.730644169
1996-05-31,79.221135629
1996-06-30,79.538507752
1996-07-31,79.635801886
1996-08-31,79.56556805
1996-09-30,79.364534916
1996-10-31,79.352765569
1996-11-30,79.531150135
1996-12-31,79.708789043
1997-01-31,80.037681592
1997-02-28,80.586816672
1997-03-31,81.24559915
1997-04-30,81.932746233
1997-05-31,82.500863233
1997-06-30,82.965230332
1997-07-31,83.25812966
1997-08-31,83.39242953
1997-09-30,83.651586531
1997-10-31,84.041617014
1997-11-30,84.340849832
1997-12-31,84.492110661
1998-01-31,84.781267601
1998-02-28,85.518344858
1998-03-31,86.581131013
1998-04-30,87.63346747
1998-05-31,88.369495596
1998-06-30,88.724812365
1998-07-31,88.974020586
1998-08-31,89.283786027
1998-09-30,89.57821237
1998-10-31,89.658142838
1998-11-30,89.742212178
1998-12-31,89.824714392
1999-01-31,90.080509764
1999-02-28,90.823889022
1999-03-31,91.762858343
1999-04-30,92.619886752
1999-05-31,93.41748677
1999-06-30,94.138495559
1999-07-31,94.475012549
1999-08-31,94.672836931
1999-09-30,94.985354517
1999-10-31,95.122023349
1999-11-30,95.216013213
1999-12-31,95.749120478
2000-01-31,96.288446144
2000-02-29,96.667551461
2000-03-31,97.324332413
2000-04-30,98.224278582
2000-05-31,99.047858576
2000-06-30,99.53601477
2000-07-31,99.90416399
2000-08-31,99.977792371
2000-09-30,99.695809224
2000-10-31,99.702996515
2000-11-30,99.896578645
2000-12-31,100.0
2001-01-31,100.33549074
2001-02-28,100.97971702
2001-03-31,101.65925903
2001-04-30,102.42132232
2001-05-31,103.19494537
2001-06-30,103.71668479
2001-07-31,104.15427073
2001-08-31,104.44493436
2001-09-30,104.49216945
2001-10-31,104.25412627
2001-11-30,104.04126583
2001-12-31,104.26514298
2002-01-31,104.82870536
2002-02-28,105.52905251
2002-03-31,106.32501683
2002-04-30,107.22562295
2002-05-31,108.15169596
2002-06-30,108.89009316
2002-07-31,109.2086167
2002-08-31,109.24978708
2002-09-30,109.47211602
2002-10-31,110.03147547
2002-11-30,110.38233024
2002-12-31,110.39471349
2003-01-31,110.50926487
2003-02-28,111.11347596
2003-03-31,112.28505318
2003-04-30,113.35846058
2003-05-31,114.10071104
2003-06-30,115.04016369
2003-07-31,116.15408287
2003-08-31,117.05011667
2003-09-30,117.59985237
2003-10-31,117.98001191
2003-11-30,118.30553003
2003-12-31,118.63261845
2004-01-31,119.29399064
2004-02-29,120.48643848
2004-03-31,122.16615473
2004-04-30,124.29674724
2004-05-31,126.27449784
2004-06-30,127.7744959
2004-07-31,129.06730852
2004-08-31,130.12919739
2004-09-30,131.07510094
2004-10-31,131.98666777
2004-11-30,132.68178828
2004-12-31,133.24250317
2005-01-31,134.16954
2005-02-28,136.05077796
2005-03-31,138.87176416
2005-04-30,141.88127225
2005-05-31,144.73289306
2005-06-30,147.25789742
2005-07-31,149.62155713
2005-08-31,151.81417197
2005-09-30,153.71541726
2005-10-31,155.06443155
2005-11-30,155.6535125
2005-12-31,156.3084057
2006-01-31,157.61050691
2006-02-28,159.53661913
2006-03-31,162.1292862
2006-04-30,165.30575657
2006-05-31,168.26855618
2006-06-30,170.5396874
2006-07-31,171.91351009
2006-08-31,172.64256448
2006-09-30,173.1963438
2006-10-31,173.264191
2006-11-30,172.6691996
2006-12-31,172.43439814
2007-01-31,173.34648815
2007-02-28,175.09363141
2007-03-31,176.9582233
2007-04-30,178.39371554
2007-05-31,179.27107267
2007-06-30,179.93392179
2007-07-31,180.26755516
2007-08-31,179.89898305
