Date,Value
1975-01-31,41.006639325
1975-02-28,42.05107195
1975-03-31,43.139021152
1975-04-30,44.260808941
1975-05-31,45.388703412
1975-06-30,46.46340988
1975-07-31,47.4056772
1975-08-31,48.156767949
1975-09-30,48.659907222
1975-10-31,48.881558768
1975-11-30,48.888419367
1975-12-31,48.790877428
1976-01-31,48.673085865
1976-02-29,48.61845168
1976-03-31,48.656524584
1976-04-30,48.730555577
1976-05-31,48.779634145
1976-06-30,48.776707366
1976-07-31,48.719738884
1976-08-31,48.642864189
1976-09-30,48.596297925
1976-10-31,48.598990795
1976-11-30,48.663287292
1976-12-31,48.821202397
1977-01-31,49.098619419
1977-02-28,49.481908693
1977-03-31,49.9475107
1977-04-30,50.489418691
1977-05-31,51.049704735
1977-06-30,51.554349484
1977-07-31,51.982159044
1977-08-31,52.361298586
1977-09-30,52.7192717
1977-10-31,53.059984789
1977-11-30,53.421777
1977-12-31,53.816906751
1978-01-31,54.264489107
1978-02-28,54.842580651
1978-03-31,55.549013142
1978-04-30,56.271383344
1978-05-31,56.920610181
1978-06-30,57.500185379
1978-07-31,58.032656609
1978-08-31,58.538037016
1978-09-30,59.02783913
1978-10-31,59.447809654
1978-11-30,59.789030523
1978-12-31,60.104182444
1979-01-31,60.415265853
1979-02-28,60.736553795
1979-03-31,61.077379013
1979-04-30,61.433232267
1979-05-31,61.769822313
1979-06-30,62.011357249
1979-07-31,62.141756197
1979-08-31,62.214446596
1979-09-30,62.247117867
1979-10-31,62.247237187
1979-11-30,62.217542153
1979-12-31,62.184581753
1980-01-31,62.250154394
1980-02-29,62.481269756
1980-03-31,62.811508692
1980-04-30,63.100643053
1980-05-31,63.304737985
1980-06-30,63.503668091
1980-07-31,63.824785311
1980-08-31,64.400710855
1980-09-30,65.213014739
1980-10-31,66.09606947
1980-11-30,66.873551552
1980-12-31,67.450465259
1981-01-31,67.824556601
1981-02-28,68.022459081
1981-03-31,68.097233483
1981-04-30,68.104331719
1981-05-31,68.057259954
1981-06-30,67.922449259
1981-07-31,67.626366469
1981-08-31,67.107381485
1981-09-30,66.361915362
1981-10-31,65.395124157
1981-11-30,64.215303702
1981-12-31,62.870704306
1982-01-31,61.431351903
1982-02-28,59.967558831
1982-03-31,58.543441912
1982-04-30,57.217220254
1982-05-31,56.041838284
1982-06-30,55.069890945
1982-07-31,54.359609418
1982-08-31,53.972761446
1982-09-30,53.978127253
1982-10-31,54.409176308
1982-11-30,55.204098513
1982-12-31,56.263089791
1983-01-31,57.521503711
1983-02-28,58.917216387
1983-03-31,60.358309915
1983-04-30,61.764331357
1983-05-31,63.124658025
1983-06-30,64.423318626
1983-07-31,65.556682557
1983-08-31,66.448910617
1983-09-30,67.114353637
1983-10-31,67.581885191
1983-11-30,67.85331311
1983-12-31,67.913193875
1984-01-31,67.736499598
1984-02-29,67.297320629
1984-03-31,66.617514419
1984-04-30,65.786694549
1984-05-31,64.893083996
1984-06-30,64.023788473
1984-07-31,63.237759934
1984-08-31,62.548757127
1984-09-30,61.992601753
1984-10-31,61.621801432
1984-11-30,61.523773022
1984-12-31,61.777791759
1985-01-31,62.390329074
1985-02-28,63.252169375
1985-03-31,64.135753135
1985-04-30,64.812857657
1985-05-31,65.151607814
1985-06-30,65.085150437
1985-07-31,64.581490159
1985-08-31,63.712338046
1985-09-30,62.67444541
1985-10-31,61.763649178
1985-11-30,61.279731172
1985-12-31,61.336767103
1986-01-31,61.779627922
1986-02-28,62.353381973
1986-03-31,62.894106706
1986-04-30,63.365175663
1986-05-31,63.871103139
1986-06-30,64.458344371
1986-07-31,64.970649007
1986-08-31,65.254667498
1986-09-30,65.350424191
1986-10-31,65.337267097
1986-11-30,65.181832429
1986-12-31,64.963522876
1987-01-31,64.836734898
1987-02-28,64.890116575
1987-03-31,65.196577206
1987-04-30,65.748995955
1987-05-31,66.346351971
1987-06-30,66.732868387
1987-07-31,66.782143782
1987-08-31,66.552274378
1987-09-30,66.270174718
1987-10-31,66.122270234
1987-11-30,66.19132366
1987-12-31,66.481502083
1988-01-31,66.915708831
1988-02-29,67.424504457
1988-03-31,67.977409829
1988-04-30,68.443270099
1988-05-31,68.595228118
1988-06-30,68.354393194
1988-07-31,67.865049034
1988-08-31,67.335362047
1988-09-30,66.806087673
1988-10-31,66.296978544
1988-11-30,65.945953312
1988-12-31,65.899473871
1989-01-31,66.219877786
1989-02-28,66.812480053
1989-03-31,67.518078425
1989-04-30,68.203819903
1989-05-31,68.786280851
1989-06-30,69.2168347
1989-07-31,69.509708853
1989-08-31,69.712730906
1989-09-30,69.83282266
1989-10-31,69.841621441
1989-11-30,69.777614957
1989-12-31,69.735084638
1990-01-31,69.771211687
1990-02-28,69.912942865
1990-03-31,70.139976585
1990-04-30,70.464602865
1990-05-31,70.901506961
1990-06-30,71.361532674
1990-07-31,71.662963601
1990-08-31,71.674526579
1990-09-30,71.442770374
1990-10-31,71.151372228
1990-11-30,71.004570077
1990-12-31,71.08045802
1991-01-31,71.368746459
1991-02-28,71.822232409
1991-03-31,72.357365981
1991-04-30,72.912518267
1991-05-31,73.428089454
1991-06-30,73.845701093
1991-07-31,74.121169342
1991-08-31,74.299872603
1991-09-30,74.443423073
1991-10-31,74.546189455
1991-11-30,74.603861215
1991-12-31,74.62282957
1992-01-31,74.673536109
1992-02-29,74.894256916
1992-03-31,75.411799347
1992-04-30,76.099103034
1992-05-31,76.631312097
1992-06-30,76.921247449
1992-07-31,77.103674769
1992-08-31,77.254914257
1992-09-30,77.365448175
1992-10-31,77.508131532
1992-11-30,77.792357803
1992-12-31,78.231271075
1993-01-31,78.762065164
1993-02-28,79.290090187
1993-03-31,79.765671815
1993-04-30,80.167076845
1993-05-31,80.496573817
1993-06-30,80.828239454
1993-07-31,81.125253218
1993-08-31,81.126149237
1993-09-30,80.786761881
1993-10-31,80.395765518
1993-11-30,80.280904248
1993-12-31,80.572050832
1994-01-31,81.257200339
1994-02-28,82.150523019
1994-03-31,82.961551832
1994-04-30,83.625042616
1994-05-31,84.166665056
1994-06-30,84.607678776
1994-07-31,84.981061148
1994-08-31,85.279707236
1994-09-30,85.421344822
1994-10-31,85.525139807
1994-11-30,85.784211217
1994-12-31,86.09191403
1995-01-31,86.275337099
1995-02-28,86.332832081
1995-03-31,86.400604635
1995-04-30,86.590371539
1995-05-31,86.927560183
1995-06-30,87.370738562
1995-07-31,87.882647537
1995-08-31,88.382745895
1995-09-30,88.686526769
1995-10-31,88.740664234
1995-11-30,88.702684928
1995-12-31,88.654565146
1996-01-31,88.666212978
1996-02-29,88.999704658
1996-03-31,89.719010833
1996-04-30,90.565216616
1996-05-31,91.336726792
1996-06-30,91.934257992
1996-07-31,92.278936374
1996-08-31,92.234381375
1996-09-30,91.712449313
1996-10-31,90.923641195
1996-11-30,90.211362667
1996-12-31,89.857838703
1997-01-31,90.047877583
1997-02-28,90.747342688
1997-03-31,91.781346606
1997-04-30,92.735547023
1997-05-31,93.286422946
1997-06-30,93.569582642
1997-07-31,93.667381723
1997-08-31,93.650718922
1997-09-30,93.567600186
1997-10-31,93.337239164
1997-11-30,92.968328768
1997-12-31,92.596768695
1998-01-31,92.439459658
1998-02-28,92.678446899
1998-03-31,93.378064035
1998-04-30,94.285457411
1998-05-31,94.940767431
1998-06-30,95.126520264
1998-07-31,95.182289003
1998-08-31,95.395117756
1998-09-30,95.541264111
1998-10-31,95.529712785
1998-11-30,95.52221926
1998-12-31,95.558705799
1999-01-31,95.612377874
1999-02-28,95.759830267
1999-03-31,96.104590565
1999-04-30,96.615472539
1999-05-31,97.093839431
1999-06-30,97.370363767
1999-07-31,97.468139542
1999-08-31,97.492535706
1999-09-30,97.462107358
1999-10-31,97.47815912
1999-11-30,97.715329191
1999-12-31,98.107100157
2000-01-31,98.561331903
2000-02-29,99.074532722
2000-03-31,99.682234878
2000-04-30,100.39728332
2000-05-31,101.00711255
2000-06-30,101.27177182
2000-07-31,101.14213178
2000-08-31,100.80159902
2000-09-30,100.51758113
2000-10-31,100.32905109
2000-11-30,100.11981957
2000-12-31,100.0
2001-01-31,100.16251609
2001-02-28,100.69567142
2001-03-31,101.42445333
2001-04-30,101.91949129
2001-05-31,102.19199649
2001-06-30,102.42776846
2001-07-31,102.50705947
2001-08-31,102.38287721
2001-09-30,102.19313478
2001-10-31,102.03571326
2001-11-30,101.91020084
2001-12-31,101.85615627
2002-01-31,102.00940741
2002-02-28,102.44011288
2002-03-31,103.32207292
2002-04-30,104.58471305
2002-05-31,105.61861504
2002-06-30,106.07085323
2002-07-31,106.11806188
2002-08-31,106.13152866
2002-09-30,106.35598964
2002-10-31,106.71693002
2002-11-30,106.9488679
2002-12-31,107.03004211
2003-01-31,107.19728558
2003-02-28,107.56252157
2003-03-31,108.06357219
2003-04-30,108.61159778
2003-05-31,109.14907262
2003-06-30,109.75806806
2003-07-31,110.46262135
2003-08-31,111.0999201
2003-09-30,111.53493657
2003-10-31,111.76943112
2003-11-30,111.80470797
2003-12-31,111.80008549
2004-01-31,112.07869718
2004-02-29,112.71580272
2004-03-31,113.67720113
2004-04-30,114.99930617
2004-05-31,116.55642794
2004-06-30,117.98655773
2004-07-31,119.12487335
2004-08-31,119.89670441
2004-09-30,120.13965473
2004-10-31,119.95272656
2004-11-30,119.59152495
2004-12-31,119.1968557
2005-01-31,119.16223498
2005-02-28,119.85320368
2005-03-31,121.17314492
2005-04-30,122.87858116
2005-05-31,124.56795943
2005-06-30,125.86975554
2005-07-31,126.78717964
2005-08-31,127.37525152
2005-09-30,127.62310887
2005-10-31,127.94649191
2005-11-30,128.42531771
2005-12-31,128.78415562
2006-01-31,129.08625262
2006-02-28,129.55928719
2006-03-31,130.30702711
2006-04-30,131.07087748
2006-05-31,131.62325716
2006-06-30,132.16139431
2006-07-31,132.68351433
2006-08-31,133.0628212
2006-09-30,133.2990959
2006-10-31,133.36061945
2006-11-30,133.24103629
2006-12-31,132.94161693
2007-01-31,132.6490584
2007-02-28,132.63869861
2007-03-31,133.10792164
2007-04-30,133.75788747
2007-05-31,134.35742803
2007-06-30,135.11358984
2007-07-31,136.11393373
2007-08-31,136.91052138
2007-09-30,136.94896854
2007-10-31,136.28667592
2007-11-30,135.19777269
2007-12-31,134.07014272
2008-01-31,133.34269002
2008-02-29,133.29074475
2008-03-31,134.03808103
2008-04-30,135.08193662
2008-05-31,135.74058929
2008-06-30,136.00286712
2008-07-31,135.92982758
2008-08-31,135.3537212
2008-09-30,134.28817598
2008-10-31,133.03546198
2008-11-30,132.12204421
2008-12-31,131.72381567
2009-01-31,131.57494809
2009-02-28,131.61123564
2009-03-31,131.84063105
2009-04-30,132.09282216
2009-05-31,132.29044222
2009-06-30,132.42835781
2009-07-31,132.42499914
2009-08-31,132.16251725
2009-09-30,131.68267518
2009-10-31,131.20441684
