Date,Open,High,Low,Close*,Adj Close**,Volume
03-Nov-17,1042.75,1050.66,1037.65,1049.99,1049.99,1372500.00
02-Nov-17,1039.99,1045.52,1028.66,1042.97,1042.97,1334700.00
01-Nov-17,1036.32,1047.86,1034.00,1042.60,1042.60,2163100.00
31-Oct-17,1033.00,1041.00,1026.30,1033.04,1033.04,1516300.00
30-Oct-17,1029.16,1039.83,1022.33,1033.13,1033.13,2340200.00
27-Oct-17,1030.99,1063.62,1026.85,1033.67,1033.67,5184100.00
26-Oct-17,998.47,1006.51,990.47,991.42,991.42,2369800.00
25-Oct-17,986.27,994.43,977.72,991.46,991.46,1528700.00
24-Oct-17,986.50,989.26,977.08,988.49,988.49,1445100.00
23-Oct-17,1005.18,1005.79,983.10,985.54,985.54,1639300.00
20-Oct-17,1007.05,1008.65,1002.27,1005.07,1005.07,1606000.00
19-Oct-17,1004.75,1007.32,997.30,1001.84,1001.84,1714200.00
18-Oct-17,1011.05,1016.31,1005.32,1012.74,1012.74,1279800.00
17-Oct-17,1007.44,1014.56,1006.05,1011.00,1011.00,1013000.00
16-Oct-17,1009.63,1012.00,1001.52,1009.35,1009.35,1071000.00
13-Oct-17,1009.11,1014.76,1007.06,1007.87,1007.87,1327600.00
12-Oct-17,1003.84,1011.54,1001.10,1005.65,1005.65,1530700.00
11-Oct-17,989.04,1007.57,987.94,1005.65,1005.65,1815000.00
10-Oct-17,995.30,997.47,981.11,987.80,987.80,1163400.00
09-Oct-17,995.00,1000.46,991.50,992.31,992.31,1295500.00
06-Oct-17,980.00,994.26,978.51,993.64,993.64,1553000.00
05-Oct-17,972.79,986.51,970.27,985.19,985.19,1780900.00
04-Oct-17,971.76,974.40,965.61,966.78,966.78,1057800.00
03-Oct-17,967.56,972.44,962.71,972.08,972.08,1083300.00
02-Oct-17,975.65,977.74,961.95,967.47,967.47,1539100.00
29-Sep-17,966.00,975.81,966.00,973.72,973.72,2031100.00
28-Sep-17,956.25,966.18,955.55,964.81,964.81,1400900.00
27-Sep-17,942.74,965.43,941.95,959.90,959.90,2334600.00
26-Sep-17,936.69,944.08,935.12,937.43,937.43,1672700.00
25-Sep-17,939.45,939.75,924.51,934.28,934.28,1873400.00
22-Sep-17,942.77,950.00,940.84,943.26,943.26,1074800.00
21-Sep-17,948.13,952.80,939.38,947.55,947.55,1370700.00
20-Sep-17,937.73,950.00,937.50,947.54,947.54,2004000.00
19-Sep-17,933.41,937.94,926.66,936.86,936.86,1242700.00
18-Sep-17,935.01,936.86,925.40,929.75,929.75,1473700.00
